MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Output (Max),Fault Protection,Features,Grade,Input Type,Interface,Number of Outputs,Operating Temperature,Output Configuration,Output Type,Qualification,Ratio - Input:Output,Rds On (Typ),Series,Switch Type,Voltage - Load,Voltage - Supply (Vcc/Vdd)
DML3006LFDS-7,Diodes Incorporated,IC PWR SWITCH N-CHAN 1:1 8VDFN,pmic-battery-management,815,1.5,8-VFDFN Exposed Pad,Surface Mount,Active,https://www.diodes.com/assets/Datasheets/DML3006LFDS.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/DML3006LFDS-7/7645215,10.5A,"Short-Circuit, Thermal Shutdown, UVLO",,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,8mOhm,,General Purpose,0.5V ~ 13.5V,3V ~ 5.5V
DML3008LFDS-7,Diodes Incorporated,MOSFET BVDSS: 25V~30V V-DFN2020-,pmic-battery-management,2302,1.5,8-PowerVFDFN,Surface Mount,Active,https://www.diodes.com/assets/Datasheets/DML3008LFDS.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/DML3008LFDS-7/16548670,,Over Temperature,"Load Discharge, Power Good, Slew Rate Controlled",Automotive,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,AEC-Q100,1:1,7.5mOhm,,General Purpose,0.5V ~ 20V,3V ~ 5.5V
DML3009LDC-7,Diodes Incorporated,IC PWR SWITCH N-CHAN 1:1 12VDFN,pmic-battery-management,725,1.76,12-VFDFN Exposed Pad,Surface Mount,Active,https://www.diodes.com/assets/Datasheets/DML3009LDC.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/DML3009LDC-7/7802351,20A,"Short-Circuit, Thermal Shutdown, UVLO",,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,6.1mOhm,,General Purpose,0.5V ~ 13.5V,3V ~ 5.5V
DML3011ALFDS-7,Diodes Incorporated,MOSFET BVDSS: 25V~30V V-DFN2020-,pmic-battery-management,1484,0.55,8-PowerVFDFN,Surface Mount,Active,https://www.diodes.com/assets/Datasheets/DML3011ALFDS.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/DML3011ALFDS-7/21823907,10.5A,"Over Temperature, Short Circuit, UVLO",Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,7.5mOhm,,General Purpose,0.5V ~ 20V,3V ~ 5.5V
DML3012LDC-7,Diodes Incorporated,MOSFET BVDSS: 25V~30V V-DFN3030-,pmic-battery-management,1976,3.27,12-VFDFN Exposed Pad,Surface Mount,Active,https://www.diodes.com/assets/Datasheets/DML3012LDC.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/DML3012LDC-7/17840270,15A,"Current Limiting (Fixed), Over Temperature, Short Circuit, UVLO","Load Discharge, Power Good, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,4.8mOhm,,General Purpose,0.5V ~ 20V,3V ~ 5.5V
DPS1113FIA-13,Diodes Incorporated,IC PWR SWITCH 1:1 V-QFN4040-17,pmic-battery-management,4308,1.08,17-VFQFN Exposed Pad,Surface Mount,Active,https://www.diodes.com/assets/Datasheets/DPS1113.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/DPS1113FIA-13/7322864,3.5A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Reverse Current, UVLO",Load Discharge,,,On/Off,1,-40°C ~ 125°C (TJ),High Side,,,1:1,29mOhm,,USB Switch,4.5V ~ 5.5V,
DPS1133FIA-13,Diodes Incorporated,IC PWR SWITCH 1:1 V-QFN4040-17,pmic-battery-management,2443,1.3,17-VFQFN Exposed Pad,Surface Mount,Active,https://www.diodes.com/assets/Datasheets/DPS1133.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/DPS1133FIA-13/7069731,3.5A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Reverse Current, UVLO",Load Discharge,,Non-Inverting,On/Off,1,,High Side,,,1:1,30mOhm,,General Purpose,4.5V ~ 24V,Not Required
DPS1133FIAQ-13,Diodes Incorporated,PD SWITCH V-QFN4040-17 T&R 4K,pmic-battery-management,7909,1.36,17-VFQFN Exposed Pad,Surface Mount,Active,https://www.diodes.com/assets/Datasheets/DPS1133FIAQ.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/DPS1133FIAQ-13/16548390,3.5A,"Current Limiting (Adjustable), Over Temperature, Over Voltage, Reverse Current, UVLO","Load Discharge, Status Flag",Automotive,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),Low Side,N-Channel,AEC-Q100,1:1,30mOhm,,General Purpose,0V ~ 24V,
DRDNB21D-7,Diodes Incorporated,IC PWR DRIVER BIPOLAR 1:1 SOT363,pmic-battery-management,4170,0.94,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://www.diodes.com/assets/Datasheets/ds30756.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/DRDNB21D-7/1935696,100mA,,,Automotive,,On/Off,2,-55°C ~ 150°C (TJ),Low Side,Bipolar,AEC-Q101,1:1,,,General Purpose,50V (Max),Not Required
DRV103H,Texas Instruments,IC PWR DRVR N-CHAN 1:1 8SOPWRPAD,pmic-battery-management,6025,7.06,"8-PowerSOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DRV103H/390444,3A,"Current Limiting (Fixed), Over Temperature","Internal PWM, Status Flag",,Non-Inverting,On/Off,1,-55°C ~ 125°C (TA),Low Side,N-Channel,,1:1,,,"Relay, Solenoid Driver",8V ~ 32V,Not Required
DRV103U,Texas Instruments,IC PWR DRIVER N-CHAN 1:1 8SOIC,pmic-battery-management,1112,7.06,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DRV103U/388683,1.5A,"Current Limiting (Fixed), Over Temperature","Internal PWM, Status Flag",,Non-Inverting,On/Off,1,-55°C ~ 125°C (TA),Low Side,N-Channel,,1:1,,,"Relay, Solenoid Driver",8V ~ 32V,Not Required
DRV103U/2K5,Texas Instruments,IC PWR DRIVER N-CHAN 1:1 8SOIC,pmic-battery-management,4984,5.99,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DRV103U-2K5/1509551,1.5A,"Current Limiting (Fixed), Over Temperature","Internal PWM, Status Flag",,Non-Inverting,On/Off,1,-55°C ~ 125°C (TA),Low Side,N-Channel,,1:1,,,"Relay, Solenoid Driver",8V ~ 32V,Not Required
DRV104PWP,Texas Instruments,IC PWR DRIVER 1:1 14HTSSOP,pmic-battery-management,826,8.48,"14-PowerTSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DRV104PWP/1509554,1.2A,"Current Limiting (Fixed), Over Temperature","Internal PWM, Status Flag",,Non-Inverting,On/Off,1,-55°C ~ 125°C (TA),High Side,,,1:1,,,"Relay, Solenoid Driver",8V ~ 32V,Not Required
DRV104PWPR,Texas Instruments,IC PWR DRIVER 1:1 14HTSSOP,pmic-battery-management,2931,7.19,"14-PowerTSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DRV104PWPR/593901,1.2A,"Current Limiting (Fixed), Over Temperature","Internal PWM, Status Flag",,Non-Inverting,On/Off,1,-55°C ~ 125°C (TA),High Side,,,1:1,,,"Relay, Solenoid Driver",8V ~ 32V,Not Required
DRV120APWR,Texas Instruments,IC PWR DRIVER N-CHAN 1:1 14TSSOP,pmic-battery-management,1366,3.33,"14-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DRV120APWR/3518761,,"Over Temperature, UVLO","Internal PWM, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 105°C (TA),Low Side,N-Channel,,1:1,,,"Relay, Solenoid Driver",6V ~ 26V,Not Required
DRV120PWR,Texas Instruments,IC PWR DRIVER N-CHAN 1:1 8TSSOP,pmic-battery-management,1125,3.06,"8-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/DRV120PWR/3518762,,"Over Temperature, UVLO","Internal PWM, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 105°C (TA),Low Side,N-Channel,,1:1,,,"Relay, Solenoid Driver",6V ~ 26V,Not Required
DRV81004QPWPRQ1,Texas Instruments,AUTOMOTIVE 40V 4-CHANNEL LOW-SID,pmic-battery-management,2167,2.31,"14-PowerTSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/drv81004-q1.pdf?ts=1742906726274&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FDRV81004-Q1,https://www.digikey.com/en/products/detail/texas-instruments/DRV81004QPWPRQ1/25891580,470mA,"Current Limiting (Fixed), Open Load Detect, Over Temperature, Over Voltage, Reverse Battery, UVLO",,Automotive,Non-Inverting,SPI,4,-40°C ~ 125°C (TA),Low Side,N-Channel,AEC-Q100,2 x 1:2,630mOhm,,"Relay, Solenoid Driver",,3V ~ 5.5V
DRV81008QPWPRQ1,Texas Instruments,AUTOMOTIVE 40V 8-CHANNEL LOW-SID,pmic-battery-management,2752,2.82,"24-PowerTSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/drv81008-q1.pdf?ts=1742906727962&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FDRV81008-Q1,https://www.digikey.com/en/products/detail/texas-instruments/DRV81008QPWPRQ1/25891585,330mA,"Current Limiting (Fixed), Over Temperature, Over Voltage, Reverse Battery, Short Circuit, UVLO",Slew Rate Controlled,Automotive,Non-Inverting,SPI,8,-40°C ~ 125°C (TA),Low Side,N-Channel,AEC-Q100,1:8,700mOhm,,"Relay, Solenoid Driver",3V ~ 40V,3V ~ 5.5V
DRV81080QPWPRQ1,Texas Instruments,AUTOMOTIVE 40V 8-CHA,pmic-battery-management,1420,3.12,"24-PowerTSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/drv81080-q1.pdf?ts=1750313130177&ref_url=https%253A%252F%252Fwww.ti.com%252Fsitesearch%252Fen-us%252Fdocs%252Funiversalsearch.tsp%253FlangPref%253Den-US%2526nr%253D2%2526searchTerm%253DDRV81080QPWPRQ1,https://www.digikey.com/en/products/detail/texas-instruments/DRV81080QPWPRQ1/26639692,330mA,"Current Limiting (Fixed), Open Load Detect, Over Temperature, Over Voltage, Reverse Battery, Reverse Current, Short Circuit, UVLO",Slew Rate Controlled,Automotive,Non-Inverting,"PWM, SPI",8,-40°C ~ 125°C (TA),High Side,N-Channel,AEC-Q100,2 x 1:4,700mOhm,,"Relay, Solenoid Driver",3V ~ 40V,3V ~ 5.5V
DRV81242QPWPRQ1,Texas Instruments,"AUTOMOTIVE, 40V, 2-CHA",pmic-battery-management,3000,3.94,"24-PowerTSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/drv81242-q1.pdf?ts=1745815390700&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FDRV81242-Q1%252Fpart-details%252FDRV81242QPWPRQ1%253FkeyMatch%253DDRV81242QPWPRQ1%2526tisearch%253Duniversal_search%2526usecase%253DOPN,https://www.digikey.com/en/products/detail/texas-instruments/DRV81242QPWPRQ1/26639698,330mA,"Current Limiting (Fixed), Open Load Detect, Over Temperature, Over Voltage, Reverse Battery, Reverse Current, Short Circuit, UVLO","Internal PWM, Slew Rate Controlled",Automotive,Non-Inverting,"PWM, SPI",8,-40°C ~ 125°C (TA),High/Low Side,N-Channel,AEC-Q100,2 x 1:4,700mOhm,,"Relay, Solenoid Driver",3V ~ 40V,3V ~ 5.5V
DRV81602QPWPRQ1,Texas Instruments,AUTOMOTIVE 40V 6-CHANNEL CONFIG,pmic-battery-management,2720,3.94,"24-PowerTSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/drv81602-q1.pdf?ts=1750313295054&ref_url=https%253A%252F%252Fwww.ti.com%252Fsitesearch%252Fen-us%252Fdocs%252Funiversalsearch.tsp%253FlangPref%253Den-US%2526searchTerm%253DDRV81602QPWPRQ1%2526nr%253D5,https://www.digikey.com/en/products/detail/texas-instruments/DRV81602QPWPRQ1/26639693,330mA,"Current Limiting (Fixed), Open Load Detect, Over Temperature, Over Voltage, Reverse Battery, Reverse Current, Short Circuit, UVLO","Internal PWM, Slew Rate Controlled",Automotive,Non-Inverting,"PWM, SPI",8,-40°C ~ 125°C (TA),High/Low Side,N-Channel,AEC-Q100,2 x 1:4,700mOhm,,"Relay, Solenoid Driver",3V ~ 40V,3V ~ 5.5V
DRV81620QPWPRQ1,Texas Instruments,"AUTOMOTIVE, 40V, 6-CHANNEL CONFI",pmic-battery-management,2763,3.94,"24-PowerTSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/drv81620-q1.pdf?ts=1750313515211&ref_url=https%253A%252F%252Fwww.ti.com%252Fsitesearch%252Fen-us%252Fdocs%252Funiversalsearch.tsp%253FlangPref%253Den-US%2526nr%253D3%2526searchTerm%253DDRV81620QPWPRQ1,https://www.digikey.com/en/products/detail/texas-instruments/DRV81620QPWPRQ1/26639701,330mA,"Current Limiting (Fixed), Open Load Detect, Over Temperature, Over Voltage, Reverse Battery, Reverse Current, Short Circuit, UVLO","Internal PWM, Slew Rate Controlled",Automotive,Non-Inverting,"PWM, SPI",8,-40°C ~ 125°C (TA),High/Low Side,N-Channel,AEC-Q100,2 x 1:4,700mOhm,,"Relay, Solenoid Driver",3V ~ 40V,3V ~ 5.5V
E-L9338MD,STMicroelectronics,IC PWR DRIVER N-CHANNEL 1:1 20SO,pmic-battery-management,247,4.13,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.st.com/content/ccc/resource/technical/document/datasheet/c8/5f/d9/72/78/65/40/06/CD00000235.pdf/files/CD00000235.pdf/jcr:content/translations/en.CD00000235.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/E-L9338MD/2529327,,Over Temperature,,,Non-Inverting,On/Off,4,-40°C ~ 150°C (TJ),Low Side,N-Channel,,1:1,1.7Ohm,,General Purpose,4.5V ~ 32V,Not Required
E-L9338MD/TR,STMicroelectronics,IC PWR DRIVER N-CHANNEL 1:1 20SO,pmic-battery-management,2334,4.13,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.st.com/content/ccc/resource/technical/document/datasheet/c8/5f/d9/72/78/65/40/06/CD00000235.pdf/files/CD00000235.pdf/jcr:content/translations/en.CD00000235.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/E-L9338MD-TR/2529328,,Over Temperature,,,Non-Inverting,On/Off,4,-40°C ~ 150°C (TJ),Low Side,N-Channel,,1:1,1.7Ohm,,General Purpose,4.5V ~ 32V,Not Required
E-L9823013TR,STMicroelectronics,IC PWR DRIVER N-CHANNEL 1:8 24SO,pmic-battery-management,17155,4.41,"24-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.st.com/content/ccc/resource/technical/document/datasheet/group1/e6/65/51/36/40/31/49/89/CD00002425/files/CD00002425.pdf/jcr:content/translations/en.CD00002425.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/E-L9823013TR/2214346,500mA,"Current Limiting (Fixed), Over Temperature",,,,SPI,8,-40°C ~ 150°C (TJ),Low Side,N-Channel,,1:8,800mOhm,,General Purpose,4.5V ~ 5.5V,
E-L9826TR,STMicroelectronics,IC PWR DRIVER N-CHANNEL 1:8 20SO,pmic-battery-management,1443,2.9,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.st.com/content/ccc/resource/technical/document/datasheet/d4/f0/f8/57/8f/8d/43/76/CD00002120.pdf/files/CD00002120.pdf/jcr:content/translations/en.CD00002120.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/E-L9826TR/1852148,450mA,"Current Limiting (Fixed), Over Temperature",,,,SPI,8,-40°C ~ 150°C (TJ),Low Side,N-Channel,,1:8,1.5Ohm,,Latched Driver,45V (Max),4.5V ~ 5.5V
EPC2121,EPC,IC BIDIRECT SW 100V .045OHM 4BGA,pmic-battery-management,4322,1.25,-,-,Active,https://epc-co.com/epc/documents/datasheets/EPC2121_datasheet.pdf,https://www.digikey.com/en/products/detail/epc/EPC2121/24714752,,,,,,,,,,,,,,,,,
ET20161,ETEK MICROELECTRONICS,ADJ OCP Switch,pmic-battery-management,679950,0.18,"SC-74A, SOT-753",Surface Mount,Active,https://www.etekmicro.com/uploads/ueditor/20241220/d5ccd3bd11d3086a036bb87b0953dad7.pdf,https://www.digikey.com/en/products/detail/etek-microelectronics/ET20161/25892262,500mA,"Current Limiting (Fixed), Over Temperature, Reverse Current, UVLO","Load Discharge, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,80mOhm,,USB Switch,2.5V ~ 5.5V,Not Required
FAN3240TMX,onsemi,IC PWR DRIVER N-CHAN 1:1 8SOIC,pmic-battery-management,9517,1.49,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.onsemi.com/pub/Collateral/FAN3240-D.pdf,https://www.digikey.com/en/products/detail/onsemi/FAN3240TMX/4022743,,"Over Temperature, UVLO",,,Non-Inverting,On/Off,2,-40°C ~ 105°C (TA),Low Side,N-Channel,,1:1,1Ohm,,Latched Driver,8V ~ 60V,Not Required
FAN3241TMX,onsemi,IC PWR DRIVER N-CHAN 1:1 8SOIC,pmic-battery-management,9751,1.35,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.onsemi.com/pub/Collateral/FAN3241-D.pdf,https://www.digikey.com/en/products/detail/onsemi/FAN3241TMX/4022746,,"Over Temperature, UVLO",,,Non-Inverting,On/Off,2,-40°C ~ 105°C (TA),Low Side,N-Channel,,1:1,1Ohm,,Latched Driver,8V ~ 60V,Not Required
FBS-GAM01P-C-PSE,"EPC Space, LLC",SINGLE LOW SIDE DRIVER,pmic-battery-management,37,350.0,9-SMD Module,Surface Mount,Active,https://epc.space/documents/datasheets/FBSGAM01PCPSE-datasheet.pdf,https://www.digikey.com/en/products/detail/epc-space/FBS-GAM01P-C-PSE/15963344,,"Over Voltage, UVLO",Power Good,,Non-Inverting,,1,-40°C ~ 85°C,Low Side,N-Channel,,1:1,2.5Ohm,eGaN®,General Purpose,,4.75V ~ 5.25V
FDC6324L,onsemi,IC PWR SWITCH P-CH 1:1 SUPERSOT6,pmic-battery-management,41777,0.58,"SOT-23-6 Thin, TSOT-23-6",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/FDC6324L/979792,1.5A,,,,Non-Inverting,On/Off,1,-55°C ~ 150°C (TJ),High Side,P-Channel,,1:1,,,General Purpose,3V ~ 20V,1.5V ~ 8V
FDC6326L,onsemi,IC PWR SWITCH P-CH 1:1 SUPERSOT6,pmic-battery-management,9798,1.04,"SOT-23-6 Thin, TSOT-23-6",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/FDC6326L/979794,1.8A,,,,Non-Inverting,On/Off,1,-55°C ~ 150°C (TJ),High Side,P-Channel,,1:1,95mOhm,,General Purpose,3V ~ 20V,2.5V ~ 8V
FDC6329L,onsemi,IC PWR SWITCH P-CH 1:1 SUPERSOT6,pmic-battery-management,26378,0.75,"SOT-23-6 Thin, TSOT-23-6",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/FDC6329L/979796,2.5A,,,,Non-Inverting,On/Off,1,-55°C ~ 150°C (TJ),High Side,P-Channel,,1:1,47mOhm,,General Purpose,2.5V ~ 8V,1.5V ~ 8V
FDC6330L,onsemi,IC PWR SWITCH P-CH 1:1 SUPERSOT6,pmic-battery-management,36332,0.47,"SOT-23-6 Thin, TSOT-23-6",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/FDC6330L/979797,2.3A,,,,Non-Inverting,On/Off,1,-55°C ~ 150°C (TJ),High Side,P-Channel,,1:1,54mOhm,,General Purpose,3V ~ 20V,1.5V ~ 8V
FPF1038UCX,onsemi,IC PWR SWITCH P-CHAN 1:1 6WLCSP,pmic-battery-management,2308,0.74,"6-UFBGA, WLCSP",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/FPF1038UCX/2509663,3.5A,,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,20mOhm,IntelliMAX™,General Purpose,1.2V ~ 5.5V,Not Required
FPF1039UCX,onsemi,IC PWR SWITCH LOAD MGMT 6WLCSP,pmic-battery-management,12537,0.83,"6-UFBGA, WLCSP",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/fpf1039-d.pdf,https://www.digikey.com/en/products/detail/onsemi/FPF1039UCX/2509664,3.5A,,Slew Rate Controlled,,,On/Off,1,,,,,,20mOhm,IntelliMAX™,General Purpose,1.2V ~ 5.5V,Not Required
FPF1048BUCX,onsemi,IC PWR SWITCH LOAD MGMT 6WLCSP,pmic-battery-management,26417,0.67,"6-UFBGA, WLCSP",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/FPF1048BUCX/3163288,3A,Reverse Current,Slew Rate Controlled,,,On/Off,1,,,,,,21mOhm,IntelliMAX™,General Purpose,1.5V ~ 5.5V,Not Required
FPF1203LUCX,onsemi,IC PWR SWITCH P-CHAN 1:1 4WLCSP,pmic-battery-management,0,0.15,"4-UFBGA, WLCSP",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/uptbguj0di/ONSM-S-A0003590085-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/onsemi/FPF1203LUCX/3897125,2.2A,,Slew Rate Controlled,,Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,45mOhm,IntelliMAX™,General Purpose,1.2V ~ 5.5V,Not Required
FPF1204UCX,onsemi,IC PWR SWITCH P-CHAN 1:1 4WLCSP,pmic-battery-management,20515,0.52,"4-UFBGA, WLCSP",Surface Mount,Active,https://www.onsemi.com/download/data-sheet/pdf/fpf1204-d.pdf,https://www.digikey.com/en/products/detail/onsemi/FPF1204UCX/2804226,2.2A,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,45mOhm,IntelliMAX™,General Purpose,1.2V ~ 5.5V,Not Required
FPF1204UCX-Z006,onsemi,LOAD SWITCH,pmic-battery-management,0,0.13,"4-UFBGA, WLCSP",Surface Mount,Obsolete,https://www.onsemi.com/download/data-sheet/pdf/fpf1204-d.pdf,https://www.digikey.com/en/products/detail/onsemi/FPF1204UCX-Z006/15860312,2.2A,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,185mOhm,IntelliMAX™,General Purpose,1.2V ~ 5.5V,Not Required
FPF1320UCX,onsemi,IC PWR SWITCH P-CHAN 2:1 6WLCSP,pmic-battery-management,24708,0.89,"6-UFBGA, WLCSP",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/fpf1321-d.pdf,https://www.digikey.com/en/products/detail/onsemi/FPF1320UCX/3163289,1.5A,Reverse Current,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,2:1,42mOhm,IntelliMAX™,General Purpose,1.5V ~ 5.5V,Not Required
FPF1903UCX,onsemi,LOAD SWITCH,pmic-battery-management,2680,0.27,"4-XFBGA, WLCSP",Surface Mount,Active,https://www.onsemi.com/download/data-sheet/pdf/fpf1903ucx-d.pdf,https://www.digikey.com/en/products/detail/onsemi/FPF1903UCX/24627322,1.5A,"Over Temperature, Reverse Current",Load Discharge,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,,,General Purpose,1.2V ~ 5.5V,Not Required
FPF2001,onsemi,IC PWR SWITCH P-CHAN 1:1 SC70-5,pmic-battery-management,0,0.2,"5-TSSOP, SC-70-5, SOT-353",Surface Mount,Obsolete,https://www.onsemi.com/download/data-sheet/pdf/fpf2001-d.pdf,https://www.digikey.com/en/products/detail/onsemi/FPF2001/820700,50mA,"Current Limiting (Fixed), Over Temperature, UVLO","Auto Restart, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,700mOhm,IntelliMAX™,General Purpose,1.8V ~ 5.5V,Not Required
FPF2003,onsemi,IC PWR SWITCH P-CHAN 1:1 SC70-5,pmic-battery-management,9665,0.89,"5-TSSOP, SC-70-5, SOT-353",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/FPF2003/820702,50mA,"Current Limiting (Fixed), Over Temperature, UVLO",Status Flag,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,700mOhm,IntelliMAX™,General Purpose,1.8V ~ 5.5V,Not Required
FPF2004,onsemi,IC PWR SWITCH P-CHAN 1:1 SC70-5,pmic-battery-management,11800,0.97,"5-TSSOP, SC-70-5, SOT-353",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/FPF2004/820703,100mA,"Current Limiting (Fixed), Over Temperature, UVLO","Auto Restart, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,700mOhm,IntelliMAX™,General Purpose,1.8V ~ 5.5V,Not Required
FPF2109,onsemi,IC PWR SWITCH P-CHAN 1:1 SOT23-5,pmic-battery-management,6413,1.3,"SC-74A, SOT-753",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/fpf2110-d.pdf,https://www.digikey.com/en/products/detail/onsemi/FPF2109/820714,200mA,"Current Limiting (Fixed), Over Temperature, Reverse Current, UVLO",Status Flag,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,125mOhm,IntelliMAX™,General Purpose,1.8V ~ 5.5V,Not Required
FPF2165,onsemi,IC PWR SWITCH P-CH 1:1 6MICROFET,pmic-battery-management,3113,1.24,6-WDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/fpf2165-d.pdf,https://www.digikey.com/en/products/detail/onsemi/FPF2165/1643504,1.5A,"Current Limiting (Adjustable), Over Temperature, Reverse Current, UVLO",Status Flag,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,120mOhm,,General Purpose,1.8V ~ 5.5V,Not Required
FPF2195,onsemi,IC PWR SWITCH P-CHAN 1:1 6WLCSP,pmic-battery-management,13030,1.18,"6-UFBGA, WLCSP",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/fpf2194-d.pdf,https://www.digikey.com/en/products/detail/onsemi/FPF2195/1739701,1.5A,"Current Limiting (Adjustable), Over Temperature, Reverse Current, UVLO",Status Flag,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,55mOhm,,General Purpose,1.8V ~ 5.5V,Not Required
