MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Output (Max),Fault Protection,Features,Grade,Input Type,Interface,Number of Outputs,Operating Temperature,Output Configuration,Output Type,Qualification,Ratio - Input:Output,Rds On (Typ),Series,Switch Type,Voltage - Load,Voltage - Supply (Vcc/Vdd)
TPS2087D,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 16SOIC,pmic-battery-management,0,6.24,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/slvs202b/slvs202b.pdf,https://www.digikey.com/en/products/detail/texas-instruments/TPS2087D/372221,500mA,"Current Limiting (Fixed), Over Temperature, UVLO",Status Flag,,Non-Inverting,On/Off,4,0°C ~ 125°C (TJ),High Side,N-Channel,,1:1,80mOhm,,General Purpose,2.7V ~ 5.5V,Not Required
TPS2092D,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 8SOIC,pmic-battery-management,0,3.55,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS2092D/372224,250mA,"Current Limiting (Fixed), Over Temperature, UVLO",Status Flag,,Non-Inverting,On/Off,2,0°C ~ 125°C (TJ),High Side,N-Channel,,1:1,80mOhm,,General Purpose,2.7V ~ 5.5V,Not Required
TPS2097D,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 16SOIC,pmic-battery-management,380,5.3,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS2097D/372227,250mA,"Current Limiting (Fixed), Over Temperature, UVLO",Status Flag,,Non-Inverting,On/Off,4,0°C ~ 125°C (TJ),High Side,N-Channel,,1:1,80mOhm,,General Purpose,2.7V ~ 5.5V,Not Required
TPS2116DRLR,Texas Instruments,"1.6-V TO 5.5-V, 40-M, 2.5-A, LOW",pmic-battery-management,66543,1.01,SOT-583,Surface Mount,Active,https://www.ti.com/lit/ds/symlink/tps2116.pdf,https://www.digikey.com/en/products/detail/texas-instruments/TPS2116DRLR/15205127,2.5A,"Over Temperature, Reverse Current",Slew Rate Controlled,,Non-Inverting,Logic,1,-40°C ~ 125°C,High Side,N-Channel,,2:1,42mOhm,,General Purpose,1.6V ~ 5.5V,Not Required
TPS2117DRLR,Texas Instruments,"1.6-V TO 5.5-V, 20-M, 4-A LOW IQ",pmic-battery-management,18683,1.5,SOT-583,Surface Mount,Active,https://www.ti.com/lit/ds/symlink/tps2117.pdf?ts=1701351126648&ref_url=https%253A%252F%252Fwww.google.com%252F,https://www.digikey.com/en/products/detail/texas-instruments/TPS2117DRLR/21737520,4A,"Current Limiting (Fixed), Reverse Current",,,Differential,Logic,1,-40°C ~ 125°C (TA),High Side,N-Channel,,2:1,20mOhm,,General Purpose,1.6V ~ 5.5V,1.6V ~ 5.5V
TPS2231PW,Texas Instruments,IC PWR SWITCH 1:1 20TSSOP,pmic-battery-management,0,5.11,"20-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1115/tps2231%2C2236.pdf,https://www.digikey.com/en/products/detail/texas-instruments/TPS2231PW/1143653,1.3A,"Current Limiting (Fixed), Over Temperature","Power Good, Status Flag",,,,3,-40°C ~ 85°C (TA),High Side,,,1:1,45mOhm,,ExpressCard™ Switch,"1.5V, 3.3V",Not Required
TPS2231PWP,Texas Instruments,IC PWR SWITCH 3:3 24HTSSOP,pmic-battery-management,7,5.5,"24-PowerTSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1115/tps2231%2C2236.pdf,https://www.digikey.com/en/products/detail/texas-instruments/TPS2231PWP/675980,1.3A,"Current Limiting (Fixed), Over Temperature","Power Good, Status Flag",,,,3,-40°C ~ 85°C (TA),High Side,,,3:3,45mOhm,,ExpressCard™ Switch,"1.5V, 3.3V",Not Required
TPS2231RGPT,Texas Instruments,IC PWR SWITCH 1:1 20QFN,pmic-battery-management,250,5.11,20-VFQFN Exposed Pad,Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1115/tps2231%2C2236.pdf,https://www.digikey.com/en/products/detail/texas-instruments/TPS2231RGPT/770874,1.3A,"Current Limiting (Fixed), Over Temperature","Power Good, Status Flag",,,,3,-40°C ~ 85°C (TA),High Side,,,1:1,45mOhm,,ExpressCard™ Switch,"1.5V, 3.3V",Not Required
TPS22810DBVR,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 SOT23-6,pmic-battery-management,18392,0.58,SOT-23-6,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22810DBVR/6595640,2A,"Over Temperature, UVLO","Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 105°C (TA),High Side,N-Channel,,1:1,79mOhm,,General Purpose,2.7V ~ 18V,Not Required
TPS22810DBVT,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 SOT23-6,pmic-battery-management,4065,1.23,SOT-23-6,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22810DBVT/6599924,2A,"Over Temperature, UVLO","Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 105°C (TA),High Side,N-Channel,,1:1,79mOhm,,General Purpose,2.7V ~ 18V,Not Required
