MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Connectivity,Core Processor,Core Size,Data Converters,DigiKey Programmable,EEPROM Size,Grade,Number of I/O,Operating Temperature,Oscillator Type,Peripherals,Program Memory Size,Program Memory Type,Qualification,RAM Size,Series,Speed,Voltage - Supply (Vcc/Vdd)
ATMEGA8L-8PU,Microchip Technology,IC MCU 8BIT 8KB FLASH 28DIP,embedded-microcontrollers,1372,3.34,"28-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-2486-8-bit-AVR-microcontroller-ATmega8_L_summary.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA8L-8PU/739790,"I2C, SPI, UART/USART",AVR,8-Bit,A/D 6x10b,Not Verified,512 x 8,,23,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",8KB (4K x 16),FLASH,,1K x 8,AVR® ATmega,8MHz,2.7V ~ 5.5V
ATSAM3U4CA-AU,Microchip Technology,IC MCU 32BIT 256KB FLASH 100LQFP,embedded-microcontrollers,10376,7.62,100-LQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-6430-32-bit-Cortex-M3-Microcontroller-SAM3U4-SAM3U2-SAM3U1_Datasheet.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAM3U4CA-AU/2177035,"EBI/EMI, I2C, Memory Card, SPI, SSC, UART/USART, USB",ARM® Cortex®-M3,32-Bit,"A/D 4x10b, 4x12b",Not Verified,,,57,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",256KB (256K x 8),FLASH,,52K x 8,SAM3U,96MHz,1.62V ~ 3.6V
ATSAM3U4EA-AU,Microchip Technology,IC MCU 32BIT 256KB FLASH 144LQFP,embedded-microcontrollers,536,9.21,144-LQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-6430-32-bit-Cortex-M3-Microcontroller-SAM3U4-SAM3U2-SAM3U1_Datasheet.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAM3U4EA-AU/2177044,"EBI/EMI, I2C, Memory Card, SPI, SSC, UART/USART, USB",ARM® Cortex®-M3,32-Bit,"A/D 8x10b, 8x12b",Not Verified,,,96,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",256KB (256K x 8),FLASH,,52K x 8,SAM3U,96MHz,1.62V ~ 3.6V
ATSAM3X8EA-AU,Microchip Technology,IC MCU 32BIT 512KB FLASH 144LQFP,embedded-microcontrollers,1183,13.15,144-LQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-11057-32-bit-Cortex-M3-Microcontroller-SAM3X-SAM3A_Datasheet.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAM3X8EA-AU/3128687,"CANbus, EBI/EMI, Ethernet, I2C, IrDA, LINbus, Memory Card, SPI, SSC, UART/USART, USB",ARM® Cortex®-M3,32-Bit,A/D 16x12b; D/A 2x12b,Not Verified,,,103,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",512KB (512K x 8),FLASH,,100K x 8,SAM3X,84MHz,1.62V ~ 3.6V
ATSAM4LS4AA-MUR,Microchip Technology,IC MCU 32BIT 256KB FLASH 48QFN,embedded-microcontrollers,1108,6.54,48-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-42023-ARM-Microcontroller-ATSAM4L-Low-Power-LCD_Datasheet-Summary.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAM4LS4AA-MUR/3900014,"I2C, IrDA, LINbus, SPI, UART/USART, USB",ARM® Cortex®-M4,32-Bit,A/D 3x12b; D/A 1x10b,Not Verified,,,32,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",256KB (256K x 8),FLASH,,32K x 8,SAM4L,48MHz,1.68V ~ 3.6V
ATSAM4S16CA-AU,Microchip Technology,IC MCU 32BIT 1MB FLASH 100LQFP,embedded-microcontrollers,2962,7.65,100-LQFP,Surface Mount,Active,,https://www.digikey.com/en/products/detail/microchip-technology/ATSAM4S16CA-AU/3593642,"EBI/EMI, I2C, IrDA, Memory Card, SPI, SSC, UART/USART, USB",ARM® Cortex®-M4,32-Bit,A/D 16x12b; D/A 2x12b,Not Verified,,,79,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, PWM, WDT",1MB (1M x 8),FLASH,,128K x 8,SAM4S,120MHz,1.62V ~ 3.6V
ATSAM4S8BA-AU,Microchip Technology,IC MCU 32BIT 512KB FLASH 64LQFP,embedded-microcontrollers,9982,6.0,64-LQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/60001419B.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAM4S8BA-AU/3593645,"I2C, IrDA, Memory Card, SPI, SSC, UART/USART, USB",ARM® Cortex®-M4,32-Bit,A/D 11x12b; D/A 2x12b,Not Verified,,,47,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, PWM, WDT",512KB (512K x 8),FLASH,,128K x 8,SAM4S,120MHz,1.62V ~ 3.6V
ATSAM4S8CA-AU,Microchip Technology,IC MCU 32BIT 512KB FLASH 100LQFP,embedded-microcontrollers,274,6.35,100-LQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/60001419B.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAM4S8CA-AU/3593647,"EBI/EMI, I2C, IrDA, Memory Card, SPI, SSC, UART/USART, USB",ARM® Cortex®-M4,32-Bit,A/D 16x12b; D/A 2x12b,Not Verified,,,79,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, PWM, WDT",512KB (512K x 8),FLASH,,128K x 8,SAM4S,120MHz,1.62V ~ 3.6V
ATSAM4SD32CA-AU,Microchip Technology,IC MCU 32BIT 2MB FLASH 100LQFP,embedded-microcontrollers,680,11.79,100-LQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-11100-32-bit%20Cortex-M4-Microcontroller-SAM4S_Datasheet.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAM4SD32CA-AU/4010086,"EBI/EMI, I2C, IrDA, Memory Card, SPI, SSC, UART/USART, USB",ARM® Cortex®-M4,32-Bit,A/D 16x12b; D/A 2x12b,Not Verified,,,79,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, PWM, WDT",2MB (2M x 8),FLASH,,160K x 8,SAM4S,120MHz,1.62V ~ 3.6V
ATSAMC21E18A-MUT,Microchip Technology,IC MCU 32BIT 256KB FLASH 32VQFN,embedded-microcontrollers,56729,4.16,32-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-C20-C21-Family-Data-Sheet-DS60001479J.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMC21E18A-MUT/5875968,"CANbus, I2C, LINbus, SPI, UART/USART",ARM® Cortex®-M0+,32-Bit,"A/D 10x12b, 1x16b; D/A 1x10b",Not Verified,,,26,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, WDT",256KB (256K x 8),FLASH,,32K x 8,"SAM C21, Functional Safety (FuSa)",48MHz,2.7V ~ 5.5V
ATSAMC21G18A-AUT,Microchip Technology,IC MCU 32BIT 256KB FLASH 48TQFP,embedded-microcontrollers,1661,4.45,48-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-C20-C21-Family-Data-Sheet-DS60001479J.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMC21G18A-AUT/5875969,"CANbus, I2C, LINbus, SPI, UART/USART",ARM® Cortex®-M0+,32-Bit,"A/D 14x12b, 2x16b; D/A 1x10b",Not Verified,,,38,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, WDT",256KB (256K x 8),FLASH,,32K x 8,"SAM C21, Functional Safety (FuSa)",48MHz,2.7V ~ 5.5V
ATSAMC21G18A-MUT,Microchip Technology,IC MCU 32BIT 256KB FLASH 48VQFN,embedded-microcontrollers,8385,4.36,48-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-C20-C21-Family-Data-Sheet-DS60001479J.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMC21G18A-MUT/5875970,"CANbus, I2C, LINbus, SPI, UART/USART",ARM® Cortex®-M0+,32-Bit,"A/D 14x12b, 2x16b; D/A 1x10b",Not Verified,,,38,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, WDT",256KB (256K x 8),FLASH,,32K x 8,"SAM C21, Functional Safety (FuSa)",48MHz,2.7V ~ 5.5V
ATSAMC21J18A-AUT,Microchip Technology,IC MCU 32BIT 256KB FLASH 64TQFP,embedded-microcontrollers,1532,4.68,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-C20-C21-Family-Data-Sheet-DS60001479J.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMC21J18A-AUT/5875971,"CANbus, I2C, LINbus, SPI, UART/USART",ARM® Cortex®-M0+,32-Bit,"A/D 20x12b, 3x16b; D/A 1x10b",Not Verified,,,52,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, WDT",256KB (256K x 8),FLASH,,32K x 8,"SAM C21, Functional Safety (FuSa)",48MHz,2.7V ~ 5.5V
ATSAMC21N18A-ANT,Microchip Technology,IC MCU 32BIT 256KB FLASH 100TQFP,embedded-microcontrollers,2598,5.06,100-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-C20-C21-Family-Data-Sheet-DS60001479J.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMC21N18A-ANT/7354611,"CANbus, I2C, LINbus, SPI, UART/USART",ARM® Cortex®-M0+,32-Bit,"A/D 20x12b, 3x16b; D/A 1x10b",Not Verified,,,84,-40°C ~ 105°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, WDT",256KB (256K x 8),FLASH,,32K x 8,"SAM C21, Functional Safety (FuSa)",48MHz,2.7V ~ 5.5V
ATSAMD09D14A-MUT,Microchip Technology,IC MCU 32BIT 16KB FLASH 24QFN,embedded-microcontrollers,24310,1.43,24-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/Atmel-42414-SAM-D09_Summary.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD09D14A-MUT/5404071,"I2C, LINbus, SPI, UART/USART",ARM® Cortex®-M0+,32-Bit,A/D 10x12b,Not Verified,,,22,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, WDT",16KB (16K x 8),FLASH,,4K x 8,SAM D09D,48MHz,1.62V ~ 3.63V
ATSAMD10C14A-SSNT,Microchip Technology,IC MCU 32BIT 16KB FLASH 14SOIC,embedded-microcontrollers,11560,1.47,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-42242-SAM-D10_Summary.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD10C14A-SSNT/5956593,"I2C, LINbus, SPI, UART/USART",ARM® Cortex®-M0+,32-Bit,A/D 5x12b; D/A 1x10b,Not Verified,,,12,-40°C ~ 105°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, WDT",16KB (16K x 8),FLASH,,4K x 8,SAM D10C,48MHz,1.62V ~ 3.63V
ATSAMD10D14A-MUT,Microchip Technology,IC MCU 32BIT 16KB FLASH 24QFN,embedded-microcontrollers,5449,1.63,24-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-42242-SAM-D10_Summary.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD10D14A-MUT/5226469,"I2C, LINbus, SPI, UART/USART",ARM® Cortex®-M0+,32-Bit,A/D 10x12b; D/A 1x10b,Not Verified,,,22,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, WDT",16KB (16K x 8),FLASH,,4K x 8,SAM D10D,48MHz,1.62V ~ 3.63V
ATSAMD11C14A-SSNT,Microchip Technology,IC MCU 32BIT 16KB FLASH 14SOIC,embedded-microcontrollers,19835,1.63,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-42363-SAM-D11_Summary.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD11C14A-SSNT/5956599,"I2C, LINbus, SPI, UART/USART, USB",ARM® Cortex®-M0+,32-Bit,A/D 5x12b; D/A 1x10b,Not Verified,,,12,-40°C ~ 105°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, WDT",16KB (16K x 8),FLASH,,4K x 8,SAM D11C,48MHz,1.62V ~ 3.63V
ATSAMD11C14A-SSUT,Microchip Technology,IC MCU 32BIT 16KB FLASH 14SOIC,embedded-microcontrollers,8424,1.58,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-42363-SAM-D11_Summary.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD11C14A-SSUT/5226470,"I2C, LINbus, SPI, UART/USART, USB",ARM® Cortex®-M0+,32-Bit,A/D 5x12b; D/A 1x10b,Not Verified,,,12,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, WDT",16KB (16K x 8),FLASH,,4K x 8,SAM D11C,48MHz,1.62V ~ 3.63V
ATSAMD11D14A-MUT,Microchip Technology,IC MCU 32BIT 16KB FLASH 24QFN,embedded-microcontrollers,10269,1.81,24-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-42363-SAM-D11_Summary.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD11D14A-MUT/5226471,"I2C, LINbus, SPI, UART/USART, USB",ARM® Cortex®-M0+,32-Bit,A/D 10x12b; D/A 1x10b,Not Verified,,,22,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, WDT",16KB (16K x 8),FLASH,,4K x 8,SAM D11D,48MHz,1.62V ~ 3.63V
ATSAMD20E15A-AU,Microchip Technology,IC MCU 32BIT 32KB FLASH 32TQFP,embedded-microcontrollers,343,2.45,32-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU32/ProductDocuments/Errata/SAM-D20-Family-Silicon-Errata-and-Data-Sheet-Clarifications-DS80000747.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD20E15A-AU/4431279,"I2C, SPI, UART/USART",ARM® Cortex®-M0+,32-Bit,A/D 10x12b; D/A 1x10b,Not Verified,,,26,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, WDT",32KB (32K x 8),FLASH,,4K x 8,SAM D20E,48MHz,2.7V ~ 5.5V
ATSAMD20E16A-MUT,Microchip Technology,IC MCU 32BIT 64KB FLASH 32QFN,embedded-microcontrollers,7547,2.52,32-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU32/ProductDocuments/DataSheets/SAM-D21-DA1-Family-Data-Sheet-DS40001882.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD20E16A-MUT/4431255,"I2C, SPI, UART/USART",ARM® Cortex®-M0+,32-Bit,A/D 10x12b; D/A 1x10b,Not Verified,,,26,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, WDT",64KB (64K x 8),FLASH,,8K x 8,SAM D20E,48MHz,2.7V ~ 5.5V
ATSAMD20E16B-MN,Microchip Technology,IC MCU 32BIT 64KB FLASH 32VQFN,embedded-microcontrollers,2075,2.56,32-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU32/ProductDocuments/DataSheets/SAM-D21-DA1-Family-Data-Sheet-DS40001882.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD20E16B-MN/7801909,"I2C, SPI, UART/USART",ARM® Cortex®-M0+,32-Bit,A/D 10x12b; D/A 1x10b,Not Verified,,,26,-40°C ~ 105°C (TA),Internal,"Brown-out Detect/Reset, POR, WDT",64KB (64K x 8),FLASH,,8K x 8,SAM D20E,48MHz,2.7V ~ 5.5V
ATSAMD20G15A-AUT,Microchip Technology,IC MCU 32BIT 32KB FLASH 48TQFP,embedded-microcontrollers,4787,2.4,48-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU32/ProductDocuments/Errata/SAM-D20-Family-Silicon-Errata-and-Data-Sheet-Clarifications-DS80000747.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD20G15A-AUT/4431260,"I2C, SPI, UART/USART",ARM® Cortex®-M0+,32-Bit,A/D 14x12b; D/A 1x10b,Not Verified,,,38,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, WDT",32KB (32K x 8),FLASH,,4K x 8,SAM D20G,48MHz,2.7V ~ 5.5V
ATSAMD20G16A-MU,Microchip Technology,IC MCU 32BIT 64KB FLASH 48QFN,embedded-microcontrollers,185,2.55,48-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU32/ProductDocuments/Errata/SAM-D20-Family-Silicon-Errata-and-Data-Sheet-Clarifications-DS80000747.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD20G16A-MU/4431290,"I2C, SPI, UART/USART",ARM® Cortex®-M0+,32-Bit,A/D 14x12b; D/A 1x10b,Verified,,,38,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, WDT",64KB (64K x 8),FLASH,,8K x 8,SAM D20G,48MHz,2.7V ~ 5.5V
ATSAMD21G16B-AU,Microchip Technology,IC MCU 32BIT 64KB FLASH 48TQFP,embedded-microcontrollers,1860,2.77,48-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-D21-DA1-Family-Data-Sheet-DS40001882H.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD21G16B-AU/5325402,"I2C, LINbus, SPI, UART/USART, USB",ARM® Cortex®-M0+,32-Bit,A/D 14x12b; D/A 1x10b,Not Verified,,,38,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",64KB (64K x 8),FLASH,,8K x 8,"SAM D21G, Functional Safety (FuSa)",48MHz,1.62V ~ 3.6V
ATSAMD21G18A-AF,Microchip Technology,IC MCU 32BIT 256KB FLASH 48TQFP,embedded-microcontrollers,1491,4.57,48-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-D21-DA1-Family-Data-Sheet-DS40001882H.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD21G18A-AF/5057238,"I2C, LINbus, SPI, UART/USART, USB",ARM® Cortex®-M0+,32-Bit,A/D 14x12b; D/A 1x10b,Verified,,Automotive,38,-40°C ~ 125°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",256KB (256K x 8),FLASH,AEC-Q100,32K x 8,"SAM D21G, Functional Safety (FuSa)",48MHz,1.62V ~ 3.6V
ATSAMD21G18A-AFT,Microchip Technology,IC MCU 32BIT 256KB FLASH 48TQFP,embedded-microcontrollers,20008,4.65,48-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-D21-DA1-Family-Data-Sheet-DS40001882H.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD21G18A-AFT/5057239,"I2C, LINbus, SPI, UART/USART, USB",ARM® Cortex®-M0+,32-Bit,A/D 14x12b; D/A 1x10b,Verified,,Automotive,38,-40°C ~ 125°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",256KB (256K x 8),FLASH,AEC-Q100,32K x 8,"SAM D21G, Functional Safety (FuSa)",48MHz,1.62V ~ 3.6V
ATSAMD21G18A-AU,Microchip Technology,IC MCU 32BIT 256KB FLASH 48TQFP,embedded-microcontrollers,4748,4.16,48-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-D21-DA1-Family-Data-Sheet-DS40001882H.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD21G18A-AU/5056473,"I2C, LINbus, SPI, UART/USART, USB",ARM® Cortex®-M0+,32-Bit,A/D 14x12b; D/A 1x10b,Verified,,,38,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",256KB (256K x 8),FLASH,,32K x 8,"SAM D21G, Functional Safety (FuSa)",48MHz,1.62V ~ 3.6V
ATSAMD21G18A-AUT,Microchip Technology,IC MCU 32BIT 256KB FLASH 48TQFP,embedded-microcontrollers,4989,4.25,48-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-D21-DA1-Family-Data-Sheet-DS40001882H.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD21G18A-AUT/4878867,"I2C, LINbus, SPI, UART/USART, USB",ARM® Cortex®-M0+,32-Bit,A/D 14x12b; D/A 1x10b,Verified,,,38,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",256KB (256K x 8),FLASH,,32K x 8,"SAM D21G, Functional Safety (FuSa)",48MHz,1.62V ~ 3.6V
ATSAMD21G18A-MFT,Microchip Technology,IC MCU 32BIT 256KB FLASH 48QFN,embedded-microcontrollers,7009,4.57,48-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-D21-DA1-Family-Data-Sheet-DS40001882H.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD21G18A-MFT/5057241,"I2C, LINbus, SPI, UART/USART, USB",ARM® Cortex®-M0+,32-Bit,A/D 14x12b; D/A 1x10b,Not Verified,,Automotive,38,-40°C ~ 125°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",256KB (256K x 8),FLASH,AEC-Q100,32K x 8,"SAM D21G, Functional Safety (FuSa)",48MHz,1.62V ~ 3.6V
ATSAMD21G18A-MU,Microchip Technology,IC MCU 32BIT 256KB FLASH 48QFN,embedded-microcontrollers,802,4.07,48-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-D21-DA1-Family-Data-Sheet-DS40001882H.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD21G18A-MU/4935894,"I2C, LINbus, SPI, UART/USART, USB",ARM® Cortex®-M0+,32-Bit,A/D 14x12b; D/A 1x10b,Not Verified,,,38,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",256KB (256K x 8),FLASH,,32K x 8,"SAM D21G, Functional Safety (FuSa)",48MHz,1.62V ~ 3.6V
ATSAMD21G18A-MUT,Microchip Technology,IC MCU 32BIT 256KB FLASH 48QFN,embedded-microcontrollers,3084,4.16,48-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-D21-DA1-Family-Data-Sheet-DS40001882H.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD21G18A-MUT/4878868,"I2C, LINbus, SPI, UART/USART, USB",ARM® Cortex®-M0+,32-Bit,A/D 14x12b; D/A 1x10b,Not Verified,,,38,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",256KB (256K x 8),FLASH,,32K x 8,"SAM D21G, Functional Safety (FuSa)",48MHz,1.62V ~ 3.6V
ATSAMD21J18A-AU,Microchip Technology,IC MCU 32BIT 256KB FLASH 64TQFP,embedded-microcontrollers,2665,4.38,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU32/ProductDocuments/DataSheets/SAM-D21-DA1-Family-Data-Sheet-DS40001882.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD21J18A-AU/4935901,"I2C, LINbus, SPI, UART/USART, USB",ARM® Cortex®-M0+,32-Bit,A/D 20x12b; D/A 1x10b,Not Verified,,,52,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",256KB (256K x 8),FLASH,,32K x 8,"SAM D21J, Functional Safety (FuSa)",48MHz,1.62V ~ 3.6V
ATSAMD21J18A-AUT,Microchip Technology,IC MCU 32BIT 256KB FLASH 64TQFP,embedded-microcontrollers,239,4.46,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU32/ProductDocuments/DataSheets/SAM-D21-DA1-Family-Data-Sheet-DS40001882.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD21J18A-AUT/4878863,"I2C, LINbus, SPI, UART/USART, USB",ARM® Cortex®-M0+,32-Bit,A/D 20x12b; D/A 1x10b,Not Verified,,,52,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",256KB (256K x 8),FLASH,,32K x 8,"SAM D21J, Functional Safety (FuSa)",48MHz,1.62V ~ 3.6V
ATSAMD51G19A-MUT,Microchip Technology,IC MCU 32BIT 512KB FLASH 48VQFN,embedded-microcontrollers,2408,5.42,48-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU32/ProductDocuments/Errata/SAM-D5x-E5x-Family-Silicon-Errata-and-Data-Sheet-Clarification-DS80000748.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD51G19A-MUT/7390322,"EBI/EMI, I2C, IrDA, LINbus, MMC/SD, QSPI, SPI, UART/USART, USB",ARM® Cortex®-M4F,32-Bit,A/D 20x12b; D/A 2x12b,Not Verified,,,37,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM",512KB (512K x 8),FLASH,,192K x 8,SAM D51,120MHz,1.71V ~ 3.63V
ATSAMD51J20A-AU,Microchip Technology,IC MCU 32BIT 1MB FLASH 64TQFP,embedded-microcontrollers,272,6.59,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU32/ProductDocuments/Errata/SAM-D5x-E5x-Family-Silicon-Errata-and-Data-Sheet-Clarification-DS80000748.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD51J20A-AU/7390362,"EBI/EMI, I2C, IrDA, LINbus, MMC/SD, QSPI, SPI, UART/USART, USB",ARM® Cortex®-M4F,32-Bit,A/D 24x12b; D/A 2x12b,Not Verified,,,51,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM",1MB (1M x 8),FLASH,,256K x 8,SAM D51,120MHz,1.71V ~ 3.63V
