MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Connectivity,Core Processor,Core Size,Data Converters,DigiKey Programmable,EEPROM Size,Grade,Number of I/O,Operating Temperature,Oscillator Type,Peripherals,Program Memory Size,Program Memory Type,Qualification,RAM Size,Series,Speed,Voltage - Supply (Vcc/Vdd)
PIC16F872-I/SO,Microchip Technology,IC MCU 8BIT 3.5KB FLASH 28SOIC,embedded-microcontrollers,590,3.9,"28-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30221c.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F872-I-SO/303513,"I2C, SPI",PIC,8-Bit,A/D 5x10b,Verified,64 x 8,,22,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",3.5KB (2K x 14),FLASH,,128 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F872-I/SP,Microchip Technology,IC MCU 8BIT 3.5KB FLASH 28SPDIP,embedded-microcontrollers,565,4.08,"28-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30221c.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F872-I-SP/303512,"I2C, SPI",PIC,8-Bit,A/D 5x10b,Verified,64 x 8,,22,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",3.5KB (2K x 14),FLASH,,128 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F873A-I/SO,Microchip Technology,IC MCU 8BIT 7KB FLASH 28SOIC,embedded-microcontrollers,1829,5.51,"28-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/39582C.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F873A-I-SO/446135,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 5x10b,Verified,128 x 8,,22,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",7KB (4K x 14),FLASH,,192 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F873A-I/SP,Microchip Technology,IC MCU 8BIT 7KB FLASH 28SPDIP,embedded-microcontrollers,1275,5.78,"28-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/39582C.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F873A-I-SP/446134,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 5x10b,Verified,128 x 8,,22,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",7KB (4K x 14),FLASH,,192 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F876-04/SO,Microchip Technology,IC MCU 8BIT 14KB FLASH 28SOIC,embedded-microcontrollers,1105,6.58,"28-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30292D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F876-04-SO/281141,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 5x10b,Verified,256 x 8,,22,0°C ~ 70°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,4MHz,4V ~ 5.5V
PIC16F876-20/SP,Microchip Technology,IC MCU 8BIT 14KB FLASH 28SPDIP,embedded-microcontrollers,113,7.39,"28-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30292D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F876-20-SP/281142,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 5x10b,Verified,256 x 8,,22,0°C ~ 70°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F876-20I/SP,Microchip Technology,IC MCU 8BIT 14KB FLASH 28SPDIP,embedded-microcontrollers,7036,8.15,"28-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30292D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F876-20I-SP/321207,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 5x10b,Verified,256 x 8,,22,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F876A-I/SO,Microchip Technology,IC MCU 8BIT 14KB FLASH 28SOIC,embedded-microcontrollers,1501,5.95,"28-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/39582C.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F876A-I-SO/446139,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 5x10b,Verified,256 x 8,,22,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F876A-I/SP,Microchip Technology,IC MCU 8BIT 14KB FLASH 28SPDIP,embedded-microcontrollers,5340,6.24,"28-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/39582C.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F876A-I-SP/446140,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 5x10b,Verified,256 x 8,,22,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F876A-I/SS,Microchip Technology,IC MCU 8BIT 14KB FLASH 28SSOP,embedded-microcontrollers,771,6.08,"28-SSOP (0.209"", 5.30mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/39582C.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F876A-I-SS/446141,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 5x10b,Verified,256 x 8,,22,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
