MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,Grade,Qualification,Series,Type
ISO224ADWV,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,174,20.79,"8-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/ISO224ADWV/9856803,,,,,Isolation
ISO224ADWVR,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,2186,17.6,"8-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/ISO224ADWVR/9856801,,,,,Isolation
ISO224BDWV,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,683,25.15,"8-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/ISO224BDWV/9856804,,,,,Isolation
ISO224BDWVR,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,728,21.28,"8-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/ISO224BDWVR/9856802,,,,,Isolation
IX9915N,IXYS Integrated Circuits Division,IC AMP SPECIAL 8-SOIC,interface-controllers,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.littelfuse.com/assetdocs/littelfuse%20integrated%20circuits%20ix9915%20series%20datasheet?assetguid=ffa4520d-8e4a-41ec-ae65-bd070466fdb6,https://www.digikey.com/en/products/detail/ixys-integrated-circuits-division/IX9915N/8638479,Optical,,,,Amplifier
IX9915NTR,IXYS Integrated Circuits Division,IC AMP SPECIAL 8-SOIC,interface-controllers,0,0.79779,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.littelfuse.com/assetdocs/littelfuse%20integrated%20circuits%20ix9915%20series%20datasheet?assetguid=ffa4520d-8e4a-41ec-ae65-bd070466fdb6,https://www.digikey.com/en/products/detail/ixys-integrated-circuits-division/IX9915NTR/8638480,Optical,,,,Amplifier
LA3161-MTK-E,onsemi,IC AMP SPECIAL 8-SIP,interface-controllers,4872,3.56,8-SIP,Through Hole,Active,https://rocelec.widen.net/view/pdf/frr5km3hod/ONSM-S-A0001342077-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LA3161-MTK-E/12127060,,,,,Preamplifier
LA4160-E,onsemi,IC AMP SPECIAL 14-DIP,interface-controllers,18756,0.55,"14-DIP (0.300"", 7.62mm)",Through Hole,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LA4160-E/12119687,,,,,Amplifier
LA7791T-MPB-E,onsemi,IC AMP SPECIAL 20-TSSOPJ,interface-controllers,4011,1.19,"20-TSSOP (0.173"", 4.40mm Width) Exposed Pad",Surface Mount,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LA7791T-MPB-E/12138876,CATV,,,,Variable Gain Amplifier
LA7793V-TLM-E,Sanyo,IC AMP SPECIAL 16-SSOP,interface-controllers,10000,0.58,"16-LSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LA7793V-TLM-E/12610479,,,,,Amplifier
LA7795T-TLM-E,onsemi,IC AMP SPECIAL 8-MSOP,interface-controllers,282000,0.38,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/bzeebprcqq/SNYOS10485-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LA7795T-TLM-E/12134838,,,,,Amplifier
LA8123TT-TLM-E,onsemi,IC AMP SPECIAL 8-MSOP,interface-controllers,9239,0.58,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LA8123TT-TLM-E/12612241,CATV,,,,Amplifier
LA8123TT-TLM-E-SY,Sanyo,AGC AMPLIFIER FOR DIGITAL CATV/C,interface-controllers,42000,0.58,-,-,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LA8123TT-TLM-E-SY/12642895,CATV,,,,Amplifier
LA8160V-TLM-E,Sanyo,IC AMP SPECIAL 16-SSOP,interface-controllers,80000,1.01,"16-LSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LA8160V-TLM-E/12608272,,,,,Preamplifier
LA8160V-TLM-E-ON,onsemi,AGC AMPLIFIER AND PRE AMPLIFIER,interface-controllers,68000,1.01,-,-,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LA8160V-TLM-E-ON/12660933,,,,,Preamplifier
LA8161V-TLM-E,Sanyo,IC AMP SPECIAL 13-SIPH,interface-controllers,12000,1.01,13-SIP,Through Hole,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LA8161V-TLM-E/12599605,,,,,Preamplifier
LA8161V-TLM-E-ON,onsemi,IC AMP SPECIAL 13-SIPH,interface-controllers,4000,1.01,13-SIP,Through Hole,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LA8161V-TLM-E-ON/12642960,,,,,Preamplifier
LF198H,National Semiconductor,IC AMP SPECIAL TO-99-8,interface-controllers,1361,17.79,TO-99-8 Metal Can,Through Hole,Active,https://rocelec.widen.net/view/pdf/yhl7fmjzcw/NATLS10317-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LF198H/13461727,,,,,Sample and Hold
LF298H,National Semiconductor,IC AMP SPECIAL TO-99-8,interface-controllers,2210,17.36,TO-99-8 Metal Can,Through Hole,Active,https://rocelec.widen.net/view/pdf/jtux55bc5u/lf298-mil.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LF298H/13487959,,,,,Sample and Hold
