MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Supply (Max),Features,Operating Temperature,Output,Resolution (Bits),Series,Voltage - Supply
TCS34715FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-SMD,ambient-light-sensors,0,0.0,6-SMD Module,,Obsolete,https://look.ams-osram.com/m/1ab5968309bf0559/original/TCS3471-DS000109.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS34715FN/3821077,330µA @ 3V,"Gain Control, Interrupt, Sleep Mode",-30°C ~ 70°C,I2C,16 b,,2.7 V ~ 3.3 V
TCS34717FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-SMD,ambient-light-sensors,0,0.0,6-SMD Module,,Obsolete,https://look.ams-osram.com/m/1ab5968309bf0559/original/TCS3471-DS000109.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS34717FN/3095159,330µA @ 3V,"Gain Control, Interrupt, Sleep Mode",-30°C ~ 70°C,I2C,16 b,,2.7 V ~ 3.3 V
TCS34725FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-SMD,ambient-light-sensors,0,1.485,6-SMD Module,,Obsolete,https://ams.com/documents/20143/36005/TCS3472_DS000390_3-00.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS34725FN/3737685,330µA @ 3V,"Gain Control, Interrupt, Sleep Mode",-30°C ~ 70°C,I2C,16 b,,2.7 V ~ 3.6 V
TCS34727FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-SMD,ambient-light-sensors,0,0.0,6-SMD Module,,Obsolete,https://ams.com/documents/20143/36005/TCS3472_DS000390_3-00.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS34727FN/3737673,330µA @ 3V,"Gain Control, Interrupt, Sleep Mode",-30°C ~ 70°C,I2C,16 b,,2.7 V ~ 3.6 V
TCS34901FN,ams-OSRAM USA INC.,IC COLOR CONV LIGHT-DGTL 6ODFN,ambient-light-sensors,0,0.0,-,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/897/TCS3490.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS34901FN/10269988,,,,,,,
TCS34903FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 6-UDFN,ambient-light-sensors,0,1.64542,6-UDFN,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/897/TCS3490.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS34903FN/5131652,330µA @ 3V,,-40°C ~ 70°C,I2C,,,2.7 V ~ 3.6 V
TCS34907FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 6-UDFN,ambient-light-sensors,0,1.64542,6-UDFN,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/897/TCS3490.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS34907FN/5131653,330µA @ 3V,,-40°C ~ 70°C,I2C,,,2.7 V ~ 3.6 V
TCS35303-2M OLGA8 LF T&RDP,ams-OSRAM USA INC.,TRUE COLOR SENSOR WITH FLICKER,ambient-light-sensors,0,3.81274,-,,Active,,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS35303-2M-OLGA8-LF-T-RDP/22078555,,,,,,*,
TCS37715FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-SMD,ambient-light-sensors,0,0.0,6-SMD Module,,Obsolete,https://ams.com/documents/20143/36005/TCS3771_DS000341_2-00.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS37715FN/4896341,330µA @ 3V,"Gain Control, Interrupt, Proximity Detection, Sleep Mode",-30°C ~ 70°C,I2C,16 b,,2.7 V ~ 3.3 V
TCS37717FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-SMD,ambient-light-sensors,0,0.0,6-SMD Module,,Obsolete,https://ams.com/documents/20143/36005/TCS3771_DS000341_2-00.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS37717FN/3095160,330µA @ 3V,"Gain Control, Interrupt, Proximity Detection, Sleep Mode",-30°C ~ 70°C,I2C,16 b,,2.7 V ~ 3.6 V
