MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Access Time,Clock Frequency,DigiKey Programmable,Grade,Memory Format,Memory Interface,Memory Organization,Memory Size,Memory Type,Operating Temperature,Qualification,Series,Technology,Voltage - Supply,"Write Cycle Time - Word, Page"
24AA02T-I/MNY,Microchip Technology,IC EEPROM 2KBIT I2C 400KHZ 8TDFN,memory,9762,0.37,8-WFDFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA02-24LC02B-24FC02-2K-I2C-Serial-EEPROM-20001709N.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA02T-I-MNY/2059605,900 ns,400 kHz,Not Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA02T-I/OT,Microchip Technology,IC EEPROM 2KBIT I2C SOT23-5,memory,6386,0.31,"SC-74A, SOT-753",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/24AA02-24LC02B-24FC02-2Kbit-I2C-Serial-EEPROM-DS20001709.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA02T-I-OT/443515,900 ns,400 kHz,Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA02UIDT-I/OT,Microchip Technology,IC EEPROM 2KBIT I2C SOT23-5,memory,16532,0.31,"SC-74A, SOT-753",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/20005202A.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA02UIDT-I-OT/4079901,900 ns,400 kHz,Not Verified,,EEPROM,I2C,128 x 8 x 2,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA02UIDT-I/SN,Microchip Technology,IC EEPROM 2KBIT I2C 400KHZ 8SOIC,memory,3840,0.32,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/20005202A.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA02UIDT-I-SN/4079925,900 ns,400 kHz,Not Verified,,EEPROM,I2C,128 x 8 x 2,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA04T-I/OT,Microchip Technology,IC EEPROM 4KBIT I2C SOT23-5,memory,4386,0.32,"SC-74A, SOT-753",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA04-24LC04B-24FC04-4K-I2C-Serial-EEPROM-20001708P.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA04T-I-OT/443577,900 ns,400 kHz,Verified,,EEPROM,I2C,256 x 8 x 2,4Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA08T-I/OT,Microchip Technology,IC EEPROM 8KBIT I2C SOT23-5,memory,27086,0.35,"SC-74A, SOT-753",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA08-24LC08B-24FC08-8K-I2C-Serial-EEPROM-20001710M.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA08T-I-OT/443521,900 ns,400 kHz,Verified,,EEPROM,I2C,256 x 8 x 4,8Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA08T-I/SN,Microchip Technology,IC EEPROM 8KBIT I2C 400KHZ 8SOIC,memory,4691,0.37,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA08-24LC08B-24FC08-8K-I2C-Serial-EEPROM-20001710M.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA08T-I-SN/318557,900 ns,400 kHz,Verified,,EEPROM,I2C,256 x 8 x 4,8Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA1025-I/P,Microchip Technology,IC EEPROM 1MBIT I2C 400KHZ 8DIP,memory,618,4.23,"8-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20001941L.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA1025-I-P/957535,900 ns,400 kHz,Not Verified,,EEPROM,I2C,128K x 8,1Mbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA1025-I/SM,Microchip Technology,IC EEPROM 1MBIT I2C 400KHZ 8SOIJ,memory,560,4.05,"8-SOIC (0.209"", 5.30mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20001941L.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA1025-I-SM/957536,900 ns,400 kHz,Verified,,EEPROM,I2C,128K x 8,1Mbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA1025-I/SN,Microchip Technology,IC EEPROM 1MBIT I2C 400KHZ 8SOIC,memory,1372,4.02,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20001941L.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA1025-I-SN/2270912,900 ns,400 kHz,Not Verified,,EEPROM,I2C,128K x 8,1Mbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
