MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Control Features,Current - Output,Current - Quiescent (Iq),Current - Supply (Max),Grade,Number of Regulators,Operating Temperature,Output Configuration,Output Type,PSRR,Protection Features,Qualification,Series,Voltage - Input (Max),Voltage - Output (Max),Voltage - Output (Min/Fixed),Voltage Dropout (Max)
MC78M05CDTRKG,onsemi,IC REG LINEAR 5V 500MA DPAK,pmic-voltage-regulators-linear,47012,0.43,"TO-252-3, DPAK (2 Leads + Tab), SC-63",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc78m00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC78M05CDTRKG/660633,,500mA,,,,1,0°C ~ 125°C,Positive,Fixed,80dB (120Hz),"Over Temperature, Short Circuit",,,35V,,5V,
MC78M12BDTG,onsemi,IC REG LINEAR 12V 500MA DPAK,pmic-voltage-regulators-linear,2572,0.24613,"TO-252-3, DPAK (2 Leads + Tab), SC-63",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc78m00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC78M12BDTG/919378,,500mA,,,,1,-40°C ~ 125°C,Positive,Fixed,80dB (120Hz),"Over Temperature, Short Circuit",,,35V,,12V,
MC78M12CDTG,onsemi,IC REG LINEAR 12V 500MA DPAK,pmic-voltage-regulators-linear,1170,0.21347,"TO-252-3, DPAK (2 Leads + Tab), SC-63",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc78m00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC78M12CDTG/1481469,,500mA,,,,1,0°C ~ 125°C,Positive,Fixed,80dB (120Hz),"Over Temperature, Short Circuit",,,35V,,12V,
MC78M15CDTG,onsemi,IC REG LINEAR 15V 500MA DPAK,pmic-voltage-regulators-linear,17654,0.22547,"TO-252-3, DPAK (2 Leads + Tab), SC-63",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc78m00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC78M15CDTG/1481487,,500mA,,,,1,0°C ~ 125°C,Positive,Fixed,70dB (120Hz),"Over Temperature, Short Circuit",,,35V,,15V,
MC79L05ABDR2G,onsemi,IC REG LINEAR -5V 100MA 8-SOIC,pmic-voltage-regulators-linear,23415,0.27,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc79l00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC79L05ABDR2G/919397,,100mA,,,,1,-40°C ~ 125°C,Negative,Fixed,49dB (120Hz),"Over Temperature, Short Circuit",,,-30V,,-5V,1.7V @ 40mA (Typ)
MC79L05ABPRAG,onsemi,IC REG LINEAR -5V 100MA TO92,pmic-voltage-regulators-linear,5303,0.3,"TO-226-3, TO-92-3 Long Body, Formed Leads",Through Hole,Active,https://www.onsemi.com/pdf/datasheet/mc79l00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC79L05ABPRAG/1481557,,100mA,,,,1,-40°C ~ 125°C,Negative,Fixed,49dB (120Hz),"Over Temperature, Short Circuit",,,-30V,,-5V,1.7V @ 40mA (Typ)
MC79L05ACPG,onsemi,IC REG LINEAR -5V 100MA TO92,pmic-voltage-regulators-linear,8192,0.29,"TO-226-3, TO-92-3 Long Body",Through Hole,Active,https://www.onsemi.com/pdf/datasheet/mc79l00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC79L05ACPG/1481560,,100mA,,,,1,0°C ~ 125°C,Negative,Fixed,49dB (120Hz),"Over Temperature, Short Circuit",,,-30V,,-5V,1.7V @ 40mA (Typ)
MC79L05F-TP,MCC (Micro Commercial Components),IC REG LINEAR -5V 100MA SOT89,pmic-voltage-regulators-linear,45737,0.28,TO-243AA,Surface Mount,Active,https://www.mccsemi.com/pdf/Products/MC79L05F(SOT-89).pdf,https://www.digikey.com/en/products/detail/mcc-micro-commercial-components/MC79L05F-TP/804677,,100mA,6 mA,,,1,0°C ~ 125°C,Negative,Fixed,71dB (120Hz),"Over Temperature, Short Circuit",,,-30V,,-5V,
MC79L12ABDR2G,onsemi,IC REG LINEAR -12V 100MA 8-SOIC,pmic-voltage-regulators-linear,1287,0.27,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc79l00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC79L12ABDR2G/1481568,,100mA,,,,1,-40°C ~ 125°C,Negative,Fixed,42dB (120Hz),"Over Temperature, Short Circuit",,,-35V,,-12V,1.7V @ 40mA (Typ)
MC79L12ACDR2G,onsemi,IC REG LINEAR -12V 100MA 8-SOIC,pmic-voltage-regulators-linear,7372,0.27,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc79l00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC79L12ACDR2G/919401,,100mA,,,,1,0°C ~ 125°C,Negative,Fixed,42dB (120Hz),"Over Temperature, Short Circuit",,,-35V,,-12V,1.7V @ 40mA (Typ)
