MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,Clock Frequency,Current - Output Source/Sink,DigiKey Programmable,Features,Grade,Interface,Interrupt Output,Number of I/O,Number of Outputs,Operating Temperature,Output Type,Qualification,Series,Voltage - Input,Voltage - Output,Voltage - Supply
SX1512BIULTRT,Semtech Corporation,IC XPNDR 20MHZ SPI 28QFN,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,28-UFQFN Exposed Pad,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/semtech-corporation/SX1512BIULTRT/5118192,,20 MHz,"8mA, 15mA",Not Verified,,,SPI,No,16,,-40°C ~ 85°C,"Open Drain, Push-Pull",,,,,1.425V ~ 3.6V
TC1266VOA,Microchip Technology,IC REG CONV PCI 1OUT 8SOIC,pmic-voltage-regulators-dc-dc-switching-controllers,0,0.58937,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://ww1.microchip.com/downloads/en/DeviceDoc/20001377D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/TC1266VOA/442840,"Converter, PCI Peripheral Card Applications",,,,,,,,,1,-5°C ~ 70°C,,,,4.3V ~ 5.5V,3.3V,
TC1266VOATR,Microchip Technology,IC REG CONV PCI 1OUT 8SOIC,pmic-voltage-regulators-dc-dc-switching-controllers,0,0.48841,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://ww1.microchip.com/downloads/en/DeviceDoc/20001377D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/TC1266VOATR/443085,"Converter, PCI Peripheral Card Applications",,,,,,,,,1,-5°C ~ 70°C,,,,4.3V ~ 5.5V,3.3V,
TC1266VUA,Microchip Technology,IC REG CONV PCI 1OUT 8MSOP,pmic-voltage-regulators-dc-dc-switching-controllers,0,0.58937,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://ww1.microchip.com/downloads/en/DeviceDoc/20001377D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/TC1266VUA/442839,"Converter, PCI Peripheral Card Applications",,,,,,,,,1,-5°C ~ 70°C,,,,4.3V ~ 5.5V,3.3V,
TCA1116PWR,Texas Instruments,IC XPNDR 400KHZ I2C 24TSSOP,pmic-voltage-regulators-dc-dc-switching-regulators,0,2.37006,"24-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/272/TCA1116PWR.pdf,https://www.digikey.com/en/products/detail/texas-instruments/TCA1116PWR/2762218,,400 kHz,,Not Verified,POR,,I2C,Yes,16,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA1116RTWR,Texas Instruments,IC XPNDR 400KHZ I2C 24WQFN,pmic-voltage-regulators-dc-dc-switching-regulators,0,2.53638,24-WFQFN Exposed Pad,Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/272/TCA1116PWR.pdf,https://www.digikey.com/en/products/detail/texas-instruments/TCA1116RTWR/2762557,,400 kHz,,Not Verified,POR,,I2C,Yes,16,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6408APWR,Texas Instruments,IC XPND 400KHZ I2C SMBUS 16TSSOP,pmic-voltage-regulators-dc-dc-switching-regulators,10867,1.6,"16-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6408APWR/2044044,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,8,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6408AQPWRQ1,Texas Instruments,IC XPND 400KHZ I2C SMBUS 16TSSOP,pmic-voltage-regulators-dc-dc-switching-regulators,3222,2.23,"16-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6408AQPWRQ1/6210616,,400 kHz,"10mA, 25mA",Not Verified,POR,Automotive,"I2C, SMBus",Yes,8,,-40°C ~ 125°C,Push-Pull,AEC-Q100,,,,1.65V ~ 3.6V
TCA6408ARGTR,Texas Instruments,IC XPNDR 400KHZ I2C SMBUS 16VQFN,pmic-voltage-regulators-dc-dc-switching-regulators,26893,1.47,16-VFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6408ARGTR/2094640,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,8,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6408ARSVR,Texas Instruments,IC XPNDR 400KHZ I2C SMBUS 16UQFN,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.91,16-UFQFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6408ARSVR/2044045,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,8,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6408PW,Texas Instruments,IC XPND 400KHZ I2C SMBUS 16TSSOP,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,"16-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6408PW/1905296,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,8,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6408PWG4,Texas Instruments,IC XPND 400KHZ I2C SMBUS 16TSSOP,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,"16-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6408PWG4/1905297,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,8,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6408PWR,Texas Instruments,IC XPND 400KHZ I2C SMBUS 16TSSOP,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,"16-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6408PWR/1628996,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,8,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6408PWRG4,Texas Instruments,IC XPND 400KHZ I2C SMBUS 16TSSOP,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,"16-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6408PWRG4/1905298,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,8,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6408RGTR,Texas Instruments,IC XPNDR 400KHZ I2C SMBUS 16VQFN,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,16-VFQFN Exposed Pad,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6408RGTR/1628997,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,8,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6408ZXYR,Texas Instruments,IC XPNDR 400KHZ I2C SMBUS 20BGA,pmic-voltage-regulators-dc-dc-switching-regulators,0,1.84,20-UFBGA,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6408ZXYR/1905300,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,8,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6416APWR,Texas Instruments,IC XPND 400KHZ I2C SMBUS 24TSSOP,pmic-voltage-regulators-dc-dc-switching-regulators,4113,1.81,"24-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6416APWR/2071175,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,16,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6416ARTWR,Texas Instruments,IC XPNDR 400KHZ I2C SMBUS 24WQFN,pmic-voltage-regulators-dc-dc-switching-regulators,0,2.05,24-WFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6416ARTWR/2094641,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,16,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6416AZQSR,Texas Instruments,IC XPNDR 400KHZ I2C SMBUS 24BGA,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,24-VFBGA,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/190/TCA6416A.pdf,https://www.digikey.com/en/products/detail/texas-instruments/TCA6416AZQSR/2074533,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,16,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6416AZQSR REEL,Texas Instruments,TCA6416AZQSR  REEL,pmic-voltage-regulators-dc-dc-switching-regulators,161,1.86,-,-,Active,http://www.ti.com/lit/ds/symlink/tca6416a.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/TCA6416AZQSR-REEL/12711179,,,,Not Verified,,,,,,,,,,*,,,
TCA6416PW,Texas Instruments,IC XPNDR 400KHZ I2C 24TSSOP,pmic-voltage-regulators-dc-dc-switching-regulators,0,2.57293,"24-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6416PW/1905301,,400 kHz,"10mA, 25mA",Not Verified,POR,,I2C,Yes,16,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6416PWG4,Texas Instruments,IC XPND 400KHZ I2C SMBUS 24TSSOP,pmic-voltage-regulators-dc-dc-switching-regulators,0,1.81038,"24-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6416PWG4/1905302,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,16,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6416PWR,Texas Instruments,IC XPND 400KHZ I2C SMBUS 24TSSOP,pmic-voltage-regulators-dc-dc-switching-regulators,2814,5.43,"24-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Not For New Designs,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6416PWR/1875091,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,16,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6416PWT,Texas Instruments,IC XPND 400KHZ I2C SMBUS 24TSSOP,pmic-voltage-regulators-dc-dc-switching-regulators,240,6.27,"24-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Not For New Designs,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6416PWT/1905304,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,16,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6416RTWR,Texas Instruments,IC XPNDR 400KHZ I2C SMBUS 24WQFN,pmic-voltage-regulators-dc-dc-switching-regulators,0,3.34334,24-WFQFN Exposed Pad,Surface Mount,Not For New Designs,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6416RTWR/2353630,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,16,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6416RTWT,Texas Instruments,IC XPNDR 400KHZ I2C SMBUS 24WQFN,pmic-voltage-regulators-dc-dc-switching-regulators,0,2.57292,24-WFQFN Exposed Pad,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6416RTWT/2232512,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,16,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6416ZQSR,Texas Instruments,IC XPNDR 400KHZ I2C SMBUS 24BGA,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,24-VFBGA,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6416ZQSR/1905306,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,16,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6418EYFPR,Texas Instruments,IC XPNDR 1MHZ I2C 25DSBGA,pmic-voltage-regulators-dc-dc-switching-regulators,666,2.41,"25-XFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6418EYFPR/3645877,,1 MHz,"10mA, 25mA",Not Verified,"Keypad Controller, POR",,I2C,Yes,18,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 3.6V
TCA6424ARGJR,Texas Instruments,IC XPNDR 400KHZ I2C SMBUS 32UQFN,pmic-voltage-regulators-dc-dc-switching-regulators,14702,2.78,32-UFQFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6424ARGJR/2411677,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,24,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA6424RGJR,Texas Instruments,IC XPNDR 400KHZ I2C SMBUS 32UQFN,pmic-voltage-regulators-dc-dc-switching-regulators,4572,6.44,32-UFQFN Exposed Pad,Surface Mount,Not For New Designs,,https://www.digikey.com/en/products/detail/texas-instruments/TCA6424RGJR/1832261,,400 kHz,"10mA, 25mA",Not Verified,POR,,"I2C, SMBus",Yes,24,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA7408ZSZR,Texas Instruments,IC XPNDR 400KHZ I2C SMBUS 16UCSP,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,"16-UFBGA, CSPBGA",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/190/TCA7408.pdf,https://www.digikey.com/en/products/detail/texas-instruments/TCA7408ZSZR/2798807,,400 kHz,10mA,Not Verified,POR,,"I2C, SMBus",Yes,8,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 3.6V
TCA9534ADWR,Texas Instruments,IC XPNDR 400KHZ I2C 16SOIC,pmic-voltage-regulators-dc-dc-switching-regulators,1441,1.72,"16-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TCA9534ADWR/7653206,,400 kHz,,Not Verified,,,I2C,Yes,8,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
TCA9534ADWT,Texas Instruments,IC XPNDR 400KHZ I2C 16SOIC,pmic-voltage-regulators-dc-dc-switching-regulators,374,2.21,"16-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TCA9534ADWT/6579533,,400 kHz,,Not Verified,,,I2C,Yes,8,,-40°C ~ 85°C,Push-Pull,,,,,1.65V ~ 5.5V
