MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Filter Order,Filter Type,Frequency - Cutoff or Center,Grade,Number of Filters,Qualification,Series,Voltage - Supply
AS3435-EQFM QFN36 LF T&RDP,ams-OSRAM USA INC.,IC HEADPHONE NOISE-CANCEL 36QFN,pmic-led-drivers,0,0.0,36-VFQFN Exposed Pad,Surface Mount,Obsolete,https://ams.com/documents/20143/36005/AS3415_AS3435_FS000193_1-00.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS3435-EQFM-QFN36-LF-T-RDP/4896021,,,,,1,,,1V ~ 1.8V
AS3435-EQFP QFN36 LF T&RDP,ams-OSRAM USA INC.,IC HEADPHONE NOISE-CANCEL 36QFN,pmic-led-drivers,0,0.0,36-VFQFN Exposed Pad,Surface Mount,Obsolete,https://ams.com/documents/20143/36005/AS3415_AS3435_FS000193_1-00.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS3435-EQFP-QFN36-LF-T-RDP/4896022,,,,,1,,,1V ~ 1.8V
AS3501-EQFP,ams-OSRAM USA INC.,IC ACTIVE NOISE CANCEL 24-QFN,pmic-led-drivers,0,0.0,24-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/AS3500%2C01%2C02.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS3501-EQFP/2792752,,,,,1,,,1V ~ 1.8V
AS3501-EQFP-500,ams-OSRAM USA INC.,IC HEADPHONE NOISE-CANCEL 24-QFN,pmic-led-drivers,0,2.375,-,-,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/399/AS3500%2C01%2C02.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS3501-EQFP-500/3095142,,,,,,,*,
ASNT6171-KMO,ADSANTEC,10G ANALOG 15TAP DUAL FIR FILTER,pmic-led-drivers,15,3.0,64-CQFP,Surface Mount,Active,https://adsantec.com/wp-content/uploads/2016/09/ASNT6171-KMO_15tapFIRfilter_v1-1-2.pdf,https://www.digikey.com/en/products/detail/adsantec/ASNT6171-KMO/14563769,,Analog FIR,,,,,,"3.1V ~ 3.5V, 1.2V"
ASNT6172-KMN,ADSANTEC,20G ANALOG 9-TAP 2X2 FIR SWITCH,pmic-led-drivers,12,1.0,64-CQFP,Surface Mount,Active,https://adsantec.com/wp-content/uploads/2019/10/ASNT6172-KMN_FIRLin2ch9tap_v1-2-2.pdf,https://www.digikey.com/en/products/detail/adsantec/ASNT6172-KMN/14563773,,Analog FIR,,,,,,"1.2V, 2.9V, 4V"
BA3830F-E2,Rohm Semiconductor,IC FILTER BAND PASS 18SOP,pmic-led-drivers,0,2.975,"18-SOIC (0.213"", 5.40mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1044/BA3830F.pdf,https://www.digikey.com/en/products/detail/rohm-semiconductor/BA3830F-E2/2337028,,Band Pass,,,6,,,4.5V ~ 8V
BA3834F-E2,Rohm Semiconductor,IC FILTER BAND PASS 18SOP,pmic-led-drivers,0,3.72,"18-SOIC (0.213"", 5.40mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4444/BA3834F.pdf,https://www.digikey.com/en/products/detail/rohm-semiconductor/BA3834F-E2/2673850,,Band Pass,,,7,,,4.5V ~ 6.5V
BA3835F-E2,Rohm Semiconductor,IC FILTER BAND PASS 18SOP,pmic-led-drivers,0,0.0,"18-SOIC (0.213"", 5.40mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4188/BA3835F.pdf,https://www.digikey.com/en/products/detail/rohm-semiconductor/BA3835F-E2/2673778,,Band Pass,,,7,,,4.5V ~ 6.5V
CS5333-BZ,Cirrus Logic Inc.,MULTI CH DECIMATION FILTER,pmic-led-drivers,2601,6.61,-,-,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/CS5333-BZ/12108948,,,,,,,,
CS5376A-IQZ,Cirrus Logic Inc.,IC FILTER DIGITAL 64TQFP,pmic-led-drivers,0,0.0,64-LQFP,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/729/CS5376A.pdf,https://www.digikey.com/en/products/detail/cirrus-logic-inc/CS5376A-IQZ/2036775,2nd,Digital,,,4,,,3V ~ 5V
CS5376A-IQZR,Cirrus Logic Inc.,IC FILTER DIGITAL 64TQFP,pmic-led-drivers,0,109.08,64-LQFP,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/729/CS5376A.pdf,https://www.digikey.com/en/products/detail/cirrus-logic-inc/CS5376A-IQZR/2036776,2nd,Digital,,,4,,,3V ~ 5V
CS5378-ISZR,Cirrus Logic Inc.,LP SINGLE-CHANNEL DECIMATION FIL,pmic-led-drivers,7000,126.2,-,-,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7138/2156_cs5378_f3.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/CS5378-ISZR/15640850,,,,,,,*,
DF1760U,Burr Brown,"DIGITAL FILTER, 4-BIT",pmic-led-drivers,288,29.53,"20-SOIC (0.209"", 5.30mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/zve3523fti/TXII-S-A0000596035-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DF1760U/11544273,4th,Digital,,,2,,,4.75V ~ 5.25V
GC2011A-PB,Texas Instruments,IC FILTER DIGITAL 160BGA,pmic-led-drivers,0,170.96,160-BGA,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1/GC2011A.pdf,https://www.digikey.com/en/products/detail/texas-instruments/GC2011A-PB/414021,,Digital,,,2,,,3.1V ~ 3.5V
GC2011A-PQ,Texas Instruments,IC FILTER DIGITAL 160QFP,pmic-led-drivers,0,593.36042,160-BQFP,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1/GC2011A.pdf,https://www.digikey.com/en/products/detail/texas-instruments/GC2011A-PQ/414022,,Digital,,,2,,,3.1V ~ 3.5V
HMC1000LP5E,Analog Devices Inc.,IC FILTER BAND PASS 32SMT,pmic-led-drivers,0,0.0,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc1000.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC1000LP5E/3984844,,Band Pass,,,1,,,14V
HMC1000LP5ETR,Analog Devices Inc.,IC FILTER BAND PASS 32SMT,pmic-led-drivers,0,0.0,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc1000.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC1000LP5ETR/5304326,,Band Pass,,,1,,,14V
HMC1044LP3E,Analog Devices Inc.,IC FILTER LOW PASS 16QFN,pmic-led-drivers,0,0.0,16-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc1044.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC1044LP3E/5170313,,Low Pass,,,1,,,
HMC1044LP3ETR,Analog Devices Inc.,IC FILTER LOW PASS 16QFN,pmic-led-drivers,0,0.0,16-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc1044.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC1044LP3ETR/4425480,,Low Pass,,,1,,,
HMC6880LP5ETR,Analog Devices Inc.,IC DIVIDER QFN,pmic-led-drivers,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC6880LP5ETR/6709399,,,,,,,*,
HMC6881LP5ETR,Analog Devices Inc.,IC DIVIDER QFN,pmic-led-drivers,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC6881LP5ETR/6709400,,,,,,,*,
HMC881ALP5E,Analog Devices Inc.,"LPF, TUNABLE, 2.2 TO 4 GHZ",pmic-led-drivers,19,180.21,"32-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/HMC881A.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC881ALP5E/10270885,,Low Pass,2.4GHz ~ 4GHz,,1,,,0V ~ 14V
