MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,"Coded, Keyed",Color,Contents,Features,For Use With/Related Products,Gender,Includes,Number of Positions,Series,Size,Stacking Direction,Style,Terminal Size,Terminal Type,Termination Style,Thread Size,Type
280430,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 8POS NAT,optoisolators-transistor-photovoltaic-output,0,0.0,,Panel Mount,Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/280430/1153246,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,8,Fastin-Faston,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
280430-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 8POS RED,optoisolators-transistor-photovoltaic-output,0,0.37255,,Panel Mount,Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/280430-1/2279650,,Red,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,8,Fastin-Faston,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
280542,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 2POS NAT,optoisolators-transistor-photovoltaic-output,0,0.13853,,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/280542/2279652,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,2,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
280543,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 2POS CLEAR,optoisolators-transistor-photovoltaic-output,0,0.23188,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/280543/2279654,,Clear,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,2,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
280543-5,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 2POS BLACK,optoisolators-transistor-photovoltaic-output,0,0.23651,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/280543-5/2279656,,Black,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,2,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
280771,TE Connectivity AMP Connectors,CONN RCPT HSG 0.250 0.375 2POS,optoisolators-transistor-photovoltaic-output,0,0.0,,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/280771/2284694,,Natural,,,"0.250"" (6.35mm) and 0.375"" (9.53mm) Quick Connects","Female, Receptacle",,2,Fastin-Faston,,Perpendicular,Housing,"0.250"" (6.35mm), 0.375"" (9.53mm)","Quick Connect, Disconnect",,,
280924,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.250/0.375,optoisolators-transistor-photovoltaic-output,0,0.44281,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/280924/2279666,,Natural,,,"0.250"" (6.35mm) and 0.375"" (9.53mm) Quick Connects","Male, Tab",,2,Fastin-Faston,,Perpendicular,Housing,"0.250"" (6.35mm), 0.375"" (9.53mm)","Quick Connect, Disconnect",,,
281006-4,TE Connectivity,3 Position Cluster Block Housing,optoisolators-transistor-photovoltaic-output,55000,0.195,,Free Hanging (In-Line),Active,https://www.waldomemea.com/productfiles/mf-amp/amp-2810064-10325061.pdf,https://www.digikey.com/en/products/detail/te-connectivity/281006-4/29301748,,Natural,,,2.30mm Dia Receptacle,"Female, Receptacle",,3,,,Side to Side,Cluster Block Housing,,Magnetic Wire,,,
2814530000,Weidmüller,HDC KIT HEE 32F NEWAG,optoisolators-logic-output,0,115.69,,,Active,,https://www.digikey.com/en/products/detail/weidm%C3%BCller/2814530000/26592065,,,,,,,,,,,,,,,,,
2814540000,Weidmüller,HDC KIT HEE 32M NEWAG,optoisolators-logic-output,0,84.52,,,Active,,https://www.digikey.com/en/products/detail/weidm%C3%BCller/2814540000/26589298,,,,,,,,,,,,,,,,,
281734-2,TE Connectivity AMP Connectors,CONN RCPT HOUSING 0.312 3POS,optoisolators-transistor-photovoltaic-output,0,0.19181,Box,"Free Hanging (In-Line), Right Angle",Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281734-2/2054293,,,,,"0.312"" (7.92mm) Quick Connects, Flag","Female, Receptacle",,3,,,Multiple,Housing,"0.312"" (7.92mm)","Quick Connect, Disconnect",,,
281851-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 4POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.49654,,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281851-1/5157043,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,4,Positive Lock,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
281852-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.375 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,1.11527,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281852-1/5123893,,Natural,,,"0.375"" (9.53mm) Quick Connects","Female, Receptacle",,2,,,Multiple,Housing,"0.375"" (9.53mm)","Quick Connect, Disconnect",,,
281852-2,TE Connectivity AMP Connectors,CONN RCPT HSG 0.375 2POS BLACK,optoisolators-transistor-photovoltaic-output,21,2.47,,Free Hanging (In-Line),Active,https://www.te.com/usa-en/product-281852-2.datasheet.pdf,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281852-2/5157047,,Black,,,"0.375"" (9.53mm) Quick Connects","Female, Receptacle",,2,,,Multiple,Housing,"0.375"" (9.53mm)","Quick Connect, Disconnect",,,
281856-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.375 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.44,,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281856-1/5157026,,Natural,,,"0.375"" (9.53mm) Quick Connects","Female, Receptacle",,2,,,Multiple,Housing,"0.375"" (9.53mm)","Quick Connect, Disconnect",,,
281856-2,TE Connectivity AMP Connectors,CONN RCPT HSG 0.375 2POS BLACK,optoisolators-transistor-photovoltaic-output,0,0.8823,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281856-2/5123898,,Black,,,"0.375"" (9.53mm) Quick Connects","Female, Receptacle",,2,,,Multiple,Housing,"0.375"" (9.53mm)","Quick Connect, Disconnect",,,
281866-3,TE Connectivity AMP Connectors,CONN MALE TAB HOUSING 2POS BLACK,optoisolators-transistor-photovoltaic-output,0,0.0,Bag,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281866-3/5437289,,Black,,,,"Male, Tab",,2,,,Side to Side,Housing,,,,,
281871-1,TE Connectivity AMP Connectors,5MM PITCH TAB/RECPT CONN,optoisolators-transistor-photovoltaic-output,0,0.45738,Box,-,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281871-1/10467333,,,,,,,,,*,,,,,,,,
281871-3,TE Connectivity AMP Connectors,5MM PITCH TAB/RECPT CONN,optoisolators-transistor-photovoltaic-output,0,0.46105,Box,-,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281871-3/10467485,,,,,,,,,*,,,,,,,,
281872-1,TE Connectivity AMP Connectors,5MM PITCH TAB/RECPT CONN,optoisolators-transistor-photovoltaic-output,0,0.26275,,-,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281872-1/10478385,,,,,,,,,*,,,,,,,,
281888-1,TE Connectivity,POSITIVE LOCK HOUSING RECEPTACLE,optoisolators-transistor-photovoltaic-output,10000,0.226,,-,Active,,https://www.digikey.com/en/products/detail/wec/281888-1/29355548,,,,,,,,,*,,,,,,,,
281889-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 4POS CLEAR,optoisolators-transistor-photovoltaic-output,0,0.0,,Free Hanging (In-Line),Obsolete,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F281889%7FB1%7Fpdf%7FEnglish%7FENG_CD_281889_B1.pdf%7F281889-1,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281889-1/5157040,,Clear,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,4,Mark I,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
281991-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 1POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.09131,Box,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281991-1/5440555,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,1,Positive Lock,,,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
281991-2,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 1POS BLACK,optoisolators-transistor-photovoltaic-output,0,0.12509,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281991-2/5440554,,Black,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,1,Positive Lock,,,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
281993-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.250/0.375 2POS,optoisolators-transistor-photovoltaic-output,0,0.222,,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281993-1/5124062,,Clear,,,"0.250"" (6.35mm) and 0.375"" (9.53mm) Quick Connects","Female, Receptacle",,2,Fastin-Faston,,Perpendicular,Housing,"0.250"" (6.35mm), 0.375"" (9.53mm)","Quick Connect, Disconnect",,,
281993-3,TE Connectivity AMP Connectors,CONN RCPT HSG 0.250/0.375 2POS,optoisolators-transistor-photovoltaic-output,0,0.0,,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/281993-3/2279668,,Black,,,"0.250"" (6.35mm) and 0.375"" (9.53mm) Quick Connects","Female, Receptacle",,2,Fastin-Faston,,Perpendicular,Housing,"0.250"" (6.35mm), 0.375"" (9.53mm)","Quick Connect, Disconnect",,,
282011-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 4POS CLEAR,optoisolators-transistor-photovoltaic-output,0,0.0,Box,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/282011-1/5440663,,Clear,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,4,Positive Lock,,Multiple,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
2825082-1,TE Connectivity AMP Connectors,CONN RCPT CLUSTER BLOCK HSG 3POS,optoisolators-transistor-photovoltaic-output,0,0.12155,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/2825082-1/6042507,,Natural,,,2.30mm Dia Receptacle,"Female, Receptacle",,3,,,Side to Side,Cluster Block Housing,,Cluster Pin Receptacle,,,
2825082-2,TE Connectivity AMP Connectors,CONN RCPT CLUSTER BLOCK HSG 3POS,optoisolators-transistor-photovoltaic-output,0,0.18219,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/2825082-2/6042508,,Black,,,2.30mm Dia Receptacle,"Female, Receptacle",,3,,,Side to Side,Cluster Block Housing,,Cluster Pin Receptacle,,,
284406-1,TE Connectivity AMP Connectors,CONN RCPT CLUSTER BLOCK HSG 3POS,optoisolators-transistor-photovoltaic-output,14850,0.201,Box,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/284406-1/14762993,,Natural,,,2.30mm Dia Receptacle,"Female, Receptacle",,3,,,Side to Side,Cluster Block Housing,,Cluster Pin Receptacle,,,
284406-3,TE Connectivity AMP Connectors,CONN RCPT CLUSTER BLOCK HSG 3POS,optoisolators-transistor-photovoltaic-output,0,0.08676,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/284406-3/5440309,,Natural,,,2.30mm Dia Receptacle,"Female, Receptacle",,3,,,Side to Side,Cluster Block Housing,,Cluster Pin Receptacle,,,
284677-1,TE Connectivity AMP Connectors,HOUSING 4 W FOR JPT CONTACT -,optoisolators-transistor-photovoltaic-output,0,0.56258,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/284677-1/10467172,,Natural,,,,"Female, Receptacle",,4,,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
284698-1,TE Connectivity AMP Connectors,3 POS LOW PROFILE HSG RAST 5,optoisolators-transistor-photovoltaic-output,0,0.39261,,-,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/284698-1/10467106,,,,,,,,,*,,,,,,,,
284699-4,TE Connectivity AMP Connectors,CONN RCPT HOUSING 0.25 5POS RED,optoisolators-transistor-photovoltaic-output,0,0.0,,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/284699-4/5124117,,Red,,,"0.250"" (6.35mm) Quick Connects, Flag","Female, Receptacle",,5,,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
284986-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 8POS NAT,optoisolators-transistor-photovoltaic-output,0,0.65177,"Box
Bag",Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/284986-1/5021441,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,8,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
284986-2,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 8POS NAT,optoisolators-transistor-photovoltaic-output,0,1.37705,Box,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/284986-2/5440099,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,8,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
2922450000,Weidmüller,HDC KIT HE 32 MP,optoisolators-logic-output,0,47.07,,,Active,,https://www.digikey.com/en/products/detail/weidm%C3%BCller/2922450000/26591854,,,,,,,,,,,,,,,,,
2922470000,Weidmüller,HDC KIT HE 32 FP,optoisolators-logic-output,0,48.85,,,Active,,https://www.digikey.com/en/products/detail/weidm%C3%BCller/2922470000/26588540,,,,,,,,,,,,,,,,,
2922480000,Weidmüller,HDC KIT HE 48 MP,optoisolators-logic-output,0,57.35,,,Active,,https://www.digikey.com/en/products/detail/weidm%C3%BCller/2922480000/26589736,,,,,,,,,,,,,,,,,
2922490000,Weidmüller,HDC KIT HE 48 FP,optoisolators-logic-output,0,59.28,,,Active,,https://www.digikey.com/en/products/detail/weidm%C3%BCller/2922490000/26592342,,,,,,,,,,,,,,,,,
293008-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 3POS NAT,optoisolators-transistor-photovoltaic-output,22576,0.72,Bag,Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293008-1/5021450,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,3,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293008-3,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 3POS NAT,optoisolators-transistor-photovoltaic-output,0,0.61956,"Box
Bag",Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293008-3/4730428,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,3,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293008-5,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 3POS NAT,optoisolators-transistor-photovoltaic-output,0,0.43594,Box,Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293008-5/6042328,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,3,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293009-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 4POS NAT,optoisolators-transistor-photovoltaic-output,0,0.31852,,Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293009-1/5021660,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,4,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293009-3,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 4POS NAT,optoisolators-transistor-photovoltaic-output,0,0.87099,Box,Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293009-3/5439893,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,4,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293010-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 5POS NAT,optoisolators-transistor-photovoltaic-output,0,0.81372,"Box
Bag",Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293010-1/4730429,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,5,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293010-3,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 5POS NAT,optoisolators-transistor-photovoltaic-output,0,0.53788,Box,Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293010-3/5439970,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,5,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293010-4,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 5POS NAT,optoisolators-transistor-photovoltaic-output,0,0.44973,"Box
Bag",Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293010-4/5021443,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,5,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293011-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 5POS NAT,optoisolators-transistor-photovoltaic-output,0,0.46691,Bag,Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293011-1/5021444,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,5,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293014-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 7POS NAT,optoisolators-transistor-photovoltaic-output,0,0.55858,Box,Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293014-1/5021580,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,7,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293014-3,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 7POS NAT,optoisolators-transistor-photovoltaic-output,0,0.68452,Bag,Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293014-3/5440092,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,7,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293015-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 7POS NAT,optoisolators-transistor-photovoltaic-output,0,0.56204,Box,Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293015-1/4730624,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,7,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293033-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 9POS NATURAL,optoisolators-transistor-photovoltaic-output,0,1.54918,Box,Panel Mount,Active,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F293033%7FB%7Fpdf%7FItalian%7FITA_CD_293033_B.pdf,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293033-1/6042673,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,9,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293034-1,TE Connectivity AMP Connectors,7 POSITION FASTIN FASTON TAB HOU,optoisolators-transistor-photovoltaic-output,0,0.5477,Bag,Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293034-1/10466890,,Natural,,,,"Male, Tab",,7,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293034-3,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 7POS NAT,optoisolators-transistor-photovoltaic-output,0,0.65575,Box,Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293034-3/5021616,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,7,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293039-2,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 7POS NAT,optoisolators-transistor-photovoltaic-output,3000,0.9,Tray,Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293039-2/18813634,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,7,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293043-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 8POS NAT,optoisolators-transistor-photovoltaic-output,0,0.80159,Box,Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293043-1/5021582,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,8,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293044-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 7POS NAT,optoisolators-transistor-photovoltaic-output,0,0.51404,,Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293044-1/5021640,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,7,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293161-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 5POS NAT,optoisolators-transistor-photovoltaic-output,0,0.86066,"Box
Bag",Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293161-1/4730430,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,5,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
293267-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 7POS NAT,optoisolators-transistor-photovoltaic-output,0,0.43585,"Box
Bag",Panel Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/293267-1/5021516,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,7,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
3-1377175-0,TE Connectivity AMP Connectors,CONN HOUSING 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.0,Box,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-1377175-0/5589347,,Natural,,,,,,2,,,Side to Side,Housing,,,,,
3-1377175-7,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.0,Box,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-1377175-7/5590026,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,2,Fastin-Faston,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
3-1377175-9,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 3POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.0,Box,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-1377175-9/5590028,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,3,Fastin-Faston,,Multiple,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
3-170823-8,TE Connectivity AMP Connectors,CONN RCPT SLEEVE 0.187 1POS CLR,optoisolators-transistor-photovoltaic-output,0,0.07313,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-170823-8/2284645,,Clear,,,"0.187"" (4.75mm) Quick Connects, Flag","Female, Receptacle",,1,Faston,,,Sleeve,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
3-171848-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 6POS GREEN,optoisolators-transistor-photovoltaic-output,0,2.58832,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-171848-1/5123985,,Green,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,6,,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
3-172076-1,TE Connectivity AMP Connectors,POSITIVE LOCK 250 HOUSING RECEPT,optoisolators-transistor-photovoltaic-output,0,0.07452,Bag,"Free Hanging (In-Line), Right Angle",Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-172076-1/10467120,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,1,Mark II,,,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
3-173974-1,TE Connectivity AMP Connectors,PL MKII 187 REC HSG 1P NYLON GWT,optoisolators-transistor-photovoltaic-output,0,0.04705,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-173974-1/11611214,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,1,Mark II,,,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
3-176498-4,TE Connectivity AMP Connectors,POSITIVE LOCK 187 HOUSING,optoisolators-transistor-photovoltaic-output,0,0.22986,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-176498-4/26273546,,Yellow,,,,"Female, Receptacle",,2,Mark II,,Side to Side,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
3-179970-1,TE Connectivity AMP Connectors,PL EXII 250 REC HSG 1P NYLON NAT,optoisolators-transistor-photovoltaic-output,0,0.09889,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-179970-1/13583409,,,,,,"Female, Receptacle",,1,Positive Lock EX-II,,,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
