MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,"Coded, Keyed",Color,Contents,Features,For Use With/Related Products,Gender,Includes,Number of Positions,Series,Size,Stacking Direction,Style,Terminal Size,Terminal Type,Termination Style,Thread Size,Type
174195-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 1POS NAT,optoisolators-transistor-photovoltaic-output,0,0.17562,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174195-1/2307916,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,1,250,,,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
174196-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 1POS NATURAL,optoisolators-transistor-photovoltaic-output,11156,0.4,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174196-1/5439624,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,1,,,,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
174197-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 2POS NAT,optoisolators-transistor-photovoltaic-output,1358,0.78,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174197-1/4021533,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,2,,,Perpendicular,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
174198-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 2POS NATURAL,optoisolators-transistor-photovoltaic-output,3945,1.01,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174198-1/4021534,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,2,250,,Perpendicular,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
174198-2,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 2POS BLACK,optoisolators-transistor-photovoltaic-output,0,0.29337,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174198-2/4021535,,Black,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,2,250,,Perpendicular,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
174199-1,TE Connectivity AMP Connectors,CONN 250 FASTON CAP 3P,optoisolators-transistor-photovoltaic-output,0,0.19768,,-,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174199-1/5124009,,,,,,,,,,,,,,,,,
174200-1,TE Connectivity AMP Connectors,CONN MALE TAB HOUSING 0.25 3POS,optoisolators-transistor-photovoltaic-output,2347,0.36,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174200-1/5124049,,,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,3,Faston,,Multiple,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
174201-1,TE Connectivity AMP Connectors,CONN CAP HSG 4POS,optoisolators-transistor-photovoltaic-output,0,0.43732,,-,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174201-1/4021536,,,,,,,,,,,,,,,,,
174202-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 4POS NATURAL,optoisolators-transistor-photovoltaic-output,115,0.71,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174202-1/5021497,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,4,,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
174203-1,TE Connectivity AMP Connectors,CONN FASTON PLUG 6POS,optoisolators-transistor-photovoltaic-output,0,0.49911,,-,Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174203-1/4021537,,,,,,,,,,,,,,,,,
