MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Data Interface,Data Rate,Duplex,"Dynamic Range, ADCs / DACs (db) Typ",Function,Grade,Logic Type,Number of ADCs / DACs,Number of Bits per Element,Number of Drivers/Receivers,Number of Elements,Operating Temperature,Output Type,Protocol,Qualification,Receiver Hysteresis,Resolution (Bits),"S/N Ratio, ADCs / DACs (db) Typ",Series,Sigma Delta,Type,Voltage - Supply,"Voltage - Supply, Analog","Voltage - Supply, Digital"
AD1836ACSZ,Analog Devices Inc.,IC CODEC 4ADC/6DAC 24 BIT 52MQFP,logic-signal-switches-multiplexers-decoders,45,27.32,52-QFP,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1836A.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1836ACSZ/996779,Serial,,,105 / 108,,,,4 / 6,,,,-40°C ~ 85°C,,,,,24 b,105 / 108,,Yes,General Purpose,,4.75V ~ 5.25V,4.75V ~ 5.25V
AD1838AASZ,Analog Devices Inc.,IC CODEC 2ADC/6DAC 24 BIT 52MQFP,logic-signal-switches-multiplexers-decoders,0,0.0,52-QFP,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1838A.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1838AASZ/996774,Serial,,,105 / 108,,,,2 / 6,,,,-40°C ~ 85°C,,,,,24 b,105 / 108,,Yes,Stereo Audio,,4.5V ~ 5.5V,4.5V ~ 5.5V
AD1838AASZ-REEL,Analog Devices Inc.,IC CODEC 2ADC/6DAC 24 BIT 52MQFP,logic-signal-switches-multiplexers-decoders,0,0.0,52-QFP,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1838A.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1838AASZ-REEL/994708,Serial,,,105 / 108,,,,2 / 6,,,,-40°C ~ 85°C,,,,,24 b,105 / 108,,Yes,Stereo Audio,,4.5V ~ 5.5V,4.5V ~ 5.5V
AD1928YSTZ,Analog Devices Inc.,IC CODEC 2ADC 8DAC W/PLL 48LQFP,logic-signal-switches-multiplexers-decoders,0,0.0,48-LQFP,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1928.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1928YSTZ/1879660,Serial,,,105 / 108,,,,2 / 8,,,,-40°C ~ 105°C,,,,,24 b,94 / 94,,Yes,General Purpose,,3V ~ 3.6V,3V ~ 3.6V
AD1928YSTZ-RL,Analog Devices Inc.,IC CODEC 2ADC 8DAC W/PLL 48LQFP,logic-signal-switches-multiplexers-decoders,0,0.0,48-LQFP,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1928.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1928YSTZ-RL/1880101,Serial,,,105 / 108,,,,2 / 8,,,,-40°C ~ 105°C,,,,,24 b,94 / 94,,Yes,General Purpose,,3V ~ 3.6V,3V ~ 3.6V
AD1937WBSTZ,Analog Devices Inc.,IC CODEC 4/ADC DIFF OUT 64-LQFP,logic-signal-switches-multiplexers-decoders,443,16.53,64-LQFP,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1937.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1937WBSTZ/1956039,Serial,,,105 / 110,,Automotive,,4 / 8,,,,-40°C ~ 125°C,,,,,24 b,96 / 96,,Yes,General Purpose,,3V ~ 3.6V,3V ~ 3.6V
AD1937WBSTZ-RL,Analog Devices Inc.,IC CODEC 4/ADC DIFF OUT 64-LQFP,logic-signal-switches-multiplexers-decoders,973,14.8,64-LQFP,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1937.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1937WBSTZ-RL/1957692,Serial,,,105 / 110,,Automotive,,4 / 8,,,,-40°C ~ 125°C,,,,,24 b,96 / 96,,Yes,General Purpose,,3V ~ 3.6V,3V ~ 3.6V
AD1938WBSTZ,Analog Devices Inc.,IC CODEC 24BIT 4ADC/8DAC 48LQFP,logic-signal-switches-multiplexers-decoders,297,15.53,48-LQFP,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1938.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1938WBSTZ/3232844,Serial,,,105 / 106,,Automotive,,4 / 8,,,,-40°C ~ 105°C,,,,,24 b,94 / 94,,Yes,General Purpose,,3V ~ 3.6V,3V ~ 3.6V
AD1938WBSTZ-RL,Analog Devices Inc.,IC CODEC 24BIT 4ADC/8DAC 48LQFP,logic-signal-switches-multiplexers-decoders,305,15.53,48-LQFP,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1938.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1938WBSTZ-RL/3232845,Serial,,,105 / 106,,Automotive,,4 / 8,,,,-40°C ~ 105°C,,,,,24 b,94 / 94,,Yes,General Purpose,,3V ~ 3.6V,3V ~ 3.6V
AD1938YSTZ,Analog Devices Inc.,IC CODEC 24BIT 4ADC/8DAC 48LQFP,logic-signal-switches-multiplexers-decoders,0,0.0,48-LQFP,Surface Mount,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1938.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1938YSTZ/1133142,Serial,,,105 / 106,,,,4 / 8,,,,-40°C ~ 105°C,,,,,24 b,94 / 94,,Yes,General Purpose,,3V ~ 3.6V,3V ~ 3.6V
AD1938YSTZRL,Analog Devices Inc.,IC CODEC 24BIT 4ADC/8DAC 48LQFP,logic-signal-switches-multiplexers-decoders,0,0.0,48-LQFP,Surface Mount,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1938.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1938YSTZRL/1132265,Serial,,,105 / 106,,,,4 / 8,,,,-40°C ~ 105°C,,,,,24 b,94 / 94,,Yes,General Purpose,,3V ~ 3.6V,3V ~ 3.6V
AD1939WBSTZ,Analog Devices Inc.,IC AUDIO CODEC 64LQFP,logic-signal-switches-multiplexers-decoders,1583,15.21,64-LQFP,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1939.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1939WBSTZ/2606743,Serial,,,105 / 110,,Automotive,,4 / 8,,,,-40°C ~ 105°C,,,,,24 b,94 / 94,,Yes,Audio,,3V ~ 3.6V,3V ~ 3.6V
AD1939WBSTZ-RL,Analog Devices Inc.,IC AUDIO CODEC 64LQFP,logic-signal-switches-multiplexers-decoders,0,9.36562,64-LQFP,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1939.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1939WBSTZ-RL/2606742,Serial,,,105 / 110,,Automotive,,4 / 8,,,,-40°C ~ 105°C,,,,,24 b,94 / 94,,Yes,Audio,,3V ~ 3.6V,3V ~ 3.6V
AD1939YSTZ,Analog Devices Inc.,IC CODEC 24BIT ADC/DAC 64LQFP,logic-signal-switches-multiplexers-decoders,0,0.0,64-LQFP,Surface Mount,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1939.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1939YSTZ/1141729,Serial,,,105 / 110,,,,4 / 8,,,,-40°C ~ 105°C,,,,,24 b,94 / 94,,Yes,General Purpose,,3V ~ 3.6V,3V ~ 3.6V
AD1939YSTZRL,Analog Devices Inc.,IC CODEC 24BIT ADC/DAC 64-LQFP,logic-signal-switches-multiplexers-decoders,0,0.0,64-LQFP,Surface Mount,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1939.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1939YSTZRL/1200127,Serial,,,105 / 110,,,,4 / 8,,,,-40°C ~ 105°C,,,,,24 b,94 / 94,,Yes,General Purpose,,3V ~ 3.6V,3V ~ 3.6V
AD1987JCPZ,Analog Devices Inc.,IC CODEC SOUNDMAX HD 48-LFCSP,logic-signal-switches-multiplexers-decoders,0,0.0,"48-VFQFN Exposed Pad, CSP",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/obsolete-data-sheets/AD1987.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD1987JCPZ/1643559,Serial,,,,,,,4 / 8,,,,0°C ~ 70°C,,,,,24 b,,SoundMAX®,No,"Audio, HD",,3.13V ~ 3.46V,2.97V ~ 3.63V
AD71215BCBZRL,Analog Devices Inc.,"4 ADC, 2 DAC LOW POWER CODEC, AU",logic-signal-switches-multiplexers-decoders,0,0.0,-,-,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/analog-devices-inc/AD71215BCBZRL/17738755,,,,,,,,,,,,,,,,,,,,,,,,
AD71251BCBZRL,Analog Devices Inc.,"3 ADC, 1 DAC LOW POWER CODEC, AU",logic-signal-switches-multiplexers-decoders,0,0.0,-,-,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/analog-devices-inc/AD71251BCBZRL/17868289,,,,,,,,,,,,,,,,,,,,,,,,
AD74111YRUZ,Analog Devices Inc.,IC CODEC AUDIO MONO LP 16TSSOP,logic-signal-switches-multiplexers-decoders,0,10.49,"16-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD74111.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD74111YRUZ/997287,Serial,,,85 / 93,,,,1 / 1,,,,-40°C ~ 105°C,,,,,24 b,77 / 89,,Yes,Audio,,2.5V,2.5V
AD74111YRUZ-REEL,Analog Devices Inc.,IC CODEC AUDIO MONO LP 16TSSOP,logic-signal-switches-multiplexers-decoders,0,6.19142,"16-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD74111.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD74111YRUZ-REEL/994274,Serial,,,85 / 93,,,,1 / 1,,,,-40°C ~ 105°C,,,,,24 b,77 / 89,,Yes,Audio,,2.5V,2.5V
AD74111YRUZ-REEL7,Analog Devices Inc.,IC CODEC AUDIO MONO LP 16TSSOP,logic-signal-switches-multiplexers-decoders,3078,10.49,"16-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD74111.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD74111YRUZ-REEL7/995542,Serial,,,85 / 93,,,,1 / 1,,,,-40°C ~ 105°C,,,,,24 b,77 / 89,,Yes,Audio,,2.5V,2.5V
ADAU1301-00AC-WF,Analog Devices Inc.,IC CODEC 24BIT,logic-signal-switches-multiplexers-decoders,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/analog-devices-inc/ADAU1301-00AC-WF/6194207,,,,,,,,,,,,,,,,,,,,,,,,
ADAU1301-02CDZ-RL7,Analog Devices Inc.,IC CODEC 24BIT,logic-signal-switches-multiplexers-decoders,0,0.0,-,-,Obsolete,https://www.analog.com/media/en/package-pcb-resources/tape-and-reel-packaging.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADAU1301-02CDZ-RL7/6194072,,,,,,,,,,,,,,,,,,,,,,,,
ADAU1301-9CDZ-RL,Analog Devices Inc.,IC CODEC 24BIT,logic-signal-switches-multiplexers-decoders,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/analog-devices-inc/ADAU1301-9CDZ-RL/6193930,,,,,,,,,,,,,,,,,,,,,,,,
ADAU1302-1CDZ-RL,Analog Devices Inc.,IC CODEC 24BIT,logic-signal-switches-multiplexers-decoders,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/analog-devices-inc/ADAU1302-1CDZ-RL/6193931,,,,,,,,,,,,,,,,,,,,,,,,
ADAU1328BSTZ,Analog Devices Inc.,IC CODEC 24BIT 2ADC/8DAC 48LQFP,logic-signal-switches-multiplexers-decoders,0,0.0,48-LQFP,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADAU1328.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADAU1328BSTZ/1133150,Serial,,,105 / 106,,,,2 / 8,,,,-40°C ~ 85°C,,,,,24 b,94 / 94,,Yes,General Purpose,,3V ~ 3.6V,3V ~ 3.6V
ADAU1328BSTZ-RL,Analog Devices Inc.,IC CODEC 24BIT 2ADC/8DAC 48LQFP,logic-signal-switches-multiplexers-decoders,0,0.0,48-LQFP,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/ADAU1328.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADAU1328BSTZ-RL/1132287,Serial,,,105 / 106,,,,2 / 8,,,,-40°C ~ 85°C,,,,,24 b,94 / 94,,Yes,General Purpose,,3V ~ 3.6V,3V ~ 3.6V
