MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Configuration,Current - Supply,DigiKey Programmable,Features,Function,Interface,Memory Size,Memory Type,Number of Circuits,Number of Taps,Operating Temperature,Power (Watts),Programmable Type,Resistance (Ohms),Resistance - Wiper (Ohms) (Typ),Series,Taper,Temperature Coefficient (Typ),Tolerance,Voltage - Supply
TPL0401A-10DCKR,Texas Instruments,IC DIG POT 10K SC-70-6,video-ics,10732,1.71,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPL0401A-10DCKR/2762229,Potentiometer,,Not Verified,,,I2C,,Volatile,1,128,-40°C ~ 125°C,,,10k,35,,Linear,22ppm/°C,±20%,2.7V ~ 5.5V
TS117S,IXYS Integrated Circuits Division,IC TELECOM INTERFACE 8SMD,display-drivers,1466,6.15,"8-SMD, Gull Wing",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse-integrated-circuits-ts117-datasheet?assetguid=34fff37b-50d7-4272-a3b0-8dd12c3d9c3b,https://www.digikey.com/en/products/detail/ixys-integrated-circuits-division/TS117S/655000,,,,,Relay Switch,,,,2,,-40°C ~ 85°C,800 mW,,,,,,,,
TS117STR,IXYS Integrated Circuits Division,IC TELECOM INTERFACE 8SMD,display-drivers,10850,5.93,"8-SMD, Gull Wing",Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2407/ts117.pdf,https://www.digikey.com/en/products/detail/ixys-integrated-circuits-division/TS117STR/203129,,,,,Relay Switch,,,,2,,-40°C ~ 85°C,800 mW,,,,,,,,
VSC7421XJG-04,Microchip Technology,IC TELECOM INTERFACE 672HSBGA,display-drivers,33,69.32,672-BGA,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/VSC7420-02_SC7421-02_VSC7422-02_Data-Sheet_DS60001798.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC7421XJG-04/9744583,,,,,Ethernet Switch,Serial,,,1,,,,,,,,,,,1V
VSC7422XJG-04,Microchip Technology,IC TELECOM INTERFACE 672HSBGA,display-drivers,230,86.64,672-BGA,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/VSC7420-02_SC7421-02_VSC7422-02_Data-Sheet_DS60001798.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC7422XJG-04/9744585,,,,,Ethernet Switch,Serial,,,1,,,,,,,,,,,1V
VSC7428XJG-02,Microchip Technology,IC TELECOM INTERFACE 10PORT,display-drivers,194,98.23,672-BGA,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/VMDS-10394_VSC7428-02_VSC7429-02.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC7428XJG-02/7622107,,,,,Ethernet Switch,Serial,,,11,,-40°C ~ 125°C,,,,,,,,,
VSC7429XJG-02,Microchip Technology,IC TELECOM INTERFACE 26PORT,display-drivers,98,146.79,672-BGA,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/VMDS-10394_VSC7428-02_VSC7429-02.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC7429XJG-02/7622109,,,,,Ethernet Switch,Serial,,,26,,-40°C ~ 125°C,,,,,,,,,
VSC7440XMT,Microchip Technology,IC TELECOM INTERFACE 324BGA,display-drivers,148,67.31,324-BGA,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VSC7440_VMDS-10492.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC7440XMT/7622118,,,,,,,,,,,,,,,,,,,,
VSC7444YIH-02,Microchip Technology,IC TELECOM INTERFACE 672FCBGA,display-drivers,186,153.2,"672-BBGA, FCBGA",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10498_VSC7442-02_VSC7444-02_VSC7448-02_VSC7449-02.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC7444YIH-02/6709380,,,,,Ethernet Switch,PCI,,,26,,-40°C ~ 110°C,,,,,SparX™-IV-44,,,,
VSC7448YIH-02,Microchip Technology,IC TELECOM INTERFACE 672FCBGA,display-drivers,184,175.28,"672-BBGA, FCBGA",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10498_VSC7442-02_VSC7444-02_VSC7448-02_VSC7449-02.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC7448YIH-02/6709381,,,,,Ethernet Switch,PCI,,,52,,-40°C ~ 110°C,,,,,SparX™-IV-80,,,,
VSC7449YIH-02,Microchip Technology,IC TELECOM INTERFACE 672FCBGA,display-drivers,32,186.3,"672-BBGA, FCBGA",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10498_VSC7442-02_VSC7444-02_VSC7448-02_VSC7449-02.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC7449YIH-02/6709382,,8.1A,,,Ethernet Switch,"JTAG, SerDes",,,1,,-40°C ~ 110°C,13.3 W,,,,SparX™-IV-90,,,,0.95V ~ 1.05V
VSC7511XMY,Microchip Technology,IC SWITCH ETHERNET 4PORT DRQFN,display-drivers,478,19.22,"172-QFN Dual Rows, Exposed Pad",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10488.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC7511XMY/6128490,,,,,Ethernet Switch,"2-Wire Serial, JTAG, SPI, UART",,,4,,-40°C ~ 125°C,,,,,Ocelot™-4um,,,,1.2V
VSC7512XMY,Microchip Technology,IC SWITCH ETHERNET 10PORT DRQFN,display-drivers,1444,24.29,"172-QFN Dual Rows, Exposed Pad",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10489.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC7512XMY/6128491,,,,,Ethernet Switch,,,,10,,-40°C ~ 125°C,,,,,Ocelot™-10um,,,,1.2V
VSC7558TSN-V/5CC,Microchip Technology,200G ENTERPRISE ETHERNET SWITCH,display-drivers,29,186.32,"888-BGA, FCBGA",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/00002854B.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC7558TSN-V-5CC/13921837,,,,,Ethernet Switch,Ethernet,,,57,,,,,,,VeriTime™,,,,
VSC8254YMR-01,Microchip Technology,IC TELECOM INTERFACE 256FCBGA,display-drivers,51,103.15,"256-BBGA, FCBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/microchip-technology/VSC8254YMR-01/9005070,,,,,Ethernet,SPI,,,2,,,,,,,,,,,"970mV, 1.2V"
VSC8486YSN-04,Microchip Technology,IC TELECOM INTERFACE 256FCBGA,display-drivers,54,80.94,"256-BBGA, FCBGA",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10298.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8486YSN-04/6131481,,,,,Transceiver,Serial,,,1,,,,,,,,,,,1.2V
VSC8489YJU-02,Microchip Technology,IC TELECOM INTERFACE 196FCBGA,display-drivers,58,58.81,"196-LBGA, FCBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/microchip-technology/VSC8489YJU-02/9005074,,,,,Ethernet,SPI,,,2,,-40°C ~ 110°C,,,,,,,,,"1V, 1.2V"
VSC8502XML,Microchip Technology,IC TELECOM INTERFACE 135QFN,display-drivers,210,7.5,-,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/VSC8502-03_Datasheet_60001742B.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8502XML/6131484,,,,,Ethernet,Ethernet,,,1,,,,,,,,,,,3.3V
VSC8504XKS-05,Microchip Technology,IC TELECOM INTERFACE 256BGA,display-drivers,1980,38.0,256-BGA,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/60001810A.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8504XKS-05/8019735,,,,,Ethernet,,,,1,,-40°C ~ 125°C,,,,,,,,,1V
VSC8512XJG-02,Microchip Technology,IC TELECOM INTERFACE 672HSBGA,display-drivers,737,40.11,672-BGA,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10396.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8512XJG-02/6131488,,,,,Ethernet,,,,1,,,,,,,,,,,1V
VSC8514XMK-11,Microchip Technology,IC TELECOM INTERFACE 138QFN,display-drivers,143,8.01,138-VQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10446.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8514XMK-11/7622938,,,,,Ethernet,"JTAG, SerDes, Serial",,,4,,0°C ~ 125°C,,,,,,,,,"0.95V ~ 1.05V, 2.38V ~ 2.62V"
VSC8514XMK-14,Microchip Technology,IC TELECOM INTERFACE 138QFN,display-drivers,482,10.43,138-VQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10446.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8514XMK-14/7622939,,,,,Ethernet,"JTAG, SerDes, Serial",,,4,,0°C ~ 125°C,,,,,,,,,"0.95V ~ 1.05V, 2.38V ~ 2.62V"
VSC8530XMW-05,Microchip Technology,IC TELECOM INTERFACE 48QFN,display-drivers,688,2.12,48-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10516.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8530XMW-05/9695043,,,,,Ethernet,RMII,,,1,,,,,,,,,,,
VSC8531XMW-02,Microchip Technology,IC TELECOM INTERFACE 48QFN,display-drivers,5301,2.81,48-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10514.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8531XMW-02/9695044,,,,,Ethernet,RMII,,,1,,0°C ~ 125°C,,,,,,,,,
VSC8531XMW-05,Microchip Technology,IC TELECOM INTERFACE 48QFN,display-drivers,3968,3.63,48-VFQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10514.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8531XMW-05/9695045,,,,,Ethernet,RMII,,,1,,-40°C ~ 125°C,,,,,,,,,
VSC8552XKS-02,Microchip Technology,IC TELECOM INTERFACE 256BGA,display-drivers,213,18.03,256-BGA,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10508.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8552XKS-02/8019736,,,,,Ethernet,,,,1,,,,,,,,,,,1V
VSC8552XKS-05,Microchip Technology,IC TELECOM INTERFACE 256BGA,display-drivers,182,22.55,256-BGA,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10508.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8552XKS-05/8019737,,,,,Ethernet,,,,1,,,,,,,,,,,1V
VSC8572XKS-02,Microchip Technology,IC TELECOM INTERFACE 256BGA,display-drivers,522,39.69,256-BGA,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10509.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8572XKS-02/9005079,,,,,Ethernet,RMII,,,2,,,,,,,,,,,"1V, 2.5V"
VSC8574XKS-05,Microchip Technology,IC TELECOM INTERFACE 256BGA,display-drivers,207,89.29,256-BGA,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10510.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8574XKS-05/9005082,,,,,Ethernet,"GMII, SerDes, TBI",,,4,,,,,,,,,,,"1V, 2.5V"
VSC8575XKS-11,Microchip Technology,IC TELECOM INTERFACE 256BGA,display-drivers,130,85.73,256-BGA,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10457.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8575XKS-11/7622164,,,,,Ethernet,"2-Wire Serial, JTAG, SerDes, SPI",,,4,,0°C ~ 125°C,,,,,,,,,1V
VSC8584XKS-11,Microchip Technology,IC TELECOM INTERFACE 256BGA,display-drivers,90,90.9,256-BGA,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10455.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8584XKS-11/7622168,,,,,Ethernet,"GMII, SerDes, SPI, TBI",,,1,,,,,,,,,,,1V
VSC8584XKS-14,Microchip Technology,IC TELECOM INTERFACE 256BGA,display-drivers,589,113.63,256-BGA,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10455.pdf,https://www.digikey.com/en/products/detail/microchip-technology/VSC8584XKS-14/7622169,,,,,Ethernet,"GMII, SerDes, SPI, TBI",,,1,,,,,,,,,,,1V
XC1701PC20C,AMD,IC PROM SER C-TEMP 1K 20-PLCC,embedded-system-design-specific,0,27.48,20-LCC (J-Lead),Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/amd/XC1701PC20C/405999,,,Not Verified,,,,1Mb,,,,0°C ~ 70°C,,OTP,,,,,,,4.75V ~ 5.25V
XC1702LPC44C,AMD,"CONFIG MEMORY, 2MX1, SERIAL",embedded-system-design-specific,90,26.71,-,-,Active,https://rocelec.widen.net/view/pdf/wzv8uxt4qk/XILIS01058-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/XC1702LPC44C/12130288,,,Not Verified,,,,,,,,,,,,,*,,,,
