MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,Bidirectional Channels,Capacitance @ Frequency,Current - Peak Pulse (10/1000µs),Grade,Operating Temperature,Power - Peak Pulse,Power Line Protection,Qualification,Series,Type,Unidirectional Channels,Voltage - Breakdown (Min),Voltage - Clamping (Max) @ Ipp,Voltage - Reverse Standoff (Typ)
ESD761DPYR,Texas Instruments,TVS DIODE 24VWM 36.3VC 2X1SON,tvs-diodes,23834,0.19,0402 (1006 Metric),Surface Mount,Active,https://www.ti.com/lit/ds/symlink/esd751.pdf,https://www.digikey.com/en/products/detail/texas-instruments/ESD761DPYR/17395004,USB,1,1.1pF @ 1MHz,1.8A (8/20µs),,-50°C ~ 150°C (TA),65W,No,,,Zener,,35.5V,36.3V (Typ),24V (Max)
ESD761DPYRQ1,Texas Instruments,TVS DIODE 24VWM 36.3VC 2X1SON,tvs-diodes,28388,0.24,0402 (1006 Metric),Surface Mount,Active,https://www.ti.com/lit/ds/symlink/esd1lin24-q1.pdf,https://www.digikey.com/en/products/detail/texas-instruments/ESD761DPYRQ1/17748460,CAN,1,1.1pF @ 1MHz,1.8A (8/20µs),Automotive,-55°C ~ 150°C (TA),65W,No,AEC-Q101,,Zener,,35.5V,36.3V (Typ),24V (Max)
ESD762DBZR,Texas Instruments,TVS DIODE 24VWM 36VC SOT233,tvs-diodes,7910,0.3,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/esd762.pdf,https://www.digikey.com/en/products/detail/texas-instruments/ESD762DBZR/17395034,"CAN, USB",2,1.7pF @ 1MHz,2.5A (8/20µs),,-50°C ~ 150°C (TA),90W,No,,,Zener,,25.5V,36V (Typ),24V (Max)
ESD7C3.3DT5G,onsemi,TVS DIODE 3.3VWM SOT723,tvs-diodes,31300,0.48,SOT-723,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD7C3-3DT5G/1646447,General Purpose,,13pF @ 1MHz,,,-55°C ~ 150°C (TJ),,No,,,Zener,2,5V,,3.3V (Max)
ESD7C5.0DT5G,onsemi,TVS DIODE 5VWM SOT723,tvs-diodes,171018,0.48,SOT-723,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD7C5-0DT5G/1646448,General Purpose,,6.2pF @ 1MHz,,,-55°C ~ 150°C (TJ),,No,,,Zener,2,11V,,5V (Max)
ESD7V0D5-TP,MCC (Micro Commercial Components),TVS DIODE 7VWM 22.7VC SOD523,tvs-diodes,65057,0.3,"SC-79, SOD-523",Surface Mount,Active,https://www.mccsemi.com/pdf/Products/ESD3V3D5_ESD12VD5(SOD-523).pdf,https://www.digikey.com/en/products/detail/mcc-micro-commercial-components/ESD7V0D5-TP/1776994,General Purpose,,65pF @ 1MHz,8.8A (8/20µs),,-55°C ~ 150°C (TJ),200W,No,,,Zener,1,7.5V,22.7V,7V (Max)
ESD7V0T2B-TP,MCC (Micro Commercial Components),TVS DIODE 7VWM 15VC SOT-23,tvs-diodes,29521,0.28,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://www.mccsemi.com/pdf/Products/ESD3V3T2B_ESD36VT2B(SOT-23).pdf,https://www.digikey.com/en/products/detail/mcc-micro-commercial-components/ESD7V0T2B-TP/24393928,General Purpose,2,65pF @ 1MHz,17A (8/20µs),,-55°C ~ 150°C (TJ),250W,No,,,Zener,,7V,15V,7V (Max)
ESD8006MUTAG,onsemi,TVS DIODE 3.3VWM 8.4VC 8UDFN,tvs-diodes,97090,1.59,10-UFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD8006MUTAG/4810860,USB,,0.32pF @ 1MHz,16A,,-55°C ~ 125°C (TJ),,No,,,Zener,6,5.5V,8.4V (Typ),3.3V (Max)
ESD8011MUT5G,onsemi,TVS DIODE 5.5VWM 19VC 2X3DFN,tvs-diodes,265184,0.54,0201 (0603 Metric),Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD8011MUT5G/5131367,General Purpose,1,0.1pF @ 1MHz,3.6A (8/20µs),,-55°C ~ 125°C (TJ),34W,No,,,Zener,,6.5V,19V,5.5V (Max)
ESD801DPYRQ1,Texas Instruments,"AUTOMOTIVE, 36V BIDIRECTIONAL UL",tvs-diodes,6922,0.41,0402 (1005 Metric),Surface Mount,Active,https://www.ti.com/lit/ds/symlink/esd801-q1.pdf,https://www.digikey.com/en/products/detail/texas-instruments/ESD801DPYRQ1/26251111,"Telecom, USB",1,0.3pF @ 1MHz,3A (8/20µs),Automotive,-55°C ~ 150°C (TA),183W,No,AEC-Q101,,Zener,,37.8V,61V (Typ),36V (Max)
