MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Accuracy - Highest (Lowest),Features,Grade,Operating Temperature,Output Type,Qualification,Resolution,Sensing Temperature - Local,Sensing Temperature - Remote,Sensor Type,Series,Test Condition,Voltage - Supply
EMC1412-2-ACZL-TR,Microchip Technology,SENSOR DIGITAL -40C-125C 8TSSOP,temperature-sensors-analog-and-digital-output,667,0.88,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MSLD/ProductDocuments/DataSheets/EMC1412-Data-Sheet-DS20005273.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1412-2-ACZL-TR/3872067,±1°C (±2°C),"One-Shot, Output Switch, Programmable Limit, Standby Mode",,-40°C ~ 125°C,SMBus,,11 b,-40°C ~ 125°C,-64°C ~ 191°C,"Digital, Local/Remote",,-5°C ~ 100°C (-40°C ~ 125°C),3V ~ 3.6V
EMC1412-A-ACZL-TR,Microchip Technology,SENSOR DIGITAL -40C-125C 8TSSOP,temperature-sensors-analog-and-digital-output,931,0.88,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/EMC4122-Data-Sheet-20006531.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1412-A-ACZL-TR/3872068,±1°C (±2°C),"One-Shot, Output Switch, Programmable Limit, Standby Mode",,-40°C ~ 125°C,SMBus,,11 b,-40°C ~ 125°C,-64°C ~ 191°C,"Digital, Local/Remote",,-5°C ~ 100°C (-40°C ~ 125°C),3V ~ 3.6V
EMC1413-1-AIZL-TR,Microchip Technology,SENSOR DIGITAL -40C-125C 10MSOP,temperature-sensors-analog-and-digital-output,2083,1.06,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20005274A.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1413-1-AIZL-TR/2747976,±1°C (±2°C),"One-Shot, Output Switch, Programmable Limit, Standby Mode",,-40°C ~ 125°C,SMBus,,11 b,-40°C ~ 125°C,-64°C ~ 191°C,"Digital, Local/Remote",,-5°C ~ 100°C (-40°C ~ 125°C),3V ~ 3.6V
EMC1413-A-AIZL-TR,Microchip Technology,SENSOR DIGITAL -40C-125C 10MSOP,temperature-sensors-analog-and-digital-output,2888,1.16,"10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20005274A.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1413-A-AIZL-TR/3872070,±1°C (±2°C),"One-Shot, Output Switch, Programmable Limit, Standby Mode",,-40°C ~ 125°C,SMBus,,11 b,-40°C ~ 125°C,-64°C ~ 191°C,"Digital, Local/Remote",,-5°C ~ 100°C (-40°C ~ 125°C),3V ~ 3.6V
EMC1414-A-AIA-TR,Microchip Technology,QUAD TEMP SENSOR WITH BETA COMPE,temperature-sensors-analog-and-digital-output,3732,1.37,10-VFDFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/20005274A.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1414-A-AIA-TR/16709531,±1°C (±2°C),"One-Shot, Output Switch, Programmable Limit, Standby Mode",,-40°C ~ 125°C,SMBus,,10 b,-40°C ~ 125°C,-64°C ~ 191°C,"Digital, Local/Remote",,-5°C ~ 100°C (-40°C ~ 125°C),3V ~ 3.6V
EMC1428-1-AP-TR,Microchip Technology,SENSOR DIGITAL -40C-125C 16QFN,temperature-sensors-analog-and-digital-output,172,1.74,16-VQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20005275A.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1428-1-AP-TR/3872076,±1°C (±2°C),"Output Switch, Programmable Limit",,-40°C ~ 125°C,SMBus,,11 b,-40°C ~ 125°C,-40°C ~ 125°C,"Digital, Local/Remote",,0°C ~ 100°C (-40°C ~ 125°C),3V ~ 3.6V
EMC1428-7-AP-TR-CB7,Microchip Technology,SENSOR DIGITAL -40C-125C 16QFN,temperature-sensors-analog-and-digital-output,4298,1.74,16-VQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20005275A.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1428-7-AP-TR-CB7/6623473,±1°C (±2°C),"Output Switch, Programmable Limit",,-40°C ~ 125°C,SMBus,,11 b,-40°C ~ 125°C,-40°C ~ 125°C,"Digital, Local/Remote",,0°C ~ 100°C (-40°C ~ 125°C),3V ~ 3.6V
EMC1438-1-AP-TR,Microchip Technology,SENSOR DIGITAL -40C-125C 16QFN,temperature-sensors-analog-and-digital-output,1079,1.74,16-VQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/EMC1438%20DS%20Rev.%201.0%20(04-29-10).pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1438-1-AP-TR/5305158,±1°C (±2°C),"One-Shot, Output Switch, Programmable Limit, Shutdown Mode, Standby Mode",,-40°C ~ 125°C,SMBus,,11 b,-40°C ~ 125°C,-40°C ~ 125°C,"Digital, Local/Remote",,0°C ~ 100°C (-40°C ~ 125°C),3V ~ 3.6V
EMC1438-2-AP-TR,Microchip Technology,SENSOR DIGITAL -40C-125C 16QFN,temperature-sensors-analog-and-digital-output,9267,1.74,16-VQFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/EMC1438%20DS%20Rev.%201.0%20(04-29-10).pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1438-2-AP-TR/5305159,±1°C (±2°C),"One-Shot, Output Switch, Programmable Limit, Shutdown Mode, Standby Mode",,-40°C ~ 125°C,SMBus,,11 b,-40°C ~ 125°C,-40°C ~ 125°C,"Digital, Local/Remote",,0°C ~ 100°C (-40°C ~ 125°C),3V ~ 3.6V
EMC1812T-1E/RW,Microchip Technology,1.8V 2 CHANNEL TEMP SENSOR I2C 2,temperature-sensors-analog-and-digital-output,5127,0.78,8-WFDFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20005751D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1812T-1E-RW/9657570,±1.5°C,"One-Shot, Programmable Limit, Standby Mode",,-40°C ~ 125°C,I2C/SMBus,,,,-40°C ~ 125°C,"Digital, Remote",,-40°C ~ 125°C,1.62V ~ 3.6V
EMC1812T-2E/RW,Microchip Technology,1.8V 2 CHANNEL TEMP SENSOR I2C 2,temperature-sensors-analog-and-digital-output,8538,0.78,8-WFDFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20005751D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1812T-2E-RW/9657571,±1.5°C,"One-Shot, Programmable Limit, Standby Mode",,-40°C ~ 125°C,I2C/SMBus,,,,-40°C ~ 125°C,"Digital, Remote",,-40°C ~ 125°C,1.62V ~ 3.6V
EMC1812T-AE/RW,Microchip Technology,1.8V 2 CHANNEL TEMP SENSOR I2C 2,temperature-sensors-analog-and-digital-output,120,0.78,8-WFDFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20005751D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1812T-AE-RW/9657572,±1.5°C,"One-Shot, Programmable Limit, Standby Mode",,-40°C ~ 125°C,I2C/SMBus,,,,-40°C ~ 125°C,"Digital, Remote",,-40°C ~ 125°C,1.62V ~ 3.6V
EMC1813T-2E/9R,Microchip Technology,1.8V 3 CHANNEL TEMP SENSOR I2C 2,temperature-sensors-analog-and-digital-output,3759,0.97,10-VFDFN,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20005751D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1813T-2E-9R/9657550,±1.5°C,"One-Shot, Programmable Limit, Standby Mode",,-40°C ~ 125°C,I2C/SMBus,,,,-40°C ~ 125°C,"Digital, Remote",,-40°C ~ 125°C,1.62V ~ 3.6V
EMC1814T-1E/9R,Microchip Technology,1.8V 4 CHANNEL TEMP SENSOR I2C 2,temperature-sensors-analog-and-digital-output,2611,1.16,10-VFDFN,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20005751D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1814T-1E-9R/9657552,±1.5°C,"One-Shot, Programmable Limit, Standby Mode",,-40°C ~ 125°C,I2C/SMBus,,,,-40°C ~ 125°C,"Digital, Remote",,-40°C ~ 125°C,1.62V ~ 3.6V
EMC1815T-1E/9R,Microchip Technology,1.8V 5 CHANNEL TEMP SENSOR I2C 2,temperature-sensors-analog-and-digital-output,169,1.42,10-VFDFN,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20005751D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1815T-1E-9R/9657555,±1.5°C,"One-Shot, Programmable Limit, Standby Mode",,-40°C ~ 125°C,I2C/SMBus,,,,-40°C ~ 125°C,"Digital, Remote",,-40°C ~ 125°C,1.62V ~ 3.6V
EMC1815T-2E/9R,Microchip Technology,1.8V 5 CHANNEL TEMP SENSOR I2C 2,temperature-sensors-analog-and-digital-output,2222,1.42,10-VFDFN,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20005751D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1815T-2E-9R/9657556,±1.5°C,"One-Shot, Programmable Limit, Standby Mode",,-40°C ~ 125°C,I2C/SMBus,,,,-40°C ~ 125°C,"Digital, Remote",,-40°C ~ 125°C,1.62V ~ 3.6V
EMC1815T-AE/9R,Microchip Technology,1.8V 5 CHANNEL TEMP SENSOR I2C 2,temperature-sensors-analog-and-digital-output,3000,1.42,10-VFDFN,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20005751D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1815T-AE-9R/9657557,±1.5°C,"One-Shot, Programmable Limit, Standby Mode",,-40°C ~ 125°C,I2C/SMBus,,,,-40°C ~ 125°C,"Digital, Remote",,-40°C ~ 125°C,1.62V ~ 3.6V
EMC1823T-2E/9R,Microchip Technology,"1.8V, 3 CHANNEL TEMP SENSOR, I2C",temperature-sensors-analog-and-digital-output,2390,1.03,10-VFDFN,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/EMC1822-23-24-25-43-Data-Sheet-DS20006048B.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1823T-2E-9R/9826399,±1°C,"One-Shot, Output Switch, Programmable Limit, Standby Mode, Shutdown Mode",,-40°C ~ 125°C (TA),"2-Wire Serial, I2C/SMBUS",,,-40°C ~ 125°C,,Internal,,-20°C ~ 125°C (-40°C ~ 125°C),1.62V ~ 3.6V
EMC1825T-2E/9R,Microchip Technology,"1.8V, 5 CHANNEL TEMP SENSOR, I2C",temperature-sensors-analog-and-digital-output,2209,1.42,10-VFDFN,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/EMC1822-23-24-25-43-Data-Sheet-DS20006048B.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1825T-2E-9R/9826403,±1°C,"One-Shot, Output Switch, Programmable Limit, Standby Mode, Shutdown Mode",,-40°C ~ 125°C (TA),"2-Wire Serial, I2C/SMBUS",,,-40°C ~ 125°C,,Internal,,-20°C ~ 125°C (-40°C ~ 125°C),1.62V ~ 3.6V
EMC1833T-1E/RW,Microchip Technology,1.8V 3 CHANNEL TEMP SENSOR I2C 2,temperature-sensors-analog-and-digital-output,2485,1.12,8-WFDFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20005751D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1833T-1E-RW/9657573,±1.5°C,"One-Shot, Programmable Limit, Standby Mode",,-40°C ~ 125°C,I2C/SMBus,,,,-40°C ~ 125°C,"Digital, Remote",,-40°C ~ 125°C,1.62V ~ 3.6V
EMC1843T-2E/RW,Microchip Technology,"1.8V, 3 CHANNEL TEMP SENSOR, I2C",temperature-sensors-analog-and-digital-output,2801,1.12,8-WFDFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/EMC1822-23-24-25-43-Data-Sheet-DS20006048B.pdf,https://www.digikey.com/en/products/detail/microchip-technology/EMC1843T-2E-RW/9826405,±1°C,"One-Shot, Output Switch, Programmable Limit, Standby Mode, Shutdown Mode",,-40°C ~ 125°C (TA),"2-Wire Serial, I2C/SMBUS",,,-40°C ~ 125°C,,Internal,,-20°C ~ 105°C (-40°C ~ 125°C),1.62V ~ 3.6V
EMCT03-ACZB-TR,SMSC,TRIPLE SMBUS TEMPERATURE SENSOR,temperature-sensors-analog-and-digital-output,8000,1.29,-,-,Active,https://rocelec.widen.net/view/pdf/xdcpzincei/SMSCS01271-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/EMCT03-ACZB-TR/12107507,,,,,,,,,,,*,,
ES110-0019,WEC,AIR TEMPERATURE SENSOR,temperature-sensors-analog-and-digital-output,45,47.75,-,-,Active,https://www.waldomemea.com/productfiles/mf-MR/MR-ES1100016.pdf,https://www.digikey.com/en/products/detail/wec/ES110-0019/27531646,,,,,,,,,,,*,,
EVK-J40CL,JonDeTech Sensors AB,EVALUATION KIT JIRS40,temperature-sensors-analog-and-digital-output,28,187.22,4-UFDFN,Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6745/Datasheet_EVK_RevB.pdf,https://www.digikey.com/en/products/detail/jondetech-sensors-ab/EVK-J40CL/25619744,,,,-10°C ~ 85°C,USB,,,-10°C ~ 85°C,-20°C ~ 100°C (IR),"Digital, Infrared (IR)",,-10°C ~ 85°C,5V
EWS-TX,Omega,"TEMPERATURE TRANSMITTER, ECONOMI",temperature-sensors-analog-and-digital-output,84,156.27,Module,Chassis Mount,Active,https://assets.omega.com/spec/EWS-WALL-MNT-ALL.pdf,https://www.digikey.com/en/products/detail/omega/EWS-TX/25642062,±1.7°C,,,0°C ~ 60°C,Analog Current and Voltage,,,0°C ~ 60°C,,Analog,EWS,,12V ~ 24V
FM75M8X,Fairchild Semiconductor,SERIAL SWITCH/DIGITAL SENSOR,temperature-sensors-analog-and-digital-output,431401,1.22,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/bdenhjt9vk/FAIRS24454-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/FM75M8X/11515635,±2°C (±4°C),"Output Switch, Programmable Limit, Programmable Resolution",,-40°C ~ 125°C,SMBus,,11 b,-40°C ~ 125°C,,"Digital, Local",,0°C ~ 100°C (-40°C ~ 125°C),2.7V ~ 5.5V
G-NIMO-005,TE Connectivity Measurement Specialties,SENSOR DIGITAL -40C-125C 8TDFN,temperature-sensors-analog-and-digital-output,747,3.03,8-VFDFN Exposed Pad,Surface Mount,Active,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FTSYS02S%7FA%7Fpdf%7FEnglish%7FENG_DS_TSYS02S_A.pdf%7FG-NIMO-005,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/G-NIMO-005/5277637,±0.2°C (±1°C ),Standby Mode,,-40°C ~ 125°C,PWM,,16 b,-40°C ~ 125°C,,"Digital, Local",,-5°C ~ 50°C (-40°C ~ 125°C),1.5V ~ 3.6V
G-TPCO-031,TE Connectivity Measurement Specialties,SENSOR ANALOG REMOTE TO18,temperature-sensors-analog-and-digital-output,0,4.2875,TO-18 small,Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/G-TPCO-031/5277316,,,,-20°C ~ 85°C,Analog Voltage,,,,0°C ~ 100°C,"Analog, Remote",,,
G-TPCO-032,TE Connectivity Measurement Specialties,SENSOR ANALOG REMOTE TO5,temperature-sensors-analog-and-digital-output,44,6.88,-,Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/G-TPCO-032/5277317,,,,-20°C ~ 85°C,Analog Voltage,,,,0°C ~ 100°C,"Analog, Remote",,,
G-TPCO-033,TE Connectivity Measurement Specialties,SENSOR ANALOG REMOTE TO5,temperature-sensors-analog-and-digital-output,4299,6.63,"TO-205AA, TO-5-4 Metal Can Variant",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/G-TPCO-033/5277318,,,,-20°C ~ 85°C,Analog Voltage,,,,0°C ~ 100°C,"Analog, Remote",,,
G-TPCO-035,TE Connectivity Measurement Specialties,SENSOR ANALOG REMOTE TO18,temperature-sensors-analog-and-digital-output,473,11.43,TO-18 small,Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/G-TPCO-035/5277319,,,,-20°C ~ 85°C,Analog Voltage,,,,0°C ~ 100°C,"Analog, Remote",,,
G-TPMO-022,TE Connectivity Measurement Specialties,SENSOR DIGITAL 0C-85C,temperature-sensors-analog-and-digital-output,0,42.8571,Module,Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/G-TPMO-022/5277321,±2°C (±4°C),,,0°C ~ 85°C,SPI,,,0°C ~ 85°C,0°C ~ 300°C (IR),"Digital, Local/Remote",,15°C ~ 35°C,2.6V ~ 3.6V
G-TPMO-023,TE Connectivity Measurement Specialties,SENSOR DIGITAL -10C-85C MODULE,temperature-sensors-analog-and-digital-output,0,67.71,Module,Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/G-TPMO-023/5277322,±2°C,,,-10°C ~ 85°C,SPI,,,-10°C ~ 85°C,0°C ~ 300°C (IR),"Digital, Local/Remote",,15°C ~ 35°C,3.3V ~ 16V
G-TPMO-103,TE Connectivity Measurement Specialties,TSD305-3C55 DIGITAL THERMOPILE S,temperature-sensors-analog-and-digital-output,175,26.61,"TO-205AA, TO-5-4 Metal Can Variant",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/G-TPMO-103/9842000,±1°C,,,-20°C ~ 85°C,I2C,,16 b,-20°C ~ 85°C,0°C ~ 300°C,"Digital, Local/Remote",,15°C ~ 35°C,1.68V ~ 3.6V
G-TPMO-104,TE Connectivity Measurement Specialties,TSD305-1SL10 DIGITAL THERMOPILE,temperature-sensors-analog-and-digital-output,564,32.8,"TO-205AA, TO-5-4 Metal Can Variant",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/G-TPMO-104/9842001,±1°C,,,-20°C ~ 85°C,I2C,,16 b,-20°C ~ 85°C,0°C ~ 300°C,"Digital, Local/Remote",,15°C ~ 35°C,1.68V ~ 3.6V
HRTS-5760-C-U-1-12,Honeywell Sensing and Productivity Solutions,TEMPERATURE SENSOR,temperature-sensors-analog-and-digital-output,26,273.96,-,-,Active,,https://www.digikey.com/en/products/detail/powell-electronics/HRTS-5760-C-U-1-12/29676833,,,,,,,,,,,*,,
IMS-4810E,Sensaphone,IMS Solution Room Temperature Se,temperature-sensors-analog-and-digital-output,19,80.1,-,-,Active,,https://www.digikey.com/en/products/detail/sensaphone/IMS-4810E/16819149,,,,,,,,,,,,,
IMS-4810E-C,Sensaphone,IMS Solution  Room Temperature S,temperature-sensors-analog-and-digital-output,19,80.1,-,-,Active,,https://www.digikey.com/en/products/detail/sensaphone/IMS-4810E-C/16819110,,,,,,,,,,,,,
IMS-4811E,Sensaphone,IMS Solution Room Temperature Se,temperature-sensors-analog-and-digital-output,19,220.5,-,-,Active,,https://www.digikey.com/en/products/detail/sensaphone/IMS-4811E/16819142,,,,,,,,,,,,,
IMS-4812E-C,Sensaphone,IMS Solution Mini Temperature Se,temperature-sensors-analog-and-digital-output,20,62.1,-,-,Active,,https://www.digikey.com/en/products/detail/sensaphone/IMS-4812E-C/16819139,,,,,,,,,,,,,
IMS-4813E,Sensaphone,IMS Solution Room Temperature Se,temperature-sensors-analog-and-digital-output,20,220.5,-,-,Active,,https://www.digikey.com/en/products/detail/sensaphone/IMS-4813E/16819146,,,,,,,,,,,,,
IMS-4814E,Sensaphone,IMS Solution Ultra Low Temperatu,temperature-sensors-analog-and-digital-output,18,116.1,-,-,Active,,https://www.digikey.com/en/products/detail/sensaphone/IMS-4814E/16819137,,,,,,,,,,,,,
IMS-4814E-NIST,Sensaphone,IMS Solution Ultra Low Temperatu,temperature-sensors-analog-and-digital-output,20,188.1,-,-,Active,,https://www.digikey.com/en/products/detail/sensaphone/IMS-4814E-NIST/16819126,,,,,,,,,,,,,
IMS-4815E,Sensaphone,IMS Solution Ultra Low Temperatu,temperature-sensors-analog-and-digital-output,20,134.1,-,-,Active,,https://www.digikey.com/en/products/detail/sensaphone/IMS-4815E/16819152,,,,,,,,,,,,,
IMS-4815E-NIST,Sensaphone,IMS Solution Ultra Low Temperatu,temperature-sensors-analog-and-digital-output,20,224.1,-,-,Active,,https://www.digikey.com/en/products/detail/sensaphone/IMS-4815E-NIST/16819127,,,,,,,,,,,,,
IMS-4816E,Sensaphone,IMS Solution Temperature Sensor,temperature-sensors-analog-and-digital-output,14,98.1,-,-,Active,,https://www.digikey.com/en/products/detail/sensaphone/IMS-4816E/16819105,,,,,,,,,,,,,
ISOTMP35BDFQR,Texas Instruments,1.2C BASIC ISOLATED TEMPERATURE,temperature-sensors-analog-and-digital-output,1660,2.7,"8-SOIC (0.154"", 3.90mm Width), 7 leads",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/isotmp35.pdf,https://www.digikey.com/en/products/detail/texas-instruments/ISOTMP35BDFQR/24716608,±1.2°C (±2.5°C),,,-40°C ~ 150°C,Analog Current,,16 b,-40°C ~ 150°C,,Analog,,-40°C ~ 150°C,2.3V ~ 5.5V
JIRS40,JonDeTech Sensors AB,INFRA RED SENSOR WITH ANALOG I/F,temperature-sensors-analog-and-digital-output,2915,2.5,4-UFDFN,Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6745/Datasheet_JIRS40_RevB.pdf,https://www.digikey.com/en/products/detail/jondetech-sensors-ab/JIRS40/25619742,,,,-10°C ~ 85°C,Analog Voltage,,,-10°C ~ 85°C,-20°C ~ 100°C (IR),"Analog, Infrared (IR)",,-10°C ~ 85°C,2.5V ~ 5.5V
LM135AH,Texas Instruments,SENSOR ANALOG -55C-150C TO46-3,temperature-sensors-analog-and-digital-output,657,28.16,"TO-206AB, TO-46-3 Metal Can",Through Hole,Active,,https://www.digikey.com/en/products/detail/texas-instruments/LM135AH/5055947,±1°C (±2.7°C),,,-55°C ~ 150°C,Analog Voltage,,10mV/°C,-55°C ~ 150°C,,"Analog, Local",,25°C (-55°C ~ 150°C),
LM135AH/NOPB,Texas Instruments,SENSOR ANALOG -55C-150C TO46-3,temperature-sensors-analog-and-digital-output,94,24.24,"TO-206AB, TO-46-3 Metal Can",Through Hole,Active,,https://www.digikey.com/en/products/detail/texas-instruments/LM135AH-NOPB/212597,±1°C (±2.7°C),,,-55°C ~ 150°C,Analog Voltage,,10mV/°C,-55°C ~ 150°C,,"Analog, Local",,25°C (-55°C ~ 125°C),
LM135H,Texas Instruments,SENSOR ANALOG -55C-150C TO46-3,temperature-sensors-analog-and-digital-output,774,23.25,"TO-206AB, TO-46-3 Metal Can",Through Hole,Active,,https://www.digikey.com/en/products/detail/texas-instruments/LM135H/5055948,±3°C (±5°C),,,-55°C ~ 150°C,Analog Voltage,,10mV/°C,-55°C ~ 150°C,,"Analog, Local",,25°C (-55°C ~ 150°C),
LM135H/NOPB,Texas Instruments,SENSOR ANALOG -55C-150C TO46-3,temperature-sensors-analog-and-digital-output,571,14.76,"TO-206AB, TO-46-3 Metal Can",Through Hole,Active,,https://www.digikey.com/en/products/detail/texas-instruments/LM135H-NOPB/148104,±3°C (±5°C),,,-55°C ~ 150°C,Analog Voltage,,10mV/°C,-55°C ~ 150°C,,"Analog, Local",,25°C (-55°C ~ 125°C),
LM19CIZ/LFT4,Texas Instruments,SENSOR ANALOG -55C-130C TO92,temperature-sensors-analog-and-digital-output,4457,0.86,"TO-226-3, TO-92-3 (TO-226AA)",Through Hole,Active,,https://www.digikey.com/en/products/detail/texas-instruments/LM19CIZ-LFT4/3640797,±2.5°C (±3.8°C),Shutdown Mode,,-55°C ~ 130°C,Analog Voltage,,11.77mV/°C,-55°C ~ 130°C,,"Analog, Local",,25°C ~ 30°C (-55°C),2.4V ~ 5.5V
LM19CIZ/NOPB,Texas Instruments,SENSOR ANALOG -55C-130C TO92-3,temperature-sensors-analog-and-digital-output,151,0.86,"TO-226-3, TO-92-3 (TO-226AA)",Through Hole,Active,,https://www.digikey.com/en/products/detail/texas-instruments/LM19CIZ-NOPB/562175,±2.5°C (±3.8°C),Shutdown Mode,,-55°C ~ 130°C,Analog Voltage,,11.77mV/°C,-55°C ~ 130°C,,"Analog, Local",,25°C ~ 30°C (-55°C),2.4V ~ 5.5V
LM20BIM7,Texas Instruments,SENSOR ANALOG -55C-130C SC70-5,temperature-sensors-analog-and-digital-output,6061,2.17,"5-TSSOP, SC-70-5, SOT-353",Surface Mount,Not For New Designs,https://rocelec.widen.net/view/pdf/zlkv9jjbo7/NATLS12060-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/texas-instruments/LM20BIM7/2349642,±1.5°C (±2.5°C),Shutdown Mode,,-55°C ~ 130°C,Analog Voltage,,11.77mV/°C,-55°C ~ 130°C,,"Analog, Local",,25°C ~ 30°C (-55°C ~ 130°C),2.4V ~ 5.5V
LM20CIM7,Texas Instruments,SENSOR ANALOG -55C-130C SC70-5,temperature-sensors-analog-and-digital-output,0,0.67187,"5-TSSOP, SC-70-5, SOT-353",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/911/LM20.pdf,https://www.digikey.com/en/products/detail/texas-instruments/LM20CIM7/3697623,±4°C (±5°C),Shutdown Mode,,-55°C ~ 130°C,Analog Voltage,,11.77mV/°C,-55°C ~ 130°C,,"Analog, Local",,25°C ~ 30°C (-55°C ~ 130°C),2.4V ~ 5.5V
LM20CIM7X,Texas Instruments,SENSOR ANALOG -55C-130C SC70-5,temperature-sensors-analog-and-digital-output,21704,1.72,"5-TSSOP, SC-70-5, SOT-353",Surface Mount,Not For New Designs,https://rocelec.widen.net/view/pdf/zlkv9jjbo7/NATLS12060-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/texas-instruments/LM20CIM7X/3697005,±4°C (±5°C),Shutdown Mode,,-55°C ~ 130°C,Analog Voltage,,11.77mV/°C,-55°C ~ 130°C,,"Analog, Local",,25°C ~ 30°C (-55°C ~ 130°C),2.4V ~ 5.5V
LM20SITLX/NOPB,Texas Instruments,SENSOR ANALOG -40C-125C 4USMD,temperature-sensors-analog-and-digital-output,6680,0.77,4-WFBGA,Surface Mount,Active,https://rocelec.widen.net/view/pdf/zlkv9jjbo7/NATLS12060-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/texas-instruments/LM20SITLX-NOPB/1870960,±2.5°C (±3.5°C),Shutdown Mode,,-40°C ~ 130°C,Analog Voltage,,11.77mV/°C,-40°C ~ 125°C,,"Analog, Local",,25°C ~ 30°C (-40°C ~ 125°C),2.4V ~ 5.5V
