MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Accuracy - Highest (Lowest),Features,Grade,Operating Temperature,Output Type,Qualification,Resolution,Sensing Temperature - Local,Sensing Temperature - Remote,Sensor Type,Series,Test Condition,Voltage - Supply
601049,Dracal Technologies,USB 2/3WIRE RTD ADAPTER-SCREW,temperature-sensors-analog-and-digital-output,4,172.91,"Module, Terminal Block",Free Hanging,Active,https://www.dracal.com/wp-content/uploads/2022/11/Dracal-RTD223-Datasheet.pdf,https://www.digikey.com/en/products/detail/dracal-technologies/601049/20493902,±0.06°C (±0.2°C),,,-20°C ~ 70°C,USB,,18 b,,-200°C ~ 850°C,Temperature,RTD,25°C (0°C ~ 50°C),5V
601072,Dracal Technologies,USB THERMOCOUPLE TYPE K ADAPTER,temperature-sensors-analog-and-digital-output,23,190.47,-,-,Active,https://www.dracal.com/wp-content/uploads/2021/07/Dracal-TMC200-Datasheet.pdf,https://www.digikey.com/en/products/detail/dracal-technologies/601072/20493910,,,,,,,,,,,TMC,,
603048,Dracal Technologies,VCP 2/3WIRE RTD ADAPTER-24BIT,temperature-sensors-analog-and-digital-output,8,337.59,-,-,Active,https://www.dracal.com/wp-content/uploads/2021/12/Dracal-RTD300-Datasheet.pdf,https://www.digikey.com/en/products/detail/dracal-technologies/603048/20493907,,,,-20°C ~ 60°C,USB,,,,,"Humidity, Temperature",RTD,,
605049,Dracal Technologies,VCP-CAL 2/3WIRERTD ADAPTER-SCREW,temperature-sensors-analog-and-digital-output,14,261.13,"Module, Terminal Block",Free Hanging,Active,https://www.dracal.com/wp-content/uploads/2022/11/Dracal-RTD223-Datasheet.pdf,https://www.digikey.com/en/products/detail/dracal-technologies/605049/20493895,±0.06°C (±0.2°C),,,-20°C ~ 70°C,USB,,18 b,,-200°C ~ 850°C,Temperature,RTD,25°C (0°C ~ 50°C),5V
605072,Dracal Technologies,VCP-CAL THERMOCOUPLE TYPEK ADAPT,temperature-sensors-analog-and-digital-output,13,279.66,-,-,Active,https://www.dracal.com/wp-content/uploads/2021/07/Dracal-TMC200-Datasheet.pdf,https://www.digikey.com/en/products/detail/dracal-technologies/605072/20493908,,,,,,,,,,,TMC,,
608048,Dracal Technologies,USB-CAL 2/3WIRE RTD ADAPTER24BIT,temperature-sensors-analog-and-digital-output,7,310.83,Module,Free Hanging,Active,https://www.dracal.com/wp-content/uploads/2021/12/Dracal-RTD300-Datasheet.pdf,https://www.digikey.com/en/products/detail/dracal-technologies/608048/20493909,±0.005°C (±0.018°C),,,-20°C ~ 60°C,USB,,24 b,,-200°C ~ 850°C,Temperature,RTD,25°C (0°C ~ 50°C),5V
608049,Dracal Technologies,USB-CAL 2/3WIRERTD ADAPTER-SCREW,temperature-sensors-analog-and-digital-output,9,233.9,"Module, Terminal Block",Free Hanging,Active,https://www.dracal.com/wp-content/uploads/2022/11/Dracal-RTD223-Datasheet.pdf,https://www.digikey.com/en/products/detail/dracal-technologies/608049/20493905,±0.06°C (±0.2°C),,,-20°C ~ 70°C,USB,,18 b,,-200°C ~ 850°C,Temperature,RTD,25°C (0°C ~ 50°C),5V
608072,Dracal Technologies,USB-CAL THERMOCOUPLE TYPEK ADAPT,temperature-sensors-analog-and-digital-output,6,251.13,-,-,Active,https://www.dracal.com/wp-content/uploads/2021/07/Dracal-TMC200-Datasheet.pdf,https://www.digikey.com/en/products/detail/dracal-technologies/608072/20493914,,,,,,,,,,,TMC,,
84248,Cole Hersee,SWITCH TEMPERATURE,temperature-sensors-analog-and-digital-output,38,33.96,"Cylinder, Threaded",Panel Mount,Active,,https://www.digikey.com/en/products/detail/littelfuse-inc/84248/6347598,,,,,,,,,,,,,
A/TT100-BO-1,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Boar",temperature-sensors-analog-and-digital-output,25,137.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-BO-1/17281322,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 90°C,,"Analog, Local",,260°C,8.5V ~ 32V
