MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Features,Operating Temperature,Output Type,Power - Rated,Sensing Range,Sensitivity,Sensor Type,Series,Termination
CMCP-DVS-GP-M1,STI Vibration Monitoring,"General Purpose, 25.4 mm/s",magnetic-sensors-hall-effect-digital-switch-linear,20,595.0,Module,Chassis Mount,Active,https://www.stiweb.com/v/vspfiles/downloadables/downloadDataSheets/CMCP-DVS-GPds.pdf,https://www.digikey.com/en/products/detail/sti-vibration-monitoring/CMCP-DVS-GP-M1/22160266,Programmable,-20°C ~ 60°C,Digital,24V / 50mA,2Hz ~ 2kHz,,Vibration,,Connector
CMCP-DVS-GP-M2,STI Vibration Monitoring,"General Purpose, 50.8 mm/s",magnetic-sensors-hall-effect-digital-switch-linear,20,595.0,Module,Chassis Mount,Active,https://www.stiweb.com/v/vspfiles/downloadables/downloadDataSheets/CMCP-DVS-GPds.pdf,https://www.digikey.com/en/products/detail/sti-vibration-monitoring/CMCP-DVS-GP-M2/22160270,Programmable,-20°C ~ 60°C,Digital,24V / 50mA,2Hz ~ 2kHz,,Vibration,,Connector
CMCP420VT-01,STI Vibration Monitoring,4-20 mA Velocity Output Sensor,magnetic-sensors-hall-effect-digital-switch-linear,0,0.0,-,Screw Mount,Active,https://www.stiweb.com/v/vspfiles/downloadables/downloadDataSheets/CMCP420VT.pdf,https://www.digikey.com/en/products/detail/sti-vibration-monitoring/CMCP420VT-01/25975400,,-25°C ~ 85°C,Analog,24V / 50mA,2Hz ~ 2kHz,100mV/g,Vibration,*,Screw Terminal
CMCP420VT-02,STI Vibration Monitoring,4-20 mA Velocity Output Sensor,magnetic-sensors-hall-effect-digital-switch-linear,13,440.0,-,Screw Mount,Active,https://www.stiweb.com/v/vspfiles/downloadables/downloadDataSheets/CMCP420VT.pdf,https://www.digikey.com/en/products/detail/sti-vibration-monitoring/CMCP420VT-02/25975404,,-25°C ~ 85°C,Analog,24V / 50mA,2Hz ~ 2kHz,100mV/g,Vibration,*,Screw Terminal
D7A-1,Omron Electronics Inc-EMC Div,SENSOR VIBRATION VERT 90-170GAL,magnetic-sensors-hall-effect-digital-switch-linear,0,0.0,-,Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/aratas-america-llc/D7A-1/503074,,-30°C ~ 70°C,SPST-NO,"3V, 5µA ~ 3V, 1mA",90 ~ 170 gal,,Displacement,D7A,PC Pins
D7A-2,Omron Electronics Inc-EMC Div,SENSOR VIBRATION HORZ 90-170GAL,magnetic-sensors-hall-effect-digital-switch-linear,0,0.0,-,Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/aratas-america-llc/D7A-2/503075,,-30°C ~ 70°C,SPST-NO,"3V, 5µA ~ 3V, 1mA",90 ~ 170 gal,,Displacement,D7A,PC Pins
D7A-3,Omron Electronics Inc-EMC Div,SENSOR VIBRATION BRKT 90-170GAL,magnetic-sensors-hall-effect-digital-switch-linear,0,0.0,-,Chassis Mount,Obsolete,,https://www.digikey.com/en/products/detail/aratas-america-llc/D7A-3/503076,,-30°C ~ 70°C,SPST-NO,"3V, 5µA ~ 3V, 1mA",90 ~ 170 gal,,Displacement,D7A,Wire Leads
D7E-2,Omron Electronics Inc-EMC Div,SENSOR VIBR 100-170GAL 0.1A GRN,magnetic-sensors-hall-effect-digital-switch-linear,192,12.29,-,Chassis Mount,Active,https://omronfs.omron.com/en_US/ecb/products/pdf/en-d7e.pdf,https://www.digikey.com/en/products/detail/aratas-america-llc/D7E-2/503078,,-25°C ~ 60°C,SPST-NC,"5V, 100nA ~ 30V, 100mA",100 ~ 170 gal,20 gal,Displacement,D7E,"Quick Connect - 0.187"" (4.7mm)"
D7H-A1,Omron Electronics Inc-EMC Div,SENSOR VIBRATION SPDT 10A ENCLS,magnetic-sensors-hall-effect-digital-switch-linear,0,395.913,Module,Chassis Mount,Obsolete,,https://www.digikey.com/en/products/detail/aratas-america-llc/D7H-A1/503080,,-14°F ~ 158°F,SPDT,"125V, 10A ~ 250V, 10A",100 ~ 170 gal,,Displacement,D7H,Quick Connect
D7H-B1,Omron Electronics Inc-EMC Div,SENSOR VIBRATION SPDT 10A OPEN,magnetic-sensors-hall-effect-digital-switch-linear,3,99.84,Module,Chassis Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/793/D7H-B1.pdf,https://www.digikey.com/en/products/detail/aratas-america-llc/D7H-B1/503081,,-10°C ~ 70°C,SPDT,"125V, 10A ~ 250V, 10A",100 ~ 170 gal,,Displacement,D7H,Quick Connect
D7H-B2,Omron Electronics Inc-EMC Div,SENSOR VIBRATION SPDT .1A OPEN,magnetic-sensors-hall-effect-digital-switch-linear,1,99.84,Module,Chassis Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1047/D7H-B2.pdf,https://www.digikey.com/en/products/detail/aratas-america-llc/D7H-B2/503082,,-10°C ~ 70°C,SPDT,"125V, 100mA  /  30V 100mA",100 ~ 170 gal,,Displacement,D7H,Quick Connect
D7S-A0001,Omron Electronics Inc-EMC Div,SENSOR SEISMIC 3 AXIS EARTHQUAKE,magnetic-sensors-hall-effect-digital-switch-linear,113,28.45,Module,Surface Mount,Active,https://omronfs.omron.com/en_US/ecb/products/pdf/en-d7s.pdf,https://www.digikey.com/en/products/detail/aratas-america-llc/D7S-A0001/6133770,,-30°C ~ 70°C,I2C,,±2000 gal,,"Vibration, Acceleration",D7S,Solder Pads
DX80N2X1W-CM1L,Banner Engineering Corporation,CONDITION MONITORING NODE,magnetic-sensors-hall-effect-digital-switch-linear,2,599.0,Module,Chassis Mount,Obsolete,http://info.bannerengineering.com/cs/groups/public/documents/literature/209565.pdf,https://www.digikey.com/en/products/detail/banner-engineering-corporation/DX80N2X1W-CM1L/20193330,,-40°C ~ 85°C,,,,,Vibration,Sure Cross®,Cable with Connector
DX80N9X1W-CM1L,Banner Engineering Corporation,SENSOR VIBRATION 900MHZ NODE,magnetic-sensors-hall-effect-digital-switch-linear,0,0.0,IoT Finished Device,Chassis Mount,Obsolete,https://info.bannerengineering.com/cs/groups/public/documents/literature/209565.pdf,https://www.digikey.com/en/products/detail/banner-engineering-corporation/DX80N9X1W-CM1L/10650949,,-40°C ~ 85°C,,,,,Vibration,DX80,Cable with Connector
EA-06-031ECA-350,Micro-Measurements (Division of Vishay Precision Group),GAGE EA-06-031GAGE CEA-350 LINEA,magnetic-sensors-hall-effect-digital-switch-linear,0,86.48,-,-,Active,,https://www.digikey.com/en/products/detail/micro-measurements-division-of-vishay-precision-group/EA-06-031ECA-350/10281474,,,,,,,,*,
HE050.0.0.0.002,HAUBER Elektronik,Vibration Sensor,magnetic-sensors-hall-effect-digital-switch-linear,10,279.63,"Cylinder, Threaded - M8",Screw Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6022/HE050_Series.pdf,https://www.digikey.com/en/products/detail/hauber-elektronik/HE050-0-0-0-002/22310495,,-40°C ~ 85°C,Analog,18V ~ 30V / 120mA,10Hz ~ 1kHz,,Vibration,HE050,Connector
HE050.0.0.0.004,HAUBER Elektronik,Vibration Sensor,magnetic-sensors-hall-effect-digital-switch-linear,10,279.63,"Cylinder, Threaded - M8",Screw Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6022/HE050_Series.pdf,https://www.digikey.com/en/products/detail/hauber-elektronik/HE050-0-0-0-004/22310488,,-40°C ~ 85°C,Analog,18V ~ 30V / 120mA,10Hz ~ 1kHz,,Vibration,HE050,Connector
HE050.0.0.0.006,HAUBER Elektronik,Vibration Sensor,magnetic-sensors-hall-effect-digital-switch-linear,10,279.63,"Cylinder, Threaded - M8",Screw Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6022/HE050_Series.pdf,https://www.digikey.com/en/products/detail/hauber-elektronik/HE050-0-0-0-006/22310555,,-40°C ~ 85°C,Analog,18V ~ 30V / 120mA,10Hz ~ 1kHz,,Vibration,HE050,Connector
HE050.0.1.0.001,HAUBER Elektronik,Vibration Sensor IO Link,magnetic-sensors-hall-effect-digital-switch-linear,10,380.25,"Cylinder, Threaded - M8",Screw Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6022/HE050_Series.pdf,https://www.digikey.com/en/products/detail/hauber-elektronik/HE050-0-1-0-001/22310467,Programmable,-40°C ~ 85°C,"Analog, Digital",18V ~ 30V / 700mA,10Hz ~ 1kHz,,Vibration,HE050,Connector
HE055.0.1.0.001,HAUBER Elektronik,Vibration Sensor IO Link,magnetic-sensors-hall-effect-digital-switch-linear,20,496.08,"Cylinder, Threaded",Panel Mount,Active,https://hauber-elektronik.de/file/HE055/manuals/HE055_manual_EN.pdf,https://www.digikey.com/en/products/detail/hauber-elektronik/HE055-0-1-0-001/25666249,,-40°C ~ 80°C,"Analog, Digital",18V ~ 30V / 320mA,10Hz ~ 1kHz,,"Vibration, Acceleration",HE055,Connector
HE100.00.16.00.00.00.000,HAUBER Elektronik,Vibration Sensor,magnetic-sensors-hall-effect-digital-switch-linear,10,546.39,"Cylinder, Threaded - M8",Screw Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6022/HE100_Series.pdf,https://www.digikey.com/en/products/detail/hauber-elektronik/HE100-00-16-00-00-00-000/22310533,,-40°C ~ 125°C,Analog,10V ~ 30V / 25mA,10Hz ~ 1kHz,,Vibration,HE100,Connector
HE100.00.16.01.00.00.000,HAUBER Elektronik,Vibration Sensor,magnetic-sensors-hall-effect-digital-switch-linear,10,602.55,"Cylinder, Threaded - M8",Screw Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6022/HE100_Series.pdf,https://www.digikey.com/en/products/detail/hauber-elektronik/HE100-00-16-01-00-00-000/22310510,,-40°C ~ 125°C,Analog,10V ~ 30V / 25mA,1Hz ~ 1kHz,,Vibration,HE100,Connector
HE100.00.32.00.00.00.000,HAUBER Elektronik,Vibration Sensor,magnetic-sensors-hall-effect-digital-switch-linear,10,546.39,"Cylinder, Threaded - M8",Screw Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6022/HE100_Series.pdf,https://www.digikey.com/en/products/detail/hauber-elektronik/HE100-00-32-00-00-00-000/22310460,,-40°C ~ 125°C,Analog,10V ~ 30V / 25mA,10Hz ~ 1kHz,,Vibration,HE100,Connector
HE100.00.32.01.00.00.000,HAUBER Elektronik,Vibration Sensor,magnetic-sensors-hall-effect-digital-switch-linear,10,602.55,"Cylinder, Threaded - M8",Screw Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6022/HE100_Series.pdf,https://www.digikey.com/en/products/detail/hauber-elektronik/HE100-00-32-01-00-00-000/22310524,,-40°C ~ 125°C,Analog,10V ~ 30V / 25mA,1Hz ~ 1kHz,,Vibration,HE100,Connector
HE100.00.64.00.00.00.000,HAUBER Elektronik,Vibration Sensor,magnetic-sensors-hall-effect-digital-switch-linear,10,546.39,"Cylinder, Threaded - M8",Screw Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6022/HE100_Series.pdf,https://www.digikey.com/en/products/detail/hauber-elektronik/HE100-00-64-00-00-00-000/22310487,,-40°C ~ 125°C,Analog,10V ~ 30V / 25mA,10Hz ~ 1kHz,,Vibration,HE100,Connector
