MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Battery Chemistry,Function,Number of Bits/Stages,Operating Temperature,Series
HA1-2556-9,Renesas Electronics Corporation,IC MULT 16-CERDIP,interface-specialized,0,0.0,"16-CDIP (0.300"", 7.62mm)",,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/HA1-2556-9/1061992,,Analog Multiplier,4-Quadrant,,HA
HA1-2557-9,Harris Corporation,IC MULT 16-CERDIP,interface-specialized,88,87.19,"16-CDIP (0.300"", 7.62mm)",,Active,https://rocelec.widen.net/view/pdf/rf5rwpkrcg/HRISD010-7-101.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/HA1-2557-9/12098591,,Analog Multiplier,4-Quadrant,,
HA3-2557-9,Harris Corporation,IC MULT 16-PDIP,interface-specialized,1417,4.93,"16-DIP (0.300"", 7.62mm)",,Active,https://rocelec.widen.net/view/pdf/jxikgqa9rd/HRISD034-8-102.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/HA3-2557-9/12110341,,Analog Multiplier,4-Quadrant,,
HA9P2556-9Z,Renesas Electronics Corporation,IC MULT 16-SOIC,interface-specialized,0,62.35,"16-SOIC (0.295"", 7.50mm Width)",,Active,https://www.renesas.com/us/en/document/dst/ha-2556-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/HA9P2556-9Z/1976092,,Analog Multiplier,4-Quadrant,,
HMA510JC-45,Intersil,IC DIGITAL MULT 68-PLCC,interface-specialized,1260,9.06,68-LCC (J-Lead),,Active,https://rocelec.widen.net/view/pdf/7icft33zra/INSLS03490-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/HMA510JC-45/12098036,,Digital Multiplier,,,
HMA510JC-55,Intersil,IC DIGITAL MULT 68-PLCC,interface-specialized,3351,6.2,68-LCC (J-Lead),,Active,https://rocelec.widen.net/view/pdf/7icft33zra/INSLS03490-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/HMA510JC-55/12098889,,Digital Multiplier,,,
ICL8013BMTX,Harris Corporation,IC MULT TO-100-10,interface-specialized,557,64.47,TO-100-10 Metal Can,,Active,https://rocelec.widen.net/view/pdf/e0laxjblh9/HRISD034-8-145.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/ICL8013BMTX/12124224,,Analog Multiplier,4-Quadrant,,
M4Z28-BR00SH1,STMicroelectronics,IC BATT LITHIUM SNAPHAT,interface-signal-buffers-repeaters-splitters,483,9.67,Snaphat®,Snap-In,Active,https://www.st.com/content/ccc/resource/technical/document/datasheet/d8/ee/0d/a4/8a/c8/4a/1d/CD00149845.pdf/files/CD00149845.pdf/jcr:content/translations/en.CD00149845.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/M4Z28-BR00SH1/679618,Lithium,Back-Up Management,,-40°C ~ 85°C,Snaphat®
M4Z32-BR00SH1,STMicroelectronics,IC BATT LITHIUM SNAPHAT,interface-signal-buffers-repeaters-splitters,182,14.67,Snaphat®,Snap-In,Active,https://www.st.com/content/ccc/resource/technical/document/datasheet/d8/ee/0d/a4/8a/c8/4a/1d/CD00149845.pdf/files/CD00149845.pdf/jcr:content/translations/en.CD00149845.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/M4Z32-BR00SH1/679619,Lithium,Back-Up Management,,-40°C ~ 85°C,Snaphat®
MPY100AG,Texas Instruments,IC MULT/DIVIDER 14-CDIP,interface-specialized,11,153.73,"14-CDIP (0.300"", 7.62mm)",,Last Time Buy,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1/MPY100.pdf,https://www.digikey.com/en/products/detail/texas-instruments/MPY100AG/251111,,Analog Multiplier/Divider,4-Quadrant,,MPY
MPY100BG,Burr Brown,IC MULT/DIVIDER 14-CDIP,interface-specialized,5,117.44,"14-CDIP (0.300"", 7.62mm)",,Active,https://rocelec.widen.net/view/pdf/jjg9bdjjud/mpy100.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/MPY100BG/12596673,,Analog Multiplier/Divider,4-Quadrant,,MPY
MPY100BG-TI,Texas Instruments,MPY100 MULTIPLIER/DIVIDER,interface-specialized,6228,117.44,-,,Active,https://rocelec.widen.net/view/pdf/jjg9bdjjud/mpy100.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/MPY100BG-TI/12644372,,,,,*
MPY100CG,Texas Instruments,IC MULT/DIVIDER 14-CDIP,interface-specialized,2,189.71,"14-CDIP (0.300"", 7.62mm)",,Last Time Buy,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1/MPY100.pdf,https://www.digikey.com/en/products/detail/texas-instruments/MPY100CG/301087,,Analog Multiplier/Divider,4-Quadrant,,MPY
MPY100CM,Burr Brown,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Obsolete,https://rocelec.widen.net/view/pdf/jjg9bdjjud/mpy100.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/MPY100CM/11553677,,Analog Multiplier/Divider,4-Quadrant,,MPY
MPY100SG,Texas Instruments,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,99.336,"14-CDIP (0.300"", 7.62mm)",,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1/MPY100.pdf,https://www.digikey.com/en/products/detail/texas-instruments/MPY100SG/301089,,Analog Multiplier/Divider,4-Quadrant,,MPY
MPY534JD,Texas Instruments,IC MULT 14-CDIP,interface-specialized,7205,26.63,"14-CDIP (0.300"", 7.62mm)",,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/MPY534JD/11513483,,Analog Multiplier,4-Quadrant,,MPY
MPY534KD,Burr Brown,IC MULT 14-CDIP,interface-specialized,3420,25.05,"14-CDIP (0.300"", 7.62mm)",,Obsolete,https://rocelec.widen.net/view/pdf/ktpwggpy4z/BURRD00011-1-7.10.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/MPY534KD/11513287,,Analog Multiplier,4-Quadrant,,MPY
