MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Count Rate,Direction,Grade,Logic Type,Number of Bits per Element,Number of Elements,Operating Temperature,Qualification,Reset,Series,Timing,Trigger Type,Voltage - Supply
DM74161J,"Rochester Electronics, LLC","BINARY COUNTER, SYNCHRONOUS",pmic-gate-drivers,463,43.99,-,-,Active,https://rocelec.widen.net/view/pdf/rdnpfpygrh/RE_DSHEET_DM74161J-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74161J/12611537,,,,,,,,,,*,,,
DM74163AN,National Semiconductor,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,571,0.63,"16-DIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/dbvrzvfxsv/NATLS15547-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74163AN/12096209,25 MHz,Up,,Binary Counter,4,1,0°C ~ 70°C (TA),,Synchronous,,Synchronous,Positive Edge,4.75 V ~ 5.25 V
DM74ALS161BM,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16SOIC,pmic-gate-drivers,5643,0.35,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/fncacwojhk/FAIRS24789-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74ALS161BM/11541951,40 MHz,Up,,Binary Counter,4,1,0°C ~ 70°C,,Asynchronous,74ALS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74ALS161BMX,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16SOIC,pmic-gate-drivers,26875,31.44,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/fncacwojhk/FAIRS24789-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74ALS161BMX/11515171,40 MHz,Up,,Binary Counter,4,1,0°C ~ 70°C,,Asynchronous,74ALS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74ALS161BN,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,1782,0.35,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://rocelec.widen.net/view/pdf/nlnlkbfxyq/FAIRS01655-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74ALS161BN/11523327,40 MHz,Up,,Binary Counter,4,1,0°C ~ 70°C,,Asynchronous,74ALS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74ALS162BM,onsemi,IC DECADE COUNTER 4-BIT 16SOIC,pmic-gate-drivers,0,0.56544,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1176/DM74ALS161B_2B_3B.pdf,https://www.digikey.com/en/products/detail/onsemi/DM74ALS162BM/975120,40 MHz,Up,,"Counter, Decade",4,1,0°C ~ 70°C,,Synchronous,74ALS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74ALS162BMX,Fairchild Semiconductor,IC DECADE COUNTER 4-BIT 16SOIC,pmic-gate-drivers,11918,0.4,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/fncacwojhk/FAIRS24789-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74ALS162BMX/11541134,40 MHz,Up,,"Counter, Decade",4,1,0°C ~ 70°C,,Synchronous,74ALS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74ALS162BN,Fairchild Semiconductor,IC DECADE COUNTER 4-BIT 16DIP,pmic-gate-drivers,15998,0.4,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://rocelec.widen.net/view/pdf/fncacwojhk/FAIRS24789-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74ALS162BN/11537460,40 MHz,Up,,"Counter, Decade",4,1,0°C ~ 70°C,,Synchronous,74ALS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74ALS163BM,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16SOIC,pmic-gate-drivers,1994,0.35,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/fncacwojhk/FAIRS24789-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74ALS163BM/11515940,40 MHz,Up,,Binary Counter,4,1,0°C ~ 70°C,,Synchronous,74ALS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74ALS163BMX,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16SOIC,pmic-gate-drivers,30000,31.44,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/fncacwojhk/FAIRS24789-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74ALS163BMX/11548227,40 MHz,Up,,Binary Counter,4,1,0°C ~ 70°C,,Synchronous,74ALS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74ALS169BM,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16SOIC,pmic-gate-drivers,3840,0.66,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/mettx1rhxs/FAIRS24798-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74ALS169BM/11556890,40 MHz,"Up, Down",,Binary Counter,4,1,0°C ~ 70°C,,,74ALS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74ALS169BMX,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16SOIC,pmic-gate-drivers,7500,37.69,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/mettx1rhxs/FAIRS24798-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74ALS169BMX/11538528,40 MHz,"Up, Down",,Binary Counter,4,1,0°C ~ 70°C,,,74ALS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74ALS169BN,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,18815,0.35,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://rocelec.widen.net/view/pdf/rrpliv8exq/FAIRS01657-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74ALS169BN/11555510,40 MHz,"Up, Down",,Binary Counter,4,1,0°C ~ 70°C,,,74ALS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74AS161M,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16SOIC,pmic-gate-drivers,2880,1.34,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/bnjgmmly7f/FAIRS24782-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74AS161M/11548125,75 MHz,Up,,Binary Counter,4,1,0°C ~ 70°C,,Asynchronous,74AS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74AS163M,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16SOIC,pmic-gate-drivers,3837,1.34,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/bnjgmmly7f/FAIRS24782-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74AS163M/11557293,75 MHz,Up,,Binary Counter,4,1,0°C ~ 70°C,,Synchronous,74AS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74AS163MX,onsemi,IC BINARY COUNTER 4-BIT 16SOIC,pmic-gate-drivers,0,0.59437,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1006/DM74AS161%2C163.pdf,https://www.digikey.com/en/products/detail/onsemi/DM74AS163MX/975179,75 MHz,Up,,Binary Counter,4,1,0°C ~ 70°C,,Synchronous,74AS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74AS163N,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,4000,1.8,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://rocelec.widen.net/view/pdf/fq421p0ifu/FAIRS04836-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74AS163N/11509655,75 MHz,Up,,Binary Counter,4,1,0°C ~ 70°C,,Synchronous,74AS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74AS169AN,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,6775,2.3,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://rocelec.widen.net/view/pdf/ldtuwnlgp4/FAIRS04837-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74AS169AN/11534879,75 MHz,"Up, Down",,Binary Counter,4,1,0°C ~ 70°C,,,74AS,Synchronous,Positive Edge,4.5 V ~ 5.5 V
DM74LS161AM,onsemi,IC BINARY COUNTER 4-BIT 16SOIC,pmic-gate-drivers,0,0.52125,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/974/DM74LS161A%2C163A.pdf,https://www.digikey.com/en/products/detail/onsemi/DM74LS161AM/212034,,Up,,Binary Counter,4,1,0°C ~ 70°C,,Asynchronous,74LS,Synchronous,Positive Edge,4.75 V ~ 5.25 V
DM74LS161AN,onsemi,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,0,0.5908,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/974/DM74LS161A%2C163A.pdf,https://www.digikey.com/en/products/detail/onsemi/DM74LS161AN/3324,,Up,,Binary Counter,4,1,0°C ~ 70°C,,Asynchronous,74LS,Synchronous,Positive Edge,4.75 V ~ 5.25 V
DM74LS163AN,onsemi,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,0,0.5908,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/974/DM74LS161A%2C163A.pdf,https://www.digikey.com/en/products/detail/onsemi/DM74LS163AN/3328,,Up,,Binary Counter,4,1,0°C ~ 70°C,,Synchronous,74LS,Synchronous,Positive Edge,4.75 V ~ 5.25 V
DM74LS169AM,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16SOIC,pmic-gate-drivers,2000,1.11,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/7w77foyqir/FAIRS32113-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74LS169AM/11555657,25 MHz,"Up, Down",,Binary Counter,4,1,0°C ~ 70°C,,,74LS,Synchronous,Positive Edge,4.75 V ~ 5.25 V
DM74LS169AN,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,8205,0.28,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://rocelec.widen.net/view/pdf/7w77foyqir/FAIRS32113-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74LS169AN/11513784,25 MHz,"Up, Down",,Binary Counter,4,1,0°C ~ 70°C,,,74LS,Synchronous,Positive Edge,4.75 V ~ 5.25 V
DM74LS191MX,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16SOIC,pmic-gate-drivers,6428,0.43,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/asnpycudqr/FAIRS32040-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74LS191MX/12100403,20 MHz,"Up, Down",,Binary Counter,4,1,0°C ~ 70°C (TA),,Asynchronous,74LS,Synchronous,Positive Edge,4.75 V ~ 5.25 V
DM74LS191N,onsemi,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,0,0.7336,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/835/DM74LS191.pdf,https://www.digikey.com/en/products/detail/onsemi/DM74LS191N/3346,20 MHz,"Up, Down",,Binary Counter,4,1,0°C ~ 70°C,,,74LS,Synchronous,Positive Edge,4.75 V ~ 5.25 V
DM74LS393M,onsemi,IC BINARY COUNTR DL 4BIT 14SOIC,pmic-gate-drivers,0,0.62927,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/928/DM74LS393.pdf,https://www.digikey.com/en/products/detail/onsemi/DM74LS393M/212039,25 MHz,Up,,Binary Counter,4,2,0°C ~ 70°C,,Asynchronous,74LS,,Negative Edge,4.75 V ~ 5.25 V
DM74LS393N,onsemi,IC BINARY COUNTR DL 4BIT 14MDIP,pmic-gate-drivers,0,0.7292,"14-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/928/DM74LS393.pdf,https://www.digikey.com/en/products/detail/onsemi/DM74LS393N/147985,25 MHz,Up,,Binary Counter,4,2,0°C ~ 70°C,,Asynchronous,74LS,,Negative Edge,4.75 V ~ 5.25 V
DM74LS90N,onsemi,IC DECADE COUNTER 4-BIT 14MDIP,pmic-gate-drivers,0,0.6192,"14-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1034/DM74LS90.pdf,https://www.digikey.com/en/products/detail/onsemi/DM74LS90N/3450,32 MHz,Up,,"Counter, Decade",4,1,0°C ~ 70°C,,Asynchronous,74LS,,Negative Edge,4.75 V ~ 5.25 V
DM74S161N,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,3312,0.58,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://rocelec.widen.net/view/pdf/4iztpmdxbc/FAIRS01728-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74S161N/11527096,40 MHz,Up,,Binary Counter,4,1,0°C ~ 70°C,,,74S,Synchronous,Positive Edge,4.75 V ~ 5.25 V
DM74S163N,Fairchild Semiconductor,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,2950,0.64,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://rocelec.widen.net/view/pdf/4iztpmdxbc/FAIRS01728-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM74S163N/11555693,40 MHz,Up,,Binary Counter,4,1,0°C ~ 70°C,,,74S,Synchronous,Positive Edge,4.75 V ~ 5.25 V
DM8556N,National Semiconductor,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,124,46.56,"16-DIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/l4m4vjmk59/RSELS23171-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM8556N/12103831,25 MHz,,,Binary Counter,4,1,0°C ~ 70°C (TA),,Asynchronous,,Synchronous,Positive Edge,4.75 V ~ 5.25 V
DM9316J/883,National Semiconductor,IC BINARY COUNTER 4-BIT 16CDIP,pmic-gate-drivers,63,9.49,"16-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/69wmtmpocw/NATLS13693-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/DM9316J-883/12104853,25 MHz,Up,,Binary Counter,4,1,-55°C ~ 125°C (TA),,Asynchronous,,Synchronous,Positive Edge,4.5 V ~ 5.5 V
HC40103QM96G4Q1,Texas Instruments,IC BINARY COUNTER 8-BIT 16SOIC,pmic-gate-drivers,0,0.488,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Discontinued at DigiKey,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/827/CD74HC40103-Q1.pdf,https://www.digikey.com/en/products/detail/texas-instruments/HC40103QM96G4Q1/1898453,18 MHz,Down,Automotive,Binary Counter,8,1,-40°C ~ 125°C,AEC-Q100,Asynchronous,74HC,Synchronous,Positive Edge,2 V ~ 6 V
HCF40161BEY,STMicroelectronics,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,0,0.52696,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF40161BEY/1038037,12 MHz,Up,,Binary Counter,4,1,-50°C ~ 125°C,,Asynchronous,4000B,Synchronous,Positive Edge,3 V ~ 20 V
HCF40161M013TR,STMicroelectronics,IC BINARY COUNTER 4-BIT 16SO,pmic-gate-drivers,0,0.52236,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF40161M013TR/1038038,12 MHz,Up,,Binary Counter,4,1,-50°C ~ 125°C,,Asynchronous,4000,Synchronous,Positive Edge,3 V ~ 20 V
HCF4017BEY,STMicroelectronics,IC DECADE COUNTER 10BIT 16DIP,pmic-gate-drivers,0,0.21325,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.st.com/content/ccc/resource/technical/document/datasheet/6b/bc/26/e0/a8/2e/49/36/CD00000366.pdf/files/CD00000366.pdf/jcr:content/translations/en.CD00000366.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4017BEY/585874,11 MHz,Up,,"Counter, Decade",10,1,-55°C ~ 125°C (TA),,Asynchronous,4000B,Synchronous,"Positive, Negative",3 V ~ 20 V
HCF4017M013TR,STMicroelectronics,IC DECADE COUNTER 10BIT 16SO,pmic-gate-drivers,0,0.12392,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.st.com/content/ccc/resource/technical/document/datasheet/6b/bc/26/e0/a8/2e/49/36/CD00000366.pdf/files/CD00000366.pdf/jcr:content/translations/en.CD00000366.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4017M013TR/585643,11 MHz,Up,,"Counter, Decade",10,1,-55°C ~ 125°C (TA),,Asynchronous,4000,Synchronous,"Positive, Negative",3 V ~ 20 V
HCF4018BEY,STMicroelectronics,IC DIVIDER BY N 5-BIT 16DIP,pmic-gate-drivers,0,0.31292,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/388/HCF4018B.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4018BEY/1663297,17 MHz,Up,,Divide-by-N,5,1,-55°C ~ 125°C,,Asynchronous,4000B,,Positive Edge,3 V ~ 20 V
HCF40193BEY,STMicroelectronics,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,0,0.37421,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF40193BEY/1663298,11 MHz,"Up, Down",,Binary Counter,4,1,-55°C ~ 125°C,,Asynchronous,4000B,Synchronous,Positive Edge,3 V ~ 20 V
HCF4020BEY,STMicroelectronics,IC BINARY COUNTER 14-BIT 16DIP,pmic-gate-drivers,0,0.21325,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.st.com/content/ccc/resource/technical/document/datasheet/group1/8f/10/89/59/c5/0d/46/02/CD00002639/files/CD00002639.pdf/jcr:content/translations/en.CD00002639.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4020BEY/585875,24 MHz,Up,,Binary Counter,14,1,-55°C ~ 125°C,,Asynchronous,4000B,,Negative Edge,3 V ~ 20 V
HCF4020M013TR,STMicroelectronics,IC BINARY COUNTER 14-BIT 16SO,pmic-gate-drivers,0,0.12118,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.st.com/content/ccc/resource/technical/document/datasheet/group1/8f/10/89/59/c5/0d/46/02/CD00002639/files/CD00002639.pdf/jcr:content/translations/en.CD00002639.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4020M013TR/1038041,24 MHz,Up,,Binary Counter,14,1,-55°C ~ 125°C,,Asynchronous,4000,,Negative Edge,3 V ~ 20 V
HCF4022BEY,STMicroelectronics,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,0,0.32673,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1021/HCF4022B.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4022BEY/1663300,11 MHz,Up,,Binary Counter,4,1,-55°C ~ 125°C,,Asynchronous,4000B,,Positive Edge,3 V ~ 20 V
HCF4024BEY,STMicroelectronics,IC BINARY COUNTER 7-BIT 14DIP,pmic-gate-drivers,0,0.36305,"14-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1/HCF4024B.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4024BEY/585877,24 MHz,Up,,Binary Counter,7,1,-55°C ~ 125°C,,Asynchronous,4000B,,Negative Edge,3 V ~ 20 V
HCF4024M013TR,STMicroelectronics,IC BINARY COUNTER 7-BIT 14SO,pmic-gate-drivers,0,0.35966,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1/HCF4024B.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4024M013TR/585645,24 MHz,Up,,Binary Counter,7,1,-55°C ~ 125°C,,Asynchronous,4000,,Negative Edge,3 V ~ 20 V
HCF4029BEY,STMicroelectronics,IC BINARY COUNTER 4-BIT 16DIP,pmic-gate-drivers,0,0.31292,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/968/HCF4029B.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4029BEY/1663303,11 MHz,"Up, Down",,"Binary Counter, Decade",4,1,-55°C ~ 125°C,,,4000B,Synchronous,Positive Edge,3 V ~ 20 V
HCF4029M013TR,STMicroelectronics,IC BINARY COUNTER 4-BIT 16SO,pmic-gate-drivers,0,0.12666,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/968/HCF4029B.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4029M013TR/1663304,11 MHz,"Up, Down",,"Binary Counter, Decade",4,1,-55°C ~ 125°C,,,4000B,Synchronous,Positive Edge,3 V ~ 20 V
HCF4040M013TR,STMicroelectronics,IC BINARY COUNTER 12-BIT 16SO,pmic-gate-drivers,0,0.14255,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.st.com/content/ccc/resource/technical/document/datasheet/c4/11/59/e9/97/ef/4c/5a/CD00002645.pdf/files/CD00002645.pdf/jcr:content/translations/en.CD00002645.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4040M013TR/585648,24 MHz,Up,,Binary Counter,12,1,-55°C ~ 125°C,,Asynchronous,4000,,Negative Edge,3 V ~ 20 V
HCF4060BEY,STMicroelectronics,IC BINARY COUNTER 14-BIT 16DIP,pmic-gate-drivers,0,0.20496,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.st.com/content/ccc/resource/technical/document/datasheet/49/b2/d2/ca/64/39/45/4c/CD00000386.pdf/files/CD00000386.pdf/jcr:content/translations/en.CD00000386.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4060BEY/585889,24 MHz,Up,,Binary Counter,14,1,-55°C ~ 125°C,,Asynchronous,4000B,,Negative Edge,3 V ~ 20 V
HCF4060M013TR,STMicroelectronics,IC BINARY COUNTER 14-BIT 16SO,pmic-gate-drivers,0,0.12118,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.st.com/content/ccc/resource/technical/document/datasheet/49/b2/d2/ca/64/39/45/4c/CD00000386.pdf/files/CD00000386.pdf/jcr:content/translations/en.CD00000386.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4060M013TR/585657,24 MHz,Up,,Binary Counter,14,1,-55°C ~ 125°C,,Asynchronous,4000,,Negative Edge,3 V ~ 20 V
HCF4060YM013TR,STMicroelectronics,IC BINARY COUNTER 14-BIT 16SO,pmic-gate-drivers,5648,0.73,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.st.com/content/ccc/resource/technical/document/datasheet/49/b2/d2/ca/64/39/45/4c/CD00000386.pdf/files/CD00000386.pdf/jcr:content/translations/en.CD00000386.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4060YM013TR/4725926,24 MHz,Up,Automotive,Binary Counter,14,1,-40°C ~ 125°C,AEC-Q100,Asynchronous,4000,,Negative Edge,3 V ~ 20 V
HCF4510BEY,STMicroelectronics,IC BCD COUNTER 4-BIT 16DIP,pmic-gate-drivers,0,0.34052,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1105/HCF4510B.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4510BEY/1663324,11 MHz,"Up, Down",,BCD Counter,4,1,-55°C ~ 125°C,,Asynchronous,4000B,Synchronous,Positive Edge,3 V ~ 20 V
HCF4518BEY,STMicroelectronics,IC BCD COUNTER DUAL 4-BIT 16DIP,pmic-gate-drivers,0,0.2714,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1079/hcf4518.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4518BEY/1038050,8 MHz,Up,,BCD Counter,4,2,-55°C ~ 125°C,,Asynchronous,4000B,Synchronous,"Positive, Negative",3 V ~ 20 V
HCF4518M013TR,STMicroelectronics,IC BCD COUNTER DUAL 4-BIT 16SO,pmic-gate-drivers,0,0.18394,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1079/hcf4518.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/HCF4518M013TR/1038051,8 MHz,Up,,BCD Counter,4,2,-55°C ~ 125°C,,Asynchronous,4000,Synchronous,"Positive, Negative",3 V ~ 20 V
