MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Count Rate,Direction,Grade,Logic Type,Number of Bits per Element,Number of Elements,Operating Temperature,Qualification,Reset,Series,Timing,Trigger Type,Voltage - Supply
"74HCT4040N,652",Nexperia USA Inc.,IC BINARY COUNTER 12-BIT 16DIP,pmic-gate-drivers,1325,1.94,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2339/74HC%28T%294040_Rev4.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74HCT4040N-652/11509743,79 MHz,Up,,Binary Counter,12,1,-40°C ~ 125°C,,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
"74HCT4040PW,112",Nexperia USA Inc.,NEXPERIA 74HCT4040PW - BINARY CO,pmic-gate-drivers,18365,1.35,"16-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/hcxrrzir57/PHGLS29625-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74HCT4040PW-112/15641704,79 MHz,Up,,Binary Counter,12,1,-40°C ~ 125°C (TA),,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
"74HCT4040PW,118",Nexperia USA Inc.,IC BINARY COUNTER 12BIT 16TSSOP,pmic-gate-drivers,0,0.22376,"16-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4040.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4040PW-118/1230887,79 MHz,Up,,Binary Counter,12,1,-40°C ~ 125°C,,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
74HCT4040PW-Q100J,Nexperia USA Inc.,IC BINARY COUNTER 12BIT 16TSSOP,pmic-gate-drivers,0,0.27073,"16-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4040_Q100.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4040PW-Q100J/4020274,79 MHz,Up,Automotive,Binary Counter,12,1,-40°C ~ 125°C,AEC-Q100,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
"74HCT4060BQ,115",Nexperia USA Inc.,IC BINARY COUNTER 14BIT 16DHVQFN,pmic-gate-drivers,0,0.37,16-VFQFN Exposed Pad,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4060.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4060BQ-115/2034132,88 MHz,Up,,Binary Counter,14,1,-40°C ~ 125°C (TA),,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
"74HCT4060BQ-Q100,1",Nexperia USA Inc.,IC BINARY COUNTER 14BIT 16DHVQFN,pmic-gate-drivers,0,0.44,16-VFQFN Exposed Pad,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4060_Q100.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4060BQ-Q100-1/3678980,88 MHz,Up,Automotive,Binary Counter,14,1,-40°C ~ 125°C (TA),AEC-Q100,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
"74HCT4060D,652",Nexperia USA Inc.,NEXPERIA 74HCT4060D - BINARY COU,pmic-gate-drivers,14780,0.96,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4060.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74HCT4060D-652/15639146,88 MHz,Up,,Binary Counter,14,1,-40°C ~ 125°C (TA),,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
"74HCT4060D,653",Nexperia USA Inc.,IC BINARY COUNTER 14-BIT 16SO,pmic-gate-drivers,2,0.62,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4060.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4060D-653/1230908,88 MHz,Up,,Binary Counter,14,1,-40°C ~ 125°C (TA),,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
"74HCT4060D-Q100,11",Nexperia USA Inc.,IC BINARY COUNTER 14-BIT 16SO,pmic-gate-drivers,0,0.29245,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4060_Q100.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4060D-Q100-11/3678981,88 MHz,Up,Automotive,Binary Counter,14,1,-40°C ~ 125°C (TA),AEC-Q100,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
"74HCT4060DB,118",Nexperia USA Inc.,IC BINARY COUNTER 14-BIT 16SSOP,pmic-gate-drivers,2000,1.05,"16-SSOP (0.209"", 5.30mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/rmepjfi5iw/PHGL-S-A0001477848-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74HCT4060DB-118/12599225,88 MHz,Up,,Binary Counter,14,1,-40°C ~ 125°C (TA),,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
74HCT4060DB-Q100J,Nexperia USA Inc.,IC BINARY COUNTER 12-BIT 16SSOP,pmic-gate-drivers,0,1.24,"16-SSOP (0.209"", 5.30mm Width)",Surface Mount,Obsolete,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4060_Q100.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4060DB-Q100J/4288206,88 MHz,Up,Automotive,Binary Counter,14,1,-40°C ~ 125°C (TA),AEC-Q100,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
"74HCT4060N,652",Nexperia USA Inc.,IC BINARY COUNTER 14-BIT 16DIP,pmic-gate-drivers,3802,1.94,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4060.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74HCT4060N-652/11537235,88 MHz,Up,,Binary Counter,14,1,-40°C ~ 125°C (TA),,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
"74HCT4520D,118",Nexperia USA Inc.,NOW NEXPERIA 74HCT4520D - BINARY,pmic-gate-drivers,4795,0.77,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/ewlfjae8ec/PHGL-S-A0000178052-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74HCT4520D-118/13505730,58 MHz,Up,,Binary Counter,4,2,-40°C ~ 125°C,,Asynchronous,74HCT,Synchronous,"Positive, Negative",4.5 V ~ 5.5 V
74HCT4520D-Q100J,Nexperia USA Inc.,IC BINARY COUNTER DL 4BIT 16SO,pmic-gate-drivers,0,0.36898,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4520_Q100.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4520D-Q100J/5169938,58 MHz,Up,Automotive,Binary Counter,4,2,-40°C ~ 125°C,AEC-Q100,Asynchronous,74HCT,Synchronous,"Positive, Negative",4.5 V ~ 5.5 V
"74HCT4520DB,118",Nexperia USA Inc.,IC BINARY COUNTR DL 4BIT 16SSOP,pmic-gate-drivers,0,0.43728,"16-SSOP (0.209"", 5.30mm Width)",Surface Mount,Obsolete,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4520.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT4520DB-118/1230954,58 MHz,Up,,Binary Counter,4,2,-40°C ~ 125°C,,Asynchronous,74HCT,Synchronous,"Positive, Negative",4.5 V ~ 5.5 V
