MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Supply,Data Rate,DigiKey Programmable,Function,Grade,Input Type,Interface,Number of Inputs,Number of Outputs,Operating Temperature,Output Type,Protocol,Qualification,Series,Standards,Voltage - Supply
RT1715WSC,Richtek USA Inc.,IC 1 PORT LITE PD CTRLR 9WLCSP,pmic-supervisors,550,1.19,"9-UFBGA, WLCSP",,Active,,https://www.digikey.com/en/products/detail/richtek-usa-inc/RT1715WSC/6834142,,,Not Verified,Controller,,,I2C,,,,,USB,,,,2.7V ~ 5.5V
S1R72V17B00A20B,EPSON,IC CONTROLLER USB 60BGA,pmic-supervisors,0,4.91062,60-TFBGA,,Obsolete,https://global.epson.com/products_and_drivers/semicon/pdf/id002139.pdf,https://www.digikey.com/en/products/detail/epson/S1R72V17B00A20B/5120400,39.3mA,,Not Verified,Host Controller,,,USB,,,-40°C ~ 85°C,,USB,,,USB 2.0,"1.8V, 3.3V"
S82078-1,Altera,"FLOPPY DISK DRIVE, 0.125MBPS",pmic-supervisors,1990,5.14,64-BQFP,,Active,https://rocelec.widen.net/view/pdf/xl3o3mlpfb/INTLS00513-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/S82078-1/12127521,30mA,,Not Verified,Controller,,,,,,0°C ~ 70°C (TA),,,,,,4.5V ~ 5.5V
S82092AA,Altera,"BUS CONTROLLER, PQFP208",pmic-supervisors,1992,33.64,208-BFQFP,,Active,https://rocelec.widen.net/view/pdf/wrtl3tveq2/INTLS03460-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/S82092AA/12134925,200mA,,Not Verified,Controller,,,PCI,,,0°C ~ 85°C (TC),,PCI,,,,4.75V ~ 5.25V
S82425EX,Altera,"PCI BUS CONTROLLER, MOS, PQFP208",pmic-supervisors,46326,20.51,160-QFP,,Active,https://rocelec.widen.net/view/pdf/jlrsth655g/INTLS107-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/S82425EX/12127156,,,Not Verified,Controller,,,"Bus, PCI",,,,,,,82425EX,,
S82426EX,Altera,"ISA BUS CONTROLLER, MOS, PQFP160",pmic-supervisors,16588,8.73,160-QFP,,Active,https://rocelec.widen.net/view/pdf/lspdwshmk8/INTLD079-1-555.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/S82426EX/12128436,200mA,,Not Verified,Controller,,,PCI,,,0°C ~ 85°C (TC),,,,Intel486™,,4.75V ~ 5.25V
S82433LX,Altera,"PCI BUS CONTROLLER, MOS, PQFP160",pmic-supervisors,4320,19.75,160-QFP,,Active,https://rocelec.widen.net/view/pdf/qawlwikdva/INTLD079-1-559.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/S82433LX/12128194,,,Not Verified,Controller,,,Bus,,,0°C ~ 85°C (TC),,,,,,4.75V ~ 5.25V
S82562EH,Intel,IC ETH 10/100 PLC DEV CTRL 64QFP,pmic-supervisors,6,6.25,64-QFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2505/82562%20Product%20Brief.pdf,https://www.digikey.com/en/products/detail/intel/S82562EH/397757,,,Not Verified,Controller,,,PCI,,,,,Ethernet,,,10/100 Base-T/TX PHY,3V ~ 3.6V
SBL2ECHIP-236IR,NetBurner Inc.,IC SERIAL TO ETHERNET 80LQFP,pmic-supervisors,110,44.06,-,,Active,https://www.netburner.com/download/sbl2e-chip-bob-datasheet/?wpdmdl=4159&ind=0,https://www.digikey.com/en/products/detail/netburner-inc/SBL2ECHIP-236IR/3694099,,,Not Verified,Controller,,,SPI,,,,,Ethernet,,ColdFire®,10/100 Base-T/TX PHY,3V ~ 3.6V
SBR820100CT,onsemi,REC T0220 SPECIAL SHTKY,pmic-supervisors,18650,0.63,-,,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/SBR820100CT/12615273,,,Not Verified,,,,,,,,,,,*,,
