MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Grade,Logic Type,Number of Bits,Operating Temperature,Qualification,Series,Supply Voltage
MC100EP16FD,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,0,5.96857,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/9/MC100EP16F.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16FD/662353,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16FDG,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,0,4.93,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/9/MC100EP16F.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16FDG/920671,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16FDR2,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/9/MC100EP16F.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16FDR2/1477551,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16FDR2G,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,0,6.56,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/9/MC100EP16F.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16FDR2G/1477552,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16FDTG,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,0,9.15,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/9/MC100EP16F.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16FDTG/920672,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16FDTR2,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,0,3.69,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/9/MC100EP16F.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16FDTR2/1477553,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16FDTR2G,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,0,6.56,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/9/MC100EP16F.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16FDTR2G/1477554,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16MNR4G,onsemi,IC DIFFERENTIAL RX/DVR 8-DFN,clock-timing-programmable-timers-oscillators,432,10.8,8-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc10ep16-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16MNR4G/1477555,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16TD,onsemi,IC DIFFERENT RX/DRVR 1BIT 8-SOIC,clock-timing-programmable-timers-oscillators,2175,3.69,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/onsemi/MC100EP16TD/11548218,,Differential Receiver/Driver,1,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16TDG,onsemi,IC DIFFERENT RX/DRVR 1BIT 8-SOIC,clock-timing-programmable-timers-oscillators,75692,7.38,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/onsemi/MC100EP16TDG/11517954,,Differential Receiver/Driver,1,-40°C ~ 85°C,,100EP,3V ~ 5.5V
