MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,"Current - Output High, Low",Grade,Logic Type,Number of Circuits,Number of Inputs,Operating Temperature,Output Type,Qualification,Schmitt Trigger Input,Series,Type,Voltage - Supply
ADUM3190ARQZ-RL7,Analog Devices Inc.,IC AMP SPECIAL 16-QSOP,interface-controllers,2630,3.83,"16-SSOP (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM3190.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADUM3190ARQZ-RL7/3992919,"Shunt Regulators, Linear Power Supplies, Inverters, UPS",,,,,,,,,,iCoupler®,"Isolator, Error Amplifier",
ADUM3190SRQZ,Analog Devices Inc.,IC AMP SPECIAL 16-QSOP,interface-controllers,1376,4.15,"16-SSOP (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM3190.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADUM3190SRQZ/3882153,"Shunt Regulators, Linear Power Supplies, Inverters, UPS",,,,,,,,,,iCoupler®,"Isolator, Error Amplifier",
ADUM3190TRQZ-RL7,Analog Devices Inc.,IC AMP SPECIAL 16-QSOP,interface-controllers,3500,4.45,"16-SSOP (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM3190.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADUM3190TRQZ-RL7/3992922,"Shunt Regulators, Linear Power Supplies, Inverters, UPS",,,,,,,,,,iCoupler®,"Isolator, Error Amplifier",
ADUM3190WTRQZ-RL7,Analog Devices Inc.,IC AMP SPECIAL 16-QSOP,interface-controllers,1304,5.43,"16-SSOP (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM3190.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADUM3190WTRQZ-RL7/6057043,"Shunt Regulators, Linear Power Supplies, Inverters, UPS",,Automotive,,,,,,,,,"Isolator, Error Amplifier",
AMC1202DWVR,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,574,6.74,"8-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/amc1202.pdf,https://www.digikey.com/en/products/detail/texas-instruments/AMC1202DWVR/14835790,DC/DC Converter,,,,,,,,,,,Isolation,
AMC1211AQDWVRQ1,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,701,6.52,"8-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/AMC1211AQDWVRQ1/9555496,,,Automotive,,,,,,AEC-Q100,,,Isolation,
AMC1302DWVR,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,1134,5.2,"8-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/AMC1302DWVR/9658051,"Current Sensing, Power Management",,,,,,,,,,,Isolation,
AMC1311DWVR,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,3590,5.2,"8-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/AMC1311DWVR/8020496,,,,,,,,,,,,Isolation,
AMC1350DWVR,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,4106,5.2,"8-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/amc1350.pdf,https://www.digikey.com/en/products/detail/texas-instruments/AMC1350DWVR/15853923,Isolated Voltage Sensing,,,,,,,,,,,Isolation,
AMC1350QDWVRQ1,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,4365,6.58,"8-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/amc1350-q1.pdf?ts=1647898319829&ref_url=https%253A%252F%252Fwww.ti.com%252Fstore%252Fti%252Fen%252Fp%252Fproduct%252F%253Fp%253DAMC1350QDWVRQ1%2526keyMatch%253DAMC1350QDWVRQ1%2526tisearch%253Dsearch-everything%2526usecase,https://www.digikey.com/en/products/detail/texas-instruments/AMC1350QDWVRQ1/16184258,Isolated Voltage Sensing,,Automotive,,,,,,AEC-Q100,,,Isolation,
